ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	Expression
XR_003476289.1	-11.0826162080792	3.44020859123446	2.64658209144689e-73	4.13501985967662e-69	194	278	226	437	527	647	2	0	0	0	0	2	16.1559072324329	22.4861735999857	22.5111204641041	16.1509885709745	25.8221285560228	27.3331966515263	0.0193835213701	0	0	0	0	0.0228085095255449	Up_muscle_Down_hep
XR_003476288.1	-10.7173227782225	3.33331084250676	1.1484967638608e-68	8.97205671928056e-65	185	263	183	402	542	587	1	0	0	0	0	4	15.4064063814437	21.2728908517851	18.2280311722612	14.8574311339399	26.5571037521146	24.7984334380926	0.00969176068504998	0	0	0	0	0.0456170190510897	Up_muscle_Down_hep
XR_003476287.1	-10.6477499451231	3.26901502375367	1.24037313460142e-67	6.45986328500422e-64	161	275	166	396	502	578	0	2	0	0	0	3	13.4077374454726	22.2435170503456	16.5347168010676	14.6356784304483	24.59716989587	24.4182189560776	0	0.0225810626483439	0	0	0	0.0342127642883173	Up_muscle_Down_hep
XM_027356510.1	-10.7662153547361	3.36847411513497	1.8135462260598e-64	7.08371155898958e-61	344	198	218	344	387	619	0	3	2	0	0	0	28.6475880822521	16.0153322762488	21.7142666423659	12.7138216668541	18.9623600591667	26.1503071519239	0	0.0338715939725158	0.0180481743473933	0	0	0	Up_muscle_Down_hep
XM_027370962.1	-12.8463513630745	8.96231182106338	3.13318218063792e-63	9.79056767805738e-60	11932	16542	8821	21216	18889	25213	19	7	27	1	8	13	993.671572666954	1338.0082147157	878.630945194079	784.117559546442	925.529765265115	1065.14974833838	0.18414345301595	0.0790337192692035	0.243650353689809	0.0194674074752045	0.101451309653004	0.148255311916042	Up_muscle_Down_hep
XM_027365696.1	-9.93848220820325	1.99715608342322	1.23787762469003e-62	3.22343333469284e-59	107	106	74	259	108	199	0	0	0	0	0	3	8.91073233953772	8.5738647539514	7.37089785107832	9.57232503405583	5.29182141186047	8.40696465788831	0	0	0	0	0	0.0342127642883173	Up_muscle_Down_hep
XM_027365885.1	-13.9396772032787	13.5611905761285	4.12867193565848e-62	9.21519576038974e-59	347158	428873	307431	353648	418182	408428	256	66	280	56	115	79	28910.579603077	34689.6141379377	30622.1959088494	13070.4000140686	20490.2264968022	17254.4711622714	2.4810907353728	0.745175067395347	2.52674440863506	1.09017481861145	1.45836257626194	0.900936126259022	Up_muscle_Down_hep
XM_027378597.1	13.0671082657641	3.37558294197686	3.31201945967608e-60	6.46837400474738e-57	0	0	0	0	0	0	2361	1512	2852	1140	1744	1172	0	0	0	0	0	0	22.882246977403	17.071283362148	25.7366966193828	22.1928445217331	22.1163855043549	13.3657865819693	Down_muscle_Up_hep
XM_027365884.1	-13.7563487006394	13.7443706832028	3.85591735889678e-58	6.69387253504481e-55	396701	467974	332366	428453	479019	505866	322	88	409	75	139	74	33036.4152320276	37852.3187204307	33105.8896644797	15835.1018448507	23471.138897111	21370.8421287805	3.12074694058609	0.99356675652713	3.69085165404192	1.46005556064033	1.76271650522095	0.84391485244516	Up_muscle_Down_hep
XM_027378454.1	-11.6932417973688	7.1999668390719	7.41263672064145e-57	1.15815036123302e-53	2522	6688	2712	5859	5601	5967	13	7	9	8	5	2	210.026794021627	540.962334664405	270.133445569249	216.541514959587	274.439738220653	252.082201575978	0.12599288890565	0.0790337192692035	0.0812167845632697	0.155739259801636	0.0634070685331277	0.0228085095255449	Up_muscle_Down_hep
XM_027363969.1	11.9195153417129	2.24382136455327	4.10305990838445e-55	5.82783709169078e-52	0	0	0	0	0	0	780	1093	1057	397	762	775	0	0	0	0	0	0	7.55957333433899	12.3405507373199	9.53846014259734	7.72856076765617	9.66323724444865	8.83829744114864	Down_muscle_Up_hep
XM_027363970.1	8.82139018712425	2.3310959233711	3.19572424828832e-51	4.16083297127139e-48	0	2	0	0	0	0	818	1034	1052	487	814	891	0	0.161771033093423	0	0	0	0	7.92786024037089	11.6744093891938	9.49333970672886	9.48062744042458	10.3226707571932	10.1611909936302	Down_muscle_Up_hep
XM_027359641.1	-10.601986773016	3.21924912324643	5.02448479324393e-51	6.03865772381871e-48	172	151	98	512	501	757	2	0	0	0	2	1	14.3237940411261	12.2137129985534	9.76145931629291	18.92289736462	24.5481715494638	31.9802625428214	0.0193835213701	0	0	0	0.0253628274132511	0.0114042547627724	Up_muscle_Down_hep
XM_027358234.1	8.81518854036695	2.32521599288784	5.73704280972636e-51	6.40253977565462e-48	0	2	0	0	0	0	941	915	1058	573	856	685	0	0.161771033093423	0	0	0	0	9.11994680463203	10.3308361616173	9.54748422977104	11.1548244832922	10.8552901328715	7.81191451249912	Down_muscle_Up_hep
XM_027357358.1	-10.3816115087432	3.18896988875828	8.6002034947507e-51	8.95797196013233e-48	192	132	168	857	477	262	4	0	0	0	0	2	15.9893514877686	10.6768881841659	16.7339302565021	31.6736778153894	23.3722112357171	11.0684660319937	0.0387670427401999	0	0	0	0	0.0228085095255449	Up_muscle_Down_hep
XM_027367648.1	-7.65796419283996	1.68123850980743	1.02365321990812e-50	9.99597369240277e-48	66	80	92	191	136	90	6	4	6	0	0	0	5.49633957392046	6.4708413237369	9.16381894998926	7.05912772781724	6.6637751112317	3.80214482015049	0.0581505641102999	0.0451621252966877	0.0541445230421798	0	0	0	Up_muscle_Down_hep
XM_027352569.1	8.48035981043818	2.48891458731343	5.69900442324257e-50	5.23772030051423e-47	0	1	0	0	0	2	1123	957	1082	547	1237	723	0	0.0808855165467113	0	0	0	0.0844921071144554	10.8838472493111	10.8050384772325	9.76406232193976	10.6486718889368	15.6869087550958	8.24527619348447	Down_muscle_Up_hep
XM_027367223.1	-13.0407663018337	8.90372816136996	1.29839373580935e-49	1.12700576268252e-46	13747	10102	11422	20572	17818	24004	22	2	18	1	3	17	1144.82091094977	817.105488154877	1137.70804398671	760.316102705006	873.052536264165	1014.07426958769	0.2132187350711	0.0225810626483439	0.162433569126539	0.0194674074752045	0.0380442411198766	0.193872330967131	Up_muscle_Down_hep
XM_027358460.1	9.78794674146047	2.43517546216512	1.8619903794931e-49	1.53114408890527e-46	0	1	0	0	0	0	1214	792	1278	500	1149	623	0	0.0808855165467113	0	0	0	0	11.7657974716507	8.94210080874417	11.5327834079843	9.73370373760223	14.5709443489127	7.10485071720723	Down_muscle_Up_hep
XM_027380253.1	10.6012611789544	3.24084528558081	2.01646540834411e-49	1.57526277699842e-46	0	1	0	0	0	0	1620	1818	1554	1399	1843	995	0	0.0808855165467113	0	0	0	0	15.700652309781	20.5261859473446	14.0234314679246	27.234903057811	23.3718454613109	11.3472334889586	Down_muscle_Up_hep
XM_027359642.1	-10.3729371761095	3.15622338312348	5.53898521556391e-49	4.12100500037955e-46	173	129	103	450	525	699	4	0	2	0	0	0	14.4070719134582	10.4342316345258	10.2594929548793	16.6314527618731	25.7241318632106	29.5299914365021	0.0387670427401999	0	0.0180481743473933	0	0	0	Up_muscle_Down_hep
XM_027356093.1	10.1761264303033	4.24524016159	6.88525452701521e-49	4.78137531983447e-46	0	1	2	0	0	0	3100	3072	3945	2901	2795	2971	0	0.0808855165467113	0.199213455434549	0	0	0	30.0444581236549	34.6845122278562	35.6000239002332	56.4749490855682	35.4445513100184	33.8820409001969	Down_muscle_Up_hep
XM_027363486.1	9.34352028511254	2.00311286529484	7.03863494343272e-49	4.78137531983447e-46	0	0	1	0	0	0	872	816	742	358	748	529	0	0	0.0996067277172746	0	0	0	8.45121531736359	9.2130735605243	6.6958726828829	6.9693318761232	9.4856974525559	6.03285076950662	Down_muscle_Up_hep
XM_027367225.1	-13.010102000722	8.6868991287823	1.49739385856878e-48	9.74803401928277e-46	10954	8966	10015	18274	16015	20121	15	2	16	0	3	19	912.225813526133	725.219541357813	997.561378088505	675.384817267708	784.708517693939	850.032843624978	0.14537641027575	0.0225810626483439	0.144385394779146	0	0.0380442411198766	0.216680840492676	Up_muscle_Down_hep
XM_027354682.1	-10.4093845449613	2.73827809932927	2.20917520936578e-48	1.32754436427427e-45	134	162	60	579	205	436	2	0	2	0	0	0	11.1592348925052	13.1034536805672	5.97640366303647	21.3991358869434	10.0446610132537	18.4192793509513	0.0193835213701	0	0.0180481743473933	0	0	0	Up_muscle_Down_hep
XR_003476575.1	-11.3852769280816	4.50986574023902	2.15092461101038e-48	1.32754436427427e-45	451	679	373	1537	1452	378	5	1	2	0	0	0	37.5583204217898	54.921265735217	37.1533094385434	56.8056508777754	71.1455989816796	15.9690082446321	0.0484588034252499	0.0112905313241719	0.0180481743473933	0	0	0	Up_muscle_Down_hep
XM_027352296.1	9.15406974308342	2.66317876448713	6.29652085185105e-48	3.64358673293781e-45	0	2	0	0	0	0	1204	1018	1012	919	943	1101	0	0.161771033093423	0	0	0	0	11.6688798648002	11.493760888007	9.13237621978099	17.8905474697129	11.9585731253479	12.5560844938125	Down_muscle_Up_hep
XM_027367241.1	-13.8394607555526	8.52313155830516	2.01758720197099e-47	1.12581365869981e-44	8919	10889	8459	20078	16015	9987	8	4	16	0	0	0	742.755343330252	880.762389677139	842.573309760426	742.058463450861	784.708517693939	421.911336876033	0.0775340854803999	0.0451621252966877	0.144385394779146	0	0	0	Up_muscle_Down_hep
XM_027362705.1	-11.6093866173345	5.36802813211519	2.256065210034e-47	1.21547458074384e-44	1688	972	454	1389	1824	2145	8	1	0	0	0	4	140.573048496632	78.6207220834034	45.2214543836427	51.3357508583149	89.3729838447546	90.6177848802534	0.0775340854803999	0.0112905313241719	0	0	0	0.0456170190510897	Up_muscle_Down_hep
