XR_003475516.1	3.43194202851454	0.654455877567037	-5.24396242153544	1.57164222817608e-07	6.86902791452903e-07	Up_hemocytes_Down_gills
XR_003475516.1	3.3252887883061	0.610075232606827	5.45062085883617	5.01942775495615e-08	1.50238741628636e-07	Down_hep_Up_hemocytes
XR_003475516.1	4.71407279657324	0.507220619536944	9.29392973195146	1.48694598221836e-20	9.4421808175723e-20	Down_muscle_Up_hemocytes
XR_003475547.1	4.17391823149489	0.583086822628825	-7.15831342693861	8.16756488752275e-13	5.47839829007307e-12	Up_hemocytes_Down_gills
XR_003475547.1	4.45560460776705	0.690209830308108	6.45543487228815	1.07908580557382e-10	3.81116958429661e-10	Down_hep_Up_hemocytes
XR_003475547.1	5.00347372418898	0.606683936671267	8.24724938596837	1.62081941343372e-16	8.33480477619778e-16	Down_muscle_Up_hemocytes
XR_003476115.1	2.12690428147603	0.652672712735348	-3.25876084594098	0.00111899954203196	0.002865345892513	Up_hemocytes_Down_gills
XR_003476115.1	1.93549954405778	0.593988029632006	3.25848240621428	0.001120098214762	0.00222276051821591	Down_hep_Up_hemocytes
XR_003476115.1	2.2949313009163	0.589109068261424	3.89559662982118	9.79572980979191e-05	0.000215924676747464	Down_muscle_Up_hep
XR_003476115.1	4.12485711533578	0.438125516357029	9.41478403183081	4.74055945449648e-21	3.09006191965115e-20	Down_muscle_Up_hemocytes
XR_003476167.1	6.2426472916193	0.585603334819165	-10.6601976464957	1.56265002779679e-26	2.23695719130667e-25	Up_hemocytes_Down_gills
XR_003476167.1	4.17340237047325	1.11167179422285	3.75416772482817	0.000173918383175885	0.000381833383050513	Down_hep_Up_hemocytes
XR_003476167.1	7.0957577764816	0.703403665133185	10.0877463797947	6.2589947320679e-24	4.57930684373092e-23	Down_muscle_Up_hemocytes
XR_003476895.1	5.87679440009504	0.747295632109524	-7.86408236256591	3.7181286462517e-15	2.88617554164909e-14	Up_hemocytes_Down_gills
XR_003476895.1	6.22908039693122	0.585591557979756	10.6372441884597	1.99955999937969e-26	1.62674127430451e-25	Down_muscle_Up_hemocytes
XR_003476895.1	6.7813127174555	0.541150152967226	12.5312959448913	5.03334128598552e-36	5.63147377064299e-35	Down_hep_Up_hemocytes
XR_003477123.1	3.44585825564923	0.673157088576835	-5.11895115437965	3.07239515145751e-07	1.30220408700842e-06	Up_hemocytes_Down_gills
XR_003477123.1	2.6100988672151	0.629114424065653	4.14884600856444	3.34155488366639e-05	7.57984132799032e-05	Down_muscle_Up_hemocytes
XR_003477123.1	4.43667876665978	0.647068196960059	6.8565860407039	7.05256111484666e-12	2.66319956477399e-11	Down_hep_Up_hemocytes
