ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027370790.1	-11.8441120202101	10.5302484022041	5.24597125658807e-75	7.42095093956948e-71	33027	41903	25935	52625	40716	40960	5	123	148	84	53	194	3549.90609565224	3888.84960197756	3094.51499951289	2494.88909033792	2538.85153526577	2174.67755360876	0.656943288202488	0.643142025534034	0.665173947855513	0.638412932127202	0.625371980627849	1.53204958205561	Up_muscle_Down_gills
XM_027365225.1	-14.8753574249019	8.87782164487146	2.42156491857293e-74	1.71277286690664e-70	8955	12709	9779	13182	14815	14838	0	0	0	6	6	7	962.527904035055	1179.47138848132	1166.81172856127	624.943049669063	923.791273577032	787.789686046064	0	0	0	0.0456009237233716	0.0707968279956056	0.0552801395587077	Up_muscle_Down_gills
XM_027373383.1	-13.0575020002739	6.35464900901566	1.51831631068219e-70	7.15936751030341e-67	1526	2194	1325	2530	2462	3448	0	0	8	4	0	2	164.022063825516	203.616352689277	158.096486383442	119.944311611495	153.518333820226	183.06367687605	0	0	0.0359553485327304	0.0304006158155811	0	0.0157943255882022	Up_muscle_Down_gills
XM_027365858.1	-14.5176945216789	8.19421445840859	8.40590853624953e-68	2.97274955384465e-64	5956	6765	5241	10118	9600	10232	0	0	0	4	0	12	640.180479780323	627.832555124411	625.346177460846	479.682428808343	598.609262662133	543.244646692501	0	0	0	0.0304006158155811	0	0.0947659535292132	Up_muscle_Down_gills
XM_027355909.1	-13.2017126533378	9.18093934696906	2.29894458778378e-67	5.76317601548479e-64	8581	17076	12877	19216	14257	21117	0	11	17	20	12	28	922.328525351737	1584.75516796814	1536.4592114412	911.007862421538	888.997110184795	1121.15883543838	0	0.0575167665111738	0.0764051156320521	0.152003079077905	0.141593655991211	0.221120558234831	Up_muscle_Down_gills
XM_027373336.1	-11.7936350025422	12.9103687867315	2.44444055513281e-67	5.76317601548479e-64	178090	225683	166759	195929	162062	244456	19	882	715	447	542	725	19141.9982612622	20944.7353345369	19897.3675266539	9288.76246234333	10105.3973255782	12978.8324229732	2.49638449516946	4.61179891480502	3.21350927511278	3.39726881739118	6.3953134622697	5.7254430257233	Up_muscle_Down_gills
XM_027360316.1	-14.1797939263929	5.37507452417312	3.5190324408066e-67	7.11146184395003e-64	650	1230	742	1493	1102	1625	0	0	0	0	0	2	69.8652303319694	114.151373658984	88.5340323747276	70.7813664964278	68.7153549430907	86.275659780621	0	0	0	0	0	0.0157943255882022	Up_muscle_Down_gills
XM_027360317.1	-13.6859636285641	5.2704074382965	7.9196559561119e-67	1.40039316443949e-63	616	1123	693	1339	1102	1472	0	0	0	0	0	3	66.2107413607587	104.221132210601	82.6874453311135	63.4804083983368	68.7153549430907	78.1524745828148	0	0	0	0	0	0.0236914883823033	Up_muscle_Down_gills
XM_027356802.1	-11.0941715965981	10.861883544251	1.58593299979179e-65	2.49273424611718e-62	43915	44668	36319	63031	32574	77299	11	214	237	220	159	377	4720.20244619759	4145.45817772316	4333.51418034735	2988.22525896607	2031.15605437045	4104.01367715829	1.44527523404547	1.11896254849011	1.06517720028214	1.67203386985696	1.87611594188355	2.97723037337611	Up_muscle_Down_gills
XM_027361148.1	-13.0956291444181	5.18369083187372	2.34996825795071e-64	3.02205917972462e-61	839	811	426	1667	945	1547	0	0	2	0	0	3	90.1798896131113	75.2656618190535	50.8295118485633	79.0305009708942	58.9255992933037	82.1344281111512	0	0	0.0089888371331826	0	0	0.0236914883823033	Up_muscle_Down_gills
XM_027367001.1	-12.1962412751071	6.06692276323975	2.24812221373447e-64	3.02205917972462e-61	968	1748	1272	2260	1550	3443	0	5	11	2	2	2	104.045450709764	162.22487898854	151.772626928105	107.143930530427	96.6504538673236	182.798213307494	0	0.0261439847778063	0.0494386042325043	0.0152003079077905	0.0235989426652019	0.0157943255882022	Up_muscle_Down_gills
XM_027361149.1	-13.4412383318058	5.26888347384554	5.42870550910793e-64	6.39953901098673e-61	855	905	450	1767	921	1735	0	0	2	0	0	2	91.8996491289751	83.9894253344555	53.6931463189049	83.7713828527715	57.4290761366484	92.1158582888476	0	0	0.0089888371331826	0	0	0.0157943255882022	Up_muscle_Down_gills
XM_027354226.1	-14.3975071889967	7.51854294105595	9.6824012103288e-64	1.05359421170239e-60	3293	4675	2717	4902	4327	11043	0	0	0	1	4	5	353.948005358731	433.868025898983	324.187285663255	232.398029849624	269.810654118651	586.302837512244	0	0	0	0.00760015395389526	0.0471978853304037	0.0394858139705055	Up_muscle_Down_gills
XM_027354432.1	-9.49329270755278	9.54019375932552	4.3515557547228e-62	4.39693626473633e-59	13381	21729	12736	36446	15100	24080	15	265	310	265	200	410	1438.2563801109	2016.58146198053	1519.63535892794	1727.86181066899	941.562486062314	1278.47254616452	1.97082986460747	1.38563119322373	1.3932697556433	2.01404079778225	2.35989426652019	3.23783674558145	Up_muscle_Down_gills
XM_027361441.1	-11.6193509972527	7.09125433802056	6.78094866629171e-62	6.3948866555575e-59	2005	3002	2111	6291	3495	7042	0	8	12	8	15	16	215.50736433169	278.603596523796	251.880515287129	298.2488791889	217.931184687933	373.878889953928	0	0.04183037564449	0.0539330227990956	0.0608012316311621	0.176992069989014	0.126354604705618	Up_muscle_Down_gills
XM_027375035.1	-15.9498858257781	7.154024735637	8.31943035731761e-62	7.35541636466344e-59	3282	4393	3219	3078	3412	3886	0	0	0	0	0	2	352.765670691575	407.696735352777	384.084973334566	145.924344324183	212.755708771166	206.318285481534	0	0	0	0	0	0.0157943255882022	Up_muscle_Down_gills
XM_027355456.1	-12.0279596140065	10.5393898998812	2.26019719402294e-60	1.88074997097932e-57	23486	34199	23174	51360	53402	68304	11	65	196	39	40	138	2524.39199934867	3173.87221769397	2765.07771732067	2434.91693453217	3329.88873382117	3626.44471732648	1.44527523404547	0.339871802111481	0.880906039051895	0.296406004201915	0.471978853304037	1.08980846558595	Up_muscle_Down_gills
XM_027383520.1	-12.7324499227104	3.9205881840895	8.28001066758284e-60	6.50716838353483e-57	195	407	259	820	474	450	0	0	0	2	0	0	20.9595690995908	37.7720399017938	30.903388659103	38.8752314313937	29.5563323439428	23.8917211700181	0	0	0	0.0152003079077905	0	0	Up_muscle_Down_gills
XM_027375601.1	-11.1058217798602	6.43040785069885	4.87105035780706e-59	3.62662517692309e-56	1255	1668	869	4999	2900	4209	0	19	14	7	12	6	134.893637025572	154.800399400963	103.687431446952	236.996685275045	180.829881429186	223.467232010236	0	0.0993471421556638	0.0629218599322782	0.0532010776772669	0.141593655991211	0.0473829767646066	Up_muscle_Down_gills
XM_027375602.1	-11.6796348947977	6.42784300654695	5.43915007830319e-59	3.84711085038385e-56	1331	1638	866	4992	2762	4251	0	12	16	1	2	11	143.062494725925	152.016219555622	103.329477138159	236.664823543314	172.224873278418	225.697125986104	0	0.062745563466735	0.0719106970654608	0.00760015395389526	0.0235989426652019	0.0868687907351121	Up_muscle_Down_gills
XM_027383691.1	-9.97633508599103	10.6923281922981	1.09815834877659e-58	7.3974038103779e-56	25414	49726	31967	69544	33925	61474	10	792	517	483	305	555	2731.62302101026	4614.87089964766	3814.24179639207	3296.99889593274	2115.39783706384	3263.82148267932	1.31388657640498	4.14120718880451	2.3236143989277	3.67087435973141	3.59883875644328	4.38292535072611	Up_muscle_Down_gills
XM_027375051.1	-13.9090350720661	5.1075785699991	2.48775296584092e-58	1.59962515703571e-55	689	1040	502	1649	560	1327	0	0	0	0	0	2	74.0571441518876	96.5182346384903	59.8976876713117	78.1771422321563	34.9188736552911	70.4540310946979	0	0	0	0	0	0.0157943255882022	Up_muscle_Down_gills
XM_027356399.1	-12.5642400297025	5.86701546978954	1.58689556418077e-57	9.76009767430484e-55	1135	778	782	2250	2907	2355	0	0	2	0	4	6	121.995440656593	72.2030639891783	93.3067564919636	106.669842342239	181.266367349877	125.033340789761	0	0	0.0089888371331826	0	0.0471978853304037	0.0473829767646066	Up_muscle_Down_gills
XM_027383519.1	-11.9966415567303	4.56078181590655	2.27635645643832e-57	1.34172243469902e-54	326	566	354	1406	681	837	0	0	0	1	0	6	35.0401001357262	52.5281930821015	42.2386084375385	66.6567992591945	42.4638445700951	44.4386013762337	0	0	0	0.00760015395389526	0	0.0473829767646066	Up_muscle_Down_gills
XM_027356628.1	-12.6301284551753	6.51527382908798	1.01327705855294e-55	5.73352690811598e-53	2306	2409	1607	2420	2671	2891	0	0	4	0	3	12	247.860340223879	223.569641580888	191.744191409956	114.72934154143	166.550556309433	153.491035338939	0	0	0.0179776742663652	0	0.0353984139978028	0.0947659535292132	Up_muscle_Down_gills
XM_027360238.1	-10.1418028859986	7.05658829761957	1.2769780827638e-55	6.94774306106798e-53	3322	4170	3107	2835	2850	3197	1	39	49	28	21	41	357.065069481234	387.000998502408	370.721345806306	134.404001351221	177.712124852821	169.737405734551	0.131388657640498	0.203923081266889	0.220226509762974	0.212804310709067	0.24778889798462	0.323783674558145	Up_muscle_Down_gills
XM_027356797.1	-10.2632658550799	10.5079054888801	1.04301894820057e-54	5.4646466819427e-52	38270	31943	23528	55025	23615	65796	6	336	527	382	219	450	4113.44979200687	2964.50189332432	2807.31632575821	2608.67025550297	1472.51643101732	3493.28819133891	0.788331945842986	1.75687577706858	2.36855858459362	2.90325881038799	2.5840842218396	3.55372325734549	Up_muscle_Down_gills
XM_027365734.1	-15.2253769900424	7.8672332405464	2.08229838502724e-54	1.05200689123555e-51	5352	7210	5929	4803	6395	4221	0	0	0	0	2	5	575.259558056462	669.131222830303	707.437032277305	227.704556786566	398.761066117119	224.10434457477	0	0	0	0	0.0235989426652019	0.0394858139705055	Up_muscle_Down_gills
XM_027373337.1	-11.6907329173918	12.7158252799733	3.89062403445034e-54	1.89781957211498e-51	154664	200395	148772	163343	143273	208199	9	829	652	452	598	663	16624.055360098	18597.8573369041	17751.1928092358	7743.8986923148	8933.80675931165	11053.849901948	1.18249791876448	4.33467267616028	2.93036090541753	3.43526958716066	7.05608385689535	5.23581893248903	Up_muscle_Down_gills
XM_027356510.1	-11.4185217977138	3.68518206812782	2.37713437089456e-53	1.08474009066692e-50	344	198	218	344	387	619	0	2	2	0	0	2	36.974829591073	18.375586979251	26.0113464389362	16.3086336736578	24.1314359010672	32.8643897872027	0	0.0104575939111225	0.0089888371331826	0	0	0.0157943255882022	Up_muscle_Down_gills
