ID	gills_mean	gills_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	gills_1	gills_2	gills_3	gills_wssv_1	gills_wssv_2	gills_wssv_3	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_wssv_1_normalized	gills_wssv_2_normalized	gills_wssv_3_normalized	Expression
XM_027350613.1	39.9398879311201	3391.94886664577	-2.73288175042555	0.999999999999998	-6.40814032665534	1.77635683940025e-15	6.40814032665534	62	377	174	93	545	893	17.4762791149511	73.1667835382077	29.1766011402015	1334.33734269598	3285.11579573982	5556.39346150153	Down_gills_Up_gills_wssv
XM_027350635.1	1181.4864651087	2671261.50066869	-5.27275364246572	0.999999999999997	-11.1427023966845	2.88657986402541e-15	11.1427023966845	1116	11467	5990	211787	580549	237173	314.573024069119	2225.47349292474	1004.41287833222	3038659.16986616	3499395.76165313	1475729.57048679	Down_gills_Up_gills_wssv
XM_027350641.1	127.413709862416	9746.40013462632	-3.71424376958026	1	-6.25727702631113	1.11022302462516e-16	6.25727702631113	480	557	828	681	2372	831	135.300225406073	108.100526341596	138.84037783958	9770.79279974152	14297.7883807245	5170.61922341296	Down_gills_Up_gills_wssv
XM_027350646.1	39.7079352529651	7710.29658671207	-2.80373563958839	1	-7.60121520109313	0	7.60121520109313	160	149	269	489	2595	76	45.1000751353576	28.9173759872492	45.1063546362885	7016.03183417563	15641.9733760455	472.884549915024	Down_gills_Up_gills_wssv
XM_027350661.1	17.0009216161962	158.190797793111	-1.24921928446978	0.991819312365672	-3.21798081664345	0.00818068763432844	3.21798081664345	85	78	71	11	35	17	23.9594149156587	15.1379552148016	11.9053947181282	157.824846985546	210.970739175952	105.776807217834	Down_gills_Up_gills_wssv
XM_027350662.1	14.2874286485385	125.125417181906	-1.2693950392797	0.997403964495433	-3.13055668042625	0.00259603550456655	3.13055668042625	63	49	93	7	26	19	17.7581545845471	9.50974109647793	15.5943902645905	100.433993536256	156.721120530707	118.221137478756	Down_gills_Up_gills_wssv
XM_027350663.1	13.4971751581962	251.441308471957	-1.52760227496581	0.999937044495432	-4.21949228447894	6.29555045676966e-05	4.21949228447894	74	45	65	17	63	21	20.8587847501029	8.73343570084708	10.8993050236385	243.91112715948	379.747330516713	130.665467739678	Down_gills_Up_gills_wssv
XM_027350664.1	25.7215150161833	292.264190524548	-1.51192569903054	0.999367814126306	-3.50622554864039	0.000632185873694402	3.50622554864039	69	141	181	13	66	47	19.449407402123	27.3647651959875	30.3503724504395	186.520273710191	397.830536731794	292.441761131659	Down_gills_Up_gills_wssv
XM_027350691.1	20.5873122527614	206.21459501709	-1.14171559286594	0.989236975295669	-3.32431904593467	0.0107630247043312	3.32431904593467	19	174	135	16	47	17	5.35563392232372	33.769284709942	22.6370181260184	229.563413797158	283.303564036278	105.776807217834	Down_gills_Up_gills_wssv
XM_027350741.1	527.34605908393	5391.28756733938	-4.70494182647369	1	-3.35380794974435	0	3.35380794974435	2079	2833	2661	400	927	779	586.019101290053	549.81829645555	446.200779506185	5739.08534492894	5587.7107204602	4847.06663662899	Down_gills_Up_gills_wssv
XM_027350745.1	172.190715171913	1807.99304252651	-2.4854239425737	1	-3.39230986874595	0	3.39230986874595	490	1029	1066	128	366	222	138.118980102033	199.704563026037	178.748602387671	1836.50731037726	2206.15115823995	1381.32065896231	Down_gills_Up_gills_wssv
XM_027350748.1	54.7736508549516	928.019292894356	-1.59185457969987	0.999999974883854	-4.08260084897775	2.51161456077398e-08	4.08260084897775	199	295	304	132	94	52	56.093218449601	57.2525229277753	50.9752111874785	1893.89816382655	566.607128072555	323.552586783964	Down_gills_Up_gills_wssv
XM_027350785.1	63.8669626096669	7.44680335214866	0.920617801635054	0.984799982567967	3.1003766744362	0.0152000174320331	-3.1003766744362	127	217	678	0	2	0	35.7981846386901	42.1145677129737	113.688135477337	7.17385668116117	12.0554708100544	3.11108256523042	Up_gills_Down_gills_wssv
XM_027350789.1	5.21716968275434	557.840639151566	-2.1710777779626	0.999999999999999	-6.74044187328389	1.33226762955019e-15	6.74044187328389	0	54	30	58	89	49	0.140937734797993	10.4801228410165	5.03044847244853	832.167375014696	536.46845104742	304.886091392581	Down_gills_Up_gills_wssv
XM_027350816.1	196.432430294405	5190.12420785526	-3.85969279541131	1	-4.72366402672286	0	4.72366402672286	391	1303	1349	337	1078	681	110.21330861203	252.88148262675	226.202499644436	4835.17940310263	6497.89876661931	4237.29445384383	Down_gills_Up_gills_wssv
XM_027350894.1	229.113182723075	40.5463480768967	0.881801722063515	0.987602951849404	2.49841658593238	0.0123970481505958	-2.49841658593238	711	1022	1721	2	2	13	200.413458882745	198.346028583683	288.580060702798	28.6954267246447	12.0554708100544	80.8881466959909	Up_gills_Down_gills_wssv
XM_027350902.1	2669.62194024083	193.220715123389	2.09696037792728	0.999999999999958	3.78831377005076	4.2410519540681e-14	-3.78831377005076	8050	8139	24810	23	28	13	2269.09753024768	1579.58740375987	4160.18088671494	329.997407333414	168.776591340761	80.8881466959909	Up_gills_Down_gills_wssv
XM_027350903.1	1607.94707682705	61.8018594609793	2.23034008562126	1	4.7014258671115	0	-4.7014258671115	4017	6278	14749	7	11	3	1132.29376136707	1218.41131844262	2473.13615067145	100.433993536256	66.305089455299	18.6664953913825	Up_gills_Down_gills_wssv
XM_027350928.1	558.778178501621	123.075119921767	1.25858965989302	0.986411613319519	2.18273653617604	0.0135883866804806	-2.18273653617604	1808	3455	2959	10	23	14	509.630849029541	670.533785476148	496.169900999174	143.477133623223	138.637914315625	87.1103118264517	Up_gills_Down_gills_wssv
XM_027350931.1	751.034079632827	136.300825375228	1.35204054424615	0.987296832716949	2.46208407585131	0.0127031672830509	-2.46208407585131	3542	3587	3331	5	26	29	998.402913308979	696.151863531966	558.547462057535	71.7385668116117	156.721120530707	180.442788783364	Up_gills_Down_gills_wssv
XM_027350940.1	15.4629862312867	182.434166380935	-1.10809601360769	0.992152849425682	-3.56048507724844	0.0078471505743184	3.56048507724844	82	75	52	25	22	9	23.1137885068708	14.5557261680785	8.71944401891079	358.692834058059	132.610178910598	55.9994861741475	Down_gills_Up_gills_wssv
XM_027350968.1	11.2799478311009	233.061466788638	-1.34323820277658	0.986630056119799	-4.36887819572705	0.0133699438802012	4.36887819572705	70	39	39	15	71	9	19.731282871719	7.5689776074008	6.53958301418309	215.215700434835	427.96921375693	55.9994861741475	Down_gills_Up_gills_wssv
XM_027350970.1	8.01098719623252	289.166952968588	-1.53817742763376	0.999990759805254	-5.17377883783656	9.24019474579652e-06	5.17377883783656	42	30	38	12	104	11	11.8387697230314	5.82229046723139	6.37190139843481	172.172560347868	626.884482122827	68.4438164350692	Down_gills_Up_gills_wssv
XM_027350971.1	7.09691541198045	357.255787468506	-1.82419142701391	0.999987447644722	-5.65362146165656	1.25523552776396e-05	5.65362146165656	38	26	33	19	114	18	10.7112678446474	5.04598507160053	5.53349331969339	272.606553884125	687.161836173099	111.998972348295	Down_gills_Up_gills_wssv
XM_027350972.1	7.65080914591647	279.533344527758	-1.68307986981287	0.995189649371599	-5.19126424240146	0.00481035062840118	5.19126424240146	33	28	49	15	90	13	9.30189049666751	5.43413776941596	8.21639917166594	215.215700434835	542.496186452447	80.8881466959909	Down_gills_Up_gills_wssv
XM_027350973.1	10.8465121852898	337.715692901955	-1.59533166556098	0.999999923167117	-4.96050611177963	7.68328832778664e-08	4.96050611177963	60	33	55	26	100	6	16.9125281757591	6.40451951395452	9.22248886615564	373.040547420381	602.773540502719	37.332990782765	Down_gills_Up_gills_wssv
XM_027350974.1	7.99315794226566	267.655009101354	-1.63539486027138	0.999711637071775	-5.06546524566981	0.000288362928224761	5.06546524566981	43	30	36	21	76	7	12.1206451926274	5.82229046723139	6.03653816693824	301.301980608769	458.107890782066	43.5551559132259	Down_gills_Up_gills_wssv
XM_027350977.1	9.02693409597818	331.793819530536	-1.67226802394981	0.995065918531738	-5.19990712802957	0.0049340814682618	5.19990712802957	53	28	40	23	98	12	14.9393998885872	5.43413776941596	6.70726462993138	329.997407333414	590.718069692664	74.6659815655301	Down_gills_Up_gills_wssv
XM_027350979.1	7.68512050470416	316.289509575786	-1.7653488188069	0.994777299945781	-5.36303401439898	0.00522270005421899	5.36303401439898	39	25	43	24	91	9	10.9931433142434	4.85190872269282	7.21030947717623	344.345120695736	548.523921857474	55.9994861741475	Down_gills_Up_gills_wssv
XM_027351006.1	3.48203604477777	130.893912953022	-1.61958145575432	0.999979816433423	-5.23232306068404	2.0183566577181e-05	5.23232306068404	2	25	30	7	33	15	0.56375093919197	4.85190872269282	5.03044847244853	100.433993536256	198.915268365897	93.3324769569126	Down_gills_Up_gills_wssv
XM_027351014.1	257.522984680761	31.3103152439222	1.06304193734938	0.99530941822314	3.03999126354743	0.00469058177685955	-3.03999126354743	968	1354	1413	2	0	10	272.855454568914	262.779376421043	236.934123052326	28.6954267246447	3.01386770251359	62.2216513046084	Up_gills_Down_gills_wssv
XM_027351020.1	343.087544498057	21070.8988646024	-5.94768835423767	1	-5.94053129821965	0	5.94053129821965	1331	1898	1704	1518	4131	2657	375.176250032256	368.356910226839	285.729473235077	21779.8288840053	24900.5749581673	16532.2927516344	Down_gills_Up_gills_wssv
XM_027351045.1	7.35428130496205	5014.45018366611	-2.82833130676142	1	-9.41329144646753	0	9.41329144646753	64	19	2	17	1520	906	18.040030054143	3.68745062924654	0.335363231496569	243.91112715948	9162.15781564132	5637.28160819752	Down_gills_Up_gills_wssv
XM_027351053.1	48.816625927685	344.306478018546	-1.29833882106622	0.996386315711641	-2.81824883649545	0.0036136842883594	2.81824883649545	162	210	358	18	80	47	45.6638260745496	40.7560332706197	60.0300184378858	258.258840521802	482.218832402175	292.441761131659	Down_gills_Up_gills_wssv
XM_027351119.1	33.9729085080583	4.43293564963506	0.956613463889367	0.988990089940098	2.93805041133919	0.0110099100599019	-2.93805041133919	172	125	174	0	0	0	48.4825807705094	24.2595436134641	29.1766011402015	7.17385668116117	3.01386770251359	3.11108256523042	Up_gills_Down_gills_wssv
XM_027351148.1	158.686536505669	2475.19316113025	-2.57962041844321	1	-3.96328948036535	1.11022302462516e-16	3.96328948036535	466	913	999	232	242	424	131.353968831729	177.191706552742	167.513934132536	3328.66950005878	1458.71196801658	2638.1980153154	Down_gills_Up_gills_wssv
