ID	logFC
XM_027375510.1	9.66052102233268
XM_027379490.1	-4.67753261998636
XM_027363874.1	-4.63187456239741
XM_027356981.1	-7.07726931115305
XM_027379151.1	-3.25617532454284
XM_027355035.1	-3.32675813821954
XM_027370857.1	-3.1564732165424
XM_027354773.1	-4.51472076167212
XM_027378670.1	-3.36957041000874
XM_027354585.1	-2.45704172461844
XM_027382822.1	-2.52784267873028
XM_027380496.1	-3.90462202815522
XM_027372149.1	-3.54514236444023
XM_027359278.1	2.70073068491687
XM_027360937.1	9.35500397603605
XM_027369084.1	-2.99255237790386
XM_027372425.1	-2.4686141356425
XM_027356700.1	-2.6999134838016
XM_027362559.1	-5.24425076050121
XM_027365601.1	-3.36997218185639
XM_027364902.1	-5.36282837032701
XM_027362556.1	-4.5518348494647
XM_027352200.1	-3.28615357089994
XM_027362555.1	-4.43445510375931
XR_003476853.1	-2.50028742417389
XM_027366112.1	-2.76101498169734
XM_027380827.1	-3.28335622522657
XM_027368745.1	-4.07836126763051
XM_027370692.1	-2.28519792392328
XM_027362558.1	-4.14402017657595
XM_027378576.1	-2.78294936247037
XR_003475421.1	-2.4761181921957
XM_027360478.1	-3.21182708401221
XM_027378861.1	-2.16485479931769
XM_027364044.1	-2.13276612766168
XM_027352755.1	-2.96230585701842
XM_027362561.1	-4.54002788450665
XM_027378860.1	-2.05403691781999
XM_027381309.1	-2.37912949919734
XM_027364045.1	-2.15064201643653
XR_003475419.1	-2.57304314268883
XM_027360477.1	-3.18561142200449
XM_027380826.1	-3.06811580286064
XM_027351017.1	-2.45198876851481
XM_027362565.1	-3.15236647885349
XM_027380825.1	-3.24726695019813
XM_027351730.1	-2.55363572001855
XM_027364042.1	-2.02725381747012
XM_027355965.1	-2.30979385357991
XR_003475420.1	-2.57114488822424
XM_027366108.1	-2.58142345038296
XM_027366194.1	11.3173073403431
XM_027365779.1	9.49004902910507
XM_027366111.1	-2.86441747414549
XM_027370803.1	7.5165951130584
XM_027372302.1	14.0037021965421
XM_027373151.1	-2.32612140613132
XM_027381338.1	-2.79166398560308
XM_027352252.1	-2.71630454066311
XM_027353848.1	-2.04301658505324
XM_027381346.1	-2.77516682611006
XM_027356980.1	-5.21902669519806
XM_027364039.1	-2.08132533555861
XM_027381353.1	-2.82279391069761
XM_027362564.1	-3.14569239732655
XM_027362560.1	-4.43973168473829
XM_027377859.1	11.7326206349543
XM_027364034.1	-2.23308631627133
XM_027364043.1	-2.0718427337315
XM_027377858.1	11.6034428549905
XM_027368486.1	8.75529937657616
XM_027352258.1	-3.20827236379925
XM_027360481.1	-3.12936713228982
XM_027381184.1	-2.92463797603712
XM_027376768.1	-2.13783106247252
XM_027352082.1	-2.55060232353022
XM_027382995.1	-3.06625746859607
XM_027356863.1	13.8038843532802
XM_027359320.1	-2.3352290435477
XM_027365167.1	-2.57008454822795
XR_003476729.1	-5.22250842372577
XM_027377860.1	11.4521553179037
XM_027374831.1	-1.96256780578
XM_027356692.1	-3.39240202329341
XM_027364047.1	-1.97508875955013
XM_027380265.1	-3.00476481977454
XM_027381308.1	-2.29131056065728
XR_003475463.1	-2.83128528384344
XM_027374780.1	-2.91500914032589
XM_027377238.1	10.1160535342952
XM_027362557.1	-4.46563515393018
XM_027370767.1	-2.32265908533325
XM_027362562.1	-3.15614525550163
XM_027381310.1	-2.2614516840693
XM_027363222.1	9.94765961351527
XM_027353727.1	-2.16781061677032
XM_027372510.1	-3.19804198373202
XM_027353705.1	-2.47230589530045
XM_027364609.1	-2.57139221050315
XM_027360426.1	9.93101182009853
XM_027362566.1	-2.78452671984499
XM_027382176.1	-2.12508176464925
XM_027377064.1	-2.47473026929137
XM_027381311.1	-2.22393934042108
XM_027364343.1	-2.91743214484015
XM_027373271.1	-2.00506098159804
XM_027379085.1	-3.15308936308631
XM_027354055.1	-2.46301999317442
XR_003476291.1	-2.09445655855804
XM_027379867.1	-3.09768292864866
XM_027383622.1	5.0801441944219
XR_003477128.1	2.74776321233464
XM_027361568.1	8.82999289919689
XM_027352110.1	-2.5703214091336
XM_027360825.1	-2.06591388577317
XM_027351673.1	4.74898871872855
XM_027377063.1	-2.34028891724794
XM_027381766.1	-3.36315999049852
XM_027362174.1	-2.18940216798153
XM_027359325.1	-2.33332598533083
XR_003477346.1	-2.29151345692419
XM_027358246.1	10.2795459572127
XM_027362563.1	-3.06855849606889
XM_027379729.1	-3.23032400645805
XM_027381689.1	-2.60197303193136
XM_027381693.1	-3.00839711812431
XR_003476432.1	3.19176409821847
XM_027366110.1	-2.85966210684488
XM_027360509.1	-2.44496641359328
XM_027369557.1	-2.15712608097897
XM_027375317.1	-2.37454899811333
XM_027359317.1	-2.26337417519026
XM_027364040.1	-1.87315764850024
XM_027354045.1	-2.27734885200347
XM_027359326.1	-2.39893892154091
XM_027361178.1	4.65260274435401
XM_027369073.1	-2.18603176341179
XM_027370830.1	-2.20260316847898
XM_027356801.1	-2.34527837018142
XM_027371605.1	-1.87463797919228
XM_027356798.1	-2.40184928224233
XM_027351966.1	-1.79785200367914
XM_027383758.1	-2.83114564876944
XR_003476940.1	2.50760069717455
XM_027382167.1	-2.08140653496593
XM_027378690.1	-2.96433014688106
XM_027381752.1	-2.8100565248715
XM_027368869.1	-1.94613206787983
XM_027381688.1	-2.4680308900225
XR_003476034.1	-2.40155640030623
XM_027355228.1	-2.72294506934946
XM_027362128.1	-1.86718105792795
XM_027371994.1	-2.00741629893109
XM_027378669.1	-3.42555464038142
XM_027382092.1	-2.23975045309875
XM_027382868.1	-1.9849630132559
XM_027371851.1	-2.53917762939356
XM_027352256.1	-2.5274999123423
XM_027366109.1	-2.61490462418371
XM_027376390.1	-1.94379141719168
XM_027353742.1	-2.09446069330524
XM_027378426.1	7.12229137783734
XM_027357991.1	-2.63571148464982
XM_027371691.1	-3.30028155521966
XM_027360025.1	-2.47430621812645
XM_027352257.1	-2.62125710128854
XM_027379682.1	-3.18465950420844
XM_027367187.1	-2.90221224136663
XM_027369348.1	-2.22902583148606
XM_027358622.1	-2.20050750507154
XM_027368306.1	-2.18078330237197
XM_027372899.1	-1.99149274377615
XM_027362923.1	-2.3421026398013
XM_027376052.1	-1.87012453732592
XM_027353506.1	-2.96121256309119
XM_027352259.1	-2.73209949460252
XM_027359322.1	-2.21559109266622
XR_003476435.1	2.48794056313411
XM_027373607.1	-2.43394320352909
XM_027375865.1	6.2353497301014
XM_027359318.1	-2.01944475733951
XM_027356797.1	-2.34065874670126
XM_027368427.1	-2.27292996577878
XM_027361199.1	3.61100977168921
XM_027374650.1	-1.80575248362739
XM_027362546.1	-2.18615776420234
XM_027380939.1	-1.85063216938901
XM_027359033.1	-2.07913686312274
XM_027360727.1	-2.38399655403338
XM_027377671.1	-1.7762051590227
XM_027353779.1	-2.25172657153004
XM_027351020.1	-2.00751726912964
XM_027360479.1	-2.33879127690632
XM_027361794.1	-2.25984253902261
XM_027356341.1	-2.64057804210226
XM_027364652.1	3.76231018470051
XM_027379879.1	-1.76371332532361
XM_027360726.1	-2.1171809531906
XM_027353508.1	-2.76924232297658
XM_027355023.1	-2.44527579443592
XM_027372388.1	-2.2952839712517
XM_027370829.1	-1.77020699809206
XM_027379017.1	-2.57590005319782
XM_027359321.1	-2.22018727515553
XM_027364241.1	-3.07101314486801
XR_003475464.1	-2.72459680829771
XM_027352801.1	-1.98399858920656
