ID	logFC
XM_027373625.1	-15.2236900623411
XM_027377415.1	-18.4196765200423
XM_027363184.1	-12.8960607422224
XM_027359256.1	-13.8611930364168
XM_027364708.1	-11.9600300227054
XM_027373288.1	-17.1942901128774
XM_027378026.1	-13.6225375020334
XM_027380344.1	-13.8656017294514
XM_027357867.1	-13.0917091981902
XM_027357868.1	-12.6116813004951
XM_027364702.1	-11.4003160940037
XM_027365793.1	-12.0612495996208
XM_027375663.1	-16.4529964150134
XM_027376185.1	-11.8522976020356
XM_027378347.1	-13.8436741018998
XR_003475688.1	-10.8935027377903
XM_027361907.1	-12.4010458936094
XM_027370944.1	-13.928793917093
XM_027376661.1	6.66141677423968
XM_027366290.1	-11.7507647187044
XM_027367923.1	-11.5843890942239
XR_003475976.1	-12.8977468709485
XM_027368787.1	-10.6167556427951
XM_027358254.1	4.8307922406895
XM_027363492.1	6.62715583323263
XM_027377086.1	-10.9372328129089
XM_027351610.1	-9.5093140225605
XM_027351679.1	-11.5210308411583
XM_027354370.1	-11.2627144008013
XM_027364731.1	6.51112716952919
XM_027367438.1	-8.24181038827174
XM_027368237.1	-10.7890005226021
XM_027355828.1	-7.11456222483203
XM_027355829.1	-6.92032501864344
XM_027365171.1	-11.3847940054581
XM_027350808.1	-16.0851391013225
XM_027351609.1	-10.0223709475789
XM_027381750.1	-8.70781523306911
XM_027352991.1	-12.1707840608839
XM_027370438.1	-12.3058951831567
XM_027370320.1	-13.7077444052821
XM_027352034.1	-12.2643516914773
XM_027353145.1	-8.95011099913375
XM_027354371.1	-11.5721434257904
XM_027360785.1	-12.3444684983397
XM_027363185.1	-8.82227370729878
XM_027364713.1	-8.95808077381744
XM_027366120.1	-9.49048201721207
XM_027369484.1	-5.66259714330684
XM_027370319.1	-13.7563494642634
XM_027370949.1	-9.51434819467794
XM_027373107.1	-9.12205013340558
XM_027373738.1	4.98143516288797
XM_027374962.1	-9.27234631561362
XM_027357523.1	-10.4244309489243
XM_027367748.1	-13.4296263769113
XM_027377418.1	-10.9833177714565
XM_027382389.1	-11.2400966449909
XR_003477154.1	-16.8264947609004
XM_027383335.1	-12.7728922910737
XM_027356265.1	-12.5768250858985
XM_027362395.1	-10.4030894546531
XM_027368762.1	-8.62331866912204
XR_003476844.1	-13.5690236151571
XR_003476964.1	-14.1705551976131
XM_027365316.1	-13.9277780578011
XM_027362631.1	-11.8350363870994
XM_027371300.1	-14.3411771467037
XM_027358478.1	-14.370556093404
XM_027372464.1	-15.2514056973387
XM_027383259.1	-6.57480159025412
XM_027373108.1	-8.31408666281752
XM_027351673.1	-8.05200845771821
XM_027369612.1	-10.1574428093186
XM_027364460.1	6.03419288768627
XM_027371156.1	-11.7309717129552
XM_027379273.1	-12.3469201803607
XM_027360383.1	-7.4149477765639
XM_027379274.1	-11.9781090043085
XM_027379114.1	-7.80535005542424
XM_027365740.1	-11.9306865834498
XM_027368788.1	-10.0357144456977
XM_027369419.1	-4.92052535991049
XM_027369751.1	5.40545038584199
XM_027380389.1	-9.95732111922691
XM_027381617.1	-9.46671390068255
XM_027361969.1	-10.7599659882927
XM_027356802.1	4.07928088496987
XM_027360131.1	-10.3262714045389
XM_027360384.1	-7.67697077923692
XM_027360878.1	-9.24589038653169
XM_027378011.1	-10.5097152379798
XM_027360870.1	-8.79338669262355
XM_027356112.1	-12.1962495316602
XM_027369485.1	-5.85673182484611
XM_027370945.1	-12.4107366779826
XM_027376468.1	4.45030898361879
XR_003477531.1	-10.0369201361622
XM_027383346.1	-10.5363494869231
XM_027356268.1	-12.0673945501766
XM_027356799.1	4.05693801690706
XM_027352244.1	-7.79716044578694
XM_027365010.1	-14.0866000402105
XM_027360440.1	6.38406424823938
XM_027364461.1	6.61899995764144
XM_027381501.1	-8.53641309194478
XM_027360879.1	-8.64202610433201
XM_027350794.1	-15.5462265652928
XM_027355329.1	-8.90893077570754
XM_027358657.1	-8.41468899176567
XM_027358655.1	5.09538738617574
XM_027381155.1	-7.21894578543927
XM_027366225.1	-10.2394680606959
XR_003476230.1	-7.86354029700858
XM_027354244.1	-10.0560373297274
XM_027360136.1	-14.4723867353544
XM_027363774.1	-8.30890427777617
XM_027356269.1	-12.7080714247406
XM_027370947.1	-12.7083075505281
XM_027356274.1	-12.9472156409095
XM_027352243.1	-8.29474209785591
XM_027354538.1	-10.8199464013846
XM_027352265.1	-11.5343086891255
XM_027357014.1	-9.75786883210153
XM_027377087.1	-11.8527975237428
XM_027356275.1	-15.7720387090828
XM_027362209.1	-9.77742495454396
XM_027373801.1	-10.4421775422568
XM_027366562.1	-13.8462756971215
XR_003475884.1	-11.1026465528589
XM_027363071.1	-9.91688944940817
XM_027370325.1	-12.9379773318492
XM_027372183.1	-9.511158707263
XM_027373414.1	-16.809306413785
XM_027353575.1	-8.13490201067444
XM_027355328.1	-8.87082771274991
XM_027360873.1	-8.49375879069758
XM_027361109.1	-7.39685993922849
XM_027364462.1	6.31183402871785
XM_027372337.1	-7.91074360810155
XM_027373392.1	-9.86490014348161
XR_003475566.1	-5.71182247931668
XM_027362632.1	-12.0294539643524
XM_027376649.1	-8.11459562145602
XM_027352577.1	-12.1203069663066
XM_027355549.1	-13.373726698233
XM_027357015.1	-9.38821039347698
XM_027362475.1	-10.505068263363
XM_027364340.1	-11.1250772047576
XM_027365794.1	-11.2349938398661
XM_027373391.1	-10.110347125161
XM_027358587.1	-7.10855408886429
XM_027383311.1	-13.7919213169901
XM_027354076.1	-7.13224288042414
XM_027362434.1	4.1933421184703
XM_027364459.1	6.14325339075382
XM_027382677.1	-7.6798905222543
XM_027383345.1	-10.3394044285161
XM_027371784.1	-9.0057115830926
XM_027382457.1	-8.19878320067808
XM_027364823.1	6.52233332496747
XR_003475469.1	-13.1769772365958
XR_003476845.1	-12.0838166448094
XM_027363761.1	-6.60094565969394
XM_027356825.1	-7.3518982207521
XM_027362335.1	-9.13099604717946
XM_027368358.1	-7.12510286748791
XM_027374863.1	-10.7437463869556
XM_027363173.1	-8.37119040282991
XM_027350793.1	-12.8108774414157
XM_027354526.1	-9.72765026313192
XM_027363799.1	-12.9269842361051
XM_027364341.1	-11.2839920462347
XM_027352307.1	5.36032096801175
XM_027368955.1	-7.97466428826033
XM_027375317.1	5.78983601899316
XM_027374599.1	-5.99102776123347
XM_027363171.1	-7.70129000313312
XM_027356151.1	-9.17382882714622
XM_027381098.1	3.93011787301579
XR_003477648.1	-12.4770006877718
XM_027354227.1	-9.38514086494194
XM_027371969.1	-8.28075026703614
XM_027377795.1	-15.0144639913541
XM_027353006.1	4.21730478177073
XM_027366245.1	3.792594752886
XM_027376719.1	-7.54903052340786
XM_027372102.1	3.36877779572336
XM_027380532.1	-8.78680869544985
XM_027353007.1	4.09506055114239
XM_027369750.1	6.0870286154835
XM_027352758.1	-8.58389391904628
XM_027373871.1	-14.4865399726002
XM_027382188.1	-7.70740454653529
XM_027358547.1	-5.97473458932542
XM_027359731.1	6.8670425130857
XM_027351285.1	-6.83145519515245
XM_027356811.1	-6.70059466554914
XM_027356270.1	-13.2651052292237
XM_027368530.1	-5.28692173872197
XM_027371970.1	-8.12947317612204
XM_027354425.1	-9.14211739483416
XM_027377359.1	-6.81389923522025
XM_027352033.1	-12.2514114541841
XM_027381683.1	-10.7052607433025
XM_027382441.1	-6.5478672396199
XR_003477621.1	-10.8715666862288
XM_027353005.1	4.26489845311662
XM_027356272.1	-12.7816932409884
XM_027361578.1	5.06549724993194
XM_027379073.1	-12.8387710991623
XM_027366196.1	-7.3248127245586
XM_027356159.1	-8.78947639161365
XM_027358623.1	-10.9734815084097
XM_027368954.1	-8.61876923815691
XM_027371897.1	-14.0235636973937
XM_027368958.1	-7.98077188379502
XM_027364751.1	-9.22595922913508
XM_027367764.1	-8.74704606842256
XM_027378695.1	-8.21300990399988
XM_027363524.1	-9.71768136173521
XM_027353004.1	4.30812186388889
XM_027355334.1	6.15149300419857
XM_027356273.1	-12.8133528562704
XM_027369777.1	-12.8757041854922
XM_027382944.1	4.78809463977791
XM_027356798.1	3.6545008597949
XM_027383307.1	-10.7698209986101
XM_027382548.1	-8.86616536904937
XM_027360875.1	-8.49394512926337
