NOISeq	limma	DESeq2	edgeR
0.919333853760083	0.559195948084837	0.544543773119605	0.512846566990855
0.000520426749934947	0.000316555872111428	0.00030826140567201	0
0.0411137132448608	0.0250079138968028	0	0.022935113949775
0.000260213374967473	0.000158277936055714	0	0
0.0145719489981785	0	0.00863131935881628	0.0081289011467557
0.000260213374967473	0	0.000154130702836005	0
0.0239396304970075	0	0	0.0133546233125272
0	0	0	0
0	0.338714783159228	0.329839704069051	0.310640150965307
0	0.00854700854700855	0.00832305795314427	0
0	0.0204178537511871	0	0.0187255044273479
0	0.0476416587527699	0	0
0	0	0.0696670776818742	0.0656118449702424
0	0	0.0385326757090012	0
0	0	0	0.0477572942371897
