NOISeq	limma	DESeq2	edgeR
0.8965819456617	0.585798816568047	0.559730074776582	0.532258064516129
0.000292141396435875	0.000190876121397213	0.000182381907714755	0
0.0517090271691499	0.0337850734873067	0	0.0306971904266389
0.00058428279287175	0.000381752242794426	0	0
0.0195734735612036	0	0.0122195878168886	0.011619840443982
0.000876424189307625	0	0.000547145723144264	0
0.030382705229331	0	0	0.0180367672563302
0	0	0	0
0	0.318572246611949	0.304395403975926	0.289455428373222
0	0.00419927467073869	0.0040124019697246	0
0	0.00591715976331361	0	0.00537634408602151
0	0.0511548005344531	0	0
0	0	0.0930147729345249	0.0884495317377731
0	0	0.0258982308954952	0
0	0	0	0.0241068331599029
