ID	padj
XM_027356802.1	0
XM_027358624.1	0
XM_027367149.1	0
XM_027356798.1	5.96021697633682e-304
XM_027356797.1	2.44698249523594e-303
XM_027381155.1	3.50692851312224e-296
XM_027356801.1	5.35867654933091e-280
XM_027367236.1	1.93445650927806e-267
XM_027363209.1	8.10162242348215e-258
XM_027360043.1	2.9634970506855e-238
XM_027353008.1	1.07291153290962e-237
XM_027363214.1	2.75794623568545e-223
XM_027382986.1	3.71677724452631e-221
XM_027363210.1	3.00492406459937e-216
XM_027355456.1	1.79751630107888e-206
XM_027357870.1	1.51576317963388e-201
XM_027363229.1	4.39207354109335e-198
XM_027363224.1	4.57821491604589e-192
XM_027370370.1	1.67337431892044e-190
XM_027363225.1	5.52126088411099e-182
XM_027363208.1	1.27730196573552e-179
XM_027357161.1	3.99005618506996e-178
XM_027373336.1	1.12643661908425e-176
XM_027373337.1	4.62057150434677e-170
XM_027363007.1	1.24980048472535e-167
XM_027371767.1	1.52164435876308e-165
XM_027363215.1	1.65673993516486e-165
XM_027380455.1	7.17692091338142e-165
XM_027354432.1	1.88910530807245e-164
XM_027363223.1	2.02080942878424e-162
XM_027371784.1	4.06059957049442e-161
XM_027367243.1	7.26754325438593e-161
XM_027367438.1	1.00096900846917e-151
XM_027363227.1	1.02730671289998e-151
XM_027354936.1	2.83259512598595e-151
XM_027363560.1	3.17613052187189e-148
XM_027363212.1	2.21995433369531e-147
XM_027363217.1	2.258028268685e-146
XM_027363221.1	1.03116979146726e-143
XR_003475626.1	1.03116979146726e-143
XM_027363211.1	1.43210373118639e-143
XM_027371768.1	4.52354314252221e-139
XM_027363219.1	3.37168673501243e-137
XM_027381865.1	1.04284131869245e-133
XR_003476140.1	2.78701469728024e-131
XM_027356800.1	1.45188419808405e-129
XM_027367242.1	3.467156336127e-129
XM_027370962.1	1.16842109321439e-128
XM_027362399.1	2.59217638087912e-128
XM_027363564.1	8.3542902577745e-128
XM_027376198.1	8.92086315127758e-128
XM_027376200.1	1.56771859877026e-127
XR_003475816.1	1.92670452159058e-127
XM_027356799.1	1.76893140862602e-125
XR_003476776.1	4.69826714912047e-125
XR_003476216.1	3.63595909429992e-124
XM_027354939.1	2.01183986837971e-122
XM_027367224.1	8.84428197048925e-122
XM_027381853.1	9.42513119651396e-120
XM_027363563.1	1.57203874974813e-118
XM_027381156.1	1.91988563006232e-117
XM_027354938.1	9.75653011770485e-117
XM_027363216.1	1.24573409045501e-116
XM_027373988.1	2.58436701412437e-116
XM_027354940.1	9.89640727596575e-115
XM_027380479.1	1.66457482276817e-114
XM_027383691.1	2.22815559786909e-114
XM_027370790.1	1.62016621788164e-113
XM_027363232.1	2.26302420496506e-113
XM_027381851.1	2.80085092320942e-113
XM_027364372.1	1.93551932812806e-111
XM_027381854.1	2.4164763821108e-111
XM_027363213.1	1.38130899430934e-110
XM_027363230.1	7.1400567253476e-110
XM_027373341.1	2.16398418399043e-108
XM_027363565.1	3.85396107050168e-107
XM_027377145.1	4.32470156745095e-107
XM_027373991.1	5.62098223920137e-107
XM_027355828.1	6.4860235462774e-107
XM_027350644.1	5.54103117822423e-106
XM_027381154.1	2.68715317169647e-105
XM_027363218.1	2.00640466993328e-104
XM_027383692.1	2.11595190428764e-104
XM_027377318.1	5.27348733947272e-103
XM_027369484.1	1.52141762401609e-102
XM_027363220.1	2.18004220341102e-102
XM_027372166.1	4.29939155993637e-102
XM_027381855.1	7.1131127115828e-99
XM_027378527.1	9.87754843460338e-99
XM_027365831.1	1.09667759856953e-98
XM_027354937.1	3.4426513431191e-98
XM_027355187.1	5.72014056561838e-98
XR_003476718.1	5.72014056561838e-98
XM_027378454.1	1.98009615854353e-97
XM_027365860.1	2.8431204036833e-97
XM_027373331.1	3.11530157900173e-97
XM_027365884.1	3.7688513068913e-97
XM_027363228.1	1.10841881261171e-96
XM_027365780.1	1.43700184436409e-96
XM_027351027.1	2.51992979863252e-96
XM_027365826.1	3.45003702277629e-96
XM_027363561.1	4.29680380668955e-96
XM_027363562.1	4.37566196425287e-95
XM_027373333.1	5.75837417503766e-95
XM_027365370.1	8.2282140835654e-95
XM_027362996.1	2.13817632209892e-94
XM_027379534.1	2.26907180388483e-94
XM_027377953.1	4.21001513270971e-94
XM_027373383.1	4.41429577756122e-94
XM_027383586.1	8.7239681602617e-94
XM_027350645.1	9.29470186358792e-94
XM_027355579.1	1.52730562893865e-93
XM_027369400.1	2.40293185895351e-93
XM_027376055.1	6.91759948038055e-93
XM_027362623.1	1.8942856189137e-92
XM_027359148.1	2.60244802222751e-92
XM_027368559.1	4.84668669814727e-92
XM_027371490.1	6.7865599374274e-92
XM_027373334.1	2.31479004992162e-91
XM_027355548.1	3.92716841128587e-91
XM_027371430.1	8.46386074478723e-91
XM_027364373.1	2.38757223246368e-90
XM_027373332.1	5.97849743745871e-90
XM_027367238.1	7.67660650164096e-90
XM_027360238.1	1.27645011941084e-89
XM_027383718.1	3.04639572558415e-89
XM_027369512.1	4.26150699505968e-89
XM_027373338.1	4.71635539009243e-89
XM_027363559.1	1.12677790314673e-88
XM_027359447.1	1.57548128682555e-88
XM_027373339.1	2.45263864679276e-88
XM_027373340.1	3.36460109594309e-88
XM_027365815.1	5.99671188041112e-88
XM_027374657.1	6.15592132490127e-88
XM_027373330.1	8.72343515443132e-88
XM_027355829.1	1.85260373370034e-87
XM_027365772.1	4.37833192482772e-87
XR_003476212.1	5.44968377598994e-87
XM_027371429.1	1.96156365674973e-86
XM_027365712.1	2.70151026414468e-86
XM_027355580.1	1.79133470752676e-85
XM_027373335.1	4.1490240665213e-85
XM_027365741.1	6.95055345950047e-85
XM_027367222.1	2.21791844325515e-84
XM_027365681.1	1.91376912450642e-83
XM_027351285.1	2.20613736287717e-83
XM_027356628.1	2.25410515914718e-83
XM_027352200.1	2.27806567831726e-83
XM_027361553.1	2.47376429448428e-83
XM_027352823.1	2.79839478541931e-83
XM_027357062.1	7.1454217881841e-83
XM_027368643.1	9.94667927936555e-83
XM_027367241.1	1.04659678821998e-82
XM_027367001.1	1.5965811699067e-82
XM_027366703.1	2.29824302726985e-82
XM_027365505.1	3.08577968881839e-82
XM_027365647.1	8.53452433047763e-82
XM_027356825.1	1.2369473356447e-81
XM_027373312.1	2.07074588726197e-81
XM_027370381.1	2.42629087679391e-81
XM_027363226.1	5.41799442937525e-81
XM_027365614.1	7.59854236113059e-81
XM_027376054.1	3.55631963439882e-80
XM_027365225.1	6.33564608445427e-80
XM_027358642.1	1.15295231597727e-79
XM_027362049.1	1.73668940890076e-79
XM_027363570.1	1.74606914570226e-79
XM_027365721.1	1.81800815733709e-79
XM_027372710.1	4.03655510311177e-79
XM_027365822.1	6.40800161776632e-79
XM_027375217.1	6.5830149513601e-79
XM_027354274.1	7.72831585356565e-79
XM_027381866.1	1.31590070506021e-78
XM_027365668.1	5.37805325042092e-78
XM_027361149.1	1.00233522205192e-77
XM_027370936.1	1.08719159716887e-77
XR_003476309.1	1.34792603174017e-77
XR_003477589.1	1.54286918089814e-77
XM_027363873.1	1.54605623627338e-77
XM_027373933.1	3.39982189731489e-77
XM_027373343.1	4.34023594786715e-77
XM_027353560.1	7.27314393786745e-77
XM_027363252.1	8.41180100323815e-77
XM_027367223.1	1.45933408177703e-76
XM_027367225.1	1.50494064785674e-76
XM_027365763.1	3.84523707301134e-76
XM_027373344.1	4.10587393986916e-76
XM_027360239.1	8.06584230502205e-76
XM_027354076.1	5.71874104152466e-74
XM_027363929.1	3.29309754881917e-73
XM_027352492.1	4.03795466655111e-73
XM_027364371.1	6.73526431175092e-73
XM_027370544.1	7.14466861924639e-73
XM_027374011.1	8.54715281026773e-73
XR_003475882.1	1.28458333687872e-72
XM_027373738.1	3.09908328175796e-72
XM_027365755.1	5.72977381456429e-72
XM_027366310.1	5.76805295170282e-72
XM_027351037.1	5.85417287059069e-72
XM_027366305.1	6.48498507539108e-72
XM_027381957.1	7.40010626244869e-72
XR_003476717.1	7.40010626244869e-72
XM_027369485.1	1.37856681648244e-71
XM_027357706.1	3.29121282884023e-71
XM_027373317.1	4.1417255156799e-71
XM_027379675.1	1.54492586561751e-70
XM_027361578.1	2.66439017849414e-70
XR_003477591.1	3.91488589684898e-70
XM_027365675.1	8.9522847428514e-70
XM_027368030.1	1.45091204632015e-69
XM_027357401.1	1.69053233440559e-69
XM_027355601.1	2.94842508446075e-69
XM_027373315.1	3.40759223767973e-69
XM_027363739.1	5.19312764844452e-69
XM_027368554.1	5.87209559287197e-69
XM_027380967.1	1.64658652633389e-68
XM_027383660.1	1.64658652633389e-68
XM_027354945.1	1.73726973235543e-68
XM_027373316.1	2.8128298437988e-68
XM_027373313.1	4.34141070385784e-68
XM_027365697.1	6.33483789070797e-68
XM_027365689.1	1.1575312355984e-67
XM_027375339.1	1.47990153101905e-67
XM_027375602.1	3.3630666433169e-67
XR_003476574.1	3.65638387356124e-67
XM_027355909.1	4.75605311177371e-67
XM_027375315.1	1.90219045161919e-66
XM_027367239.1	3.57219342042185e-66
XM_027370793.1	8.86046435642073e-66
XM_027365858.1	1.31610487346339e-65
XM_027362845.1	2.12659156501108e-65
XM_027365734.1	2.21767831643945e-65
XM_027365636.1	3.21123842486423e-65
XM_027365262.1	4.56057443874357e-65
XM_027366844.1	5.20465275855776e-65
XM_027365861.1	5.41472101900463e-65
XM_027365630.1	2.85008171877561e-64
XM_027375219.1	5.60623130776823e-64
XM_027380334.1	8.95619713603661e-64
XM_027383714.1	2.13271533535599e-63
XM_027375615.1	2.50457474459383e-63
XM_027363253.1	3.43146819174912e-63
XM_027371197.1	3.76219081343604e-63
XM_027366308.1	4.32447966103289e-63
XM_027367246.1	7.72024284053142e-63
XM_027366313.1	1.13439940874613e-62
XM_027369977.1	1.16307407854846e-62
XM_027365785.1	1.31815185299539e-62
XM_027380481.1	2.726787578932e-62
XM_027364664.1	2.9984435450202e-62
XR_003476908.1	3.27201348724799e-62
XM_027368553.1	3.78230915333132e-62
XM_027366518.1	3.84703775729844e-62
XM_027382944.1	4.26697775017915e-62
XM_027358602.1	5.34963553072326e-62
XM_027354278.1	5.52877838148722e-62
XM_027366311.1	8.80586358653088e-62
XM_027366299.1	1.21676833539934e-61
XM_027359703.1	1.39608561398644e-61
XM_027371491.1	2.54533945419275e-61
XM_027357845.1	4.72506497934465e-61
XM_027373323.1	6.53295137182589e-61
XM_027370783.1	1.25621656274415e-60
XM_027365662.1	1.39536128154508e-60
XM_027368031.1	1.41925558250635e-60
XM_027361148.1	1.45866106382448e-60
XM_027375218.1	1.64772116040958e-60
XM_027365655.1	2.14691163856038e-60
XM_027354135.1	2.42533333798513e-60
XM_027362730.1	3.09425839969343e-60
XM_027371769.1	3.30826800117158e-60
XM_027382562.1	5.77163496405437e-60
XM_027370287.1	9.41751643664361e-60
XM_027364713.1	1.20426891979989e-59
XM_027360666.1	1.61468391388201e-59
XM_027365705.1	3.86040473030777e-59
XM_027354285.1	4.05159216921885e-59
XM_027380453.1	4.22022537001177e-59
XM_027356811.1	6.66492110975974e-59
XM_027361534.1	8.48538039555771e-59
XM_027366154.1	1.39855532206026e-58
XM_027366307.1	2.22492694189628e-58
XM_027367644.1	2.22492694189628e-58
XM_027357709.1	2.9168316181303e-58
XM_027358254.1	3.53394591215609e-58
XR_003477590.1	4.05839765618185e-58
XM_027351045.1	4.94453639442605e-58
XM_027383258.1	4.94996079676146e-58
XM_027365728.1	5.72258302082584e-58
XM_027364618.1	8.51944277421922e-58
XM_027354134.1	1.07661261818131e-57
XM_027363871.1	1.21890355282887e-57
