limma	edgeR	DESeq2	NOISeq
0.958748221906117	0.747228381374723	0.718805545680768	0.645800063877355
0	0	0	0
0.00521574205784732	0.0040650406504065	0	0.00351325455126158
0.00521574205784732	0.0040650406504065	0	0
0.00284495021337127	0	0.00213295414148596	0.0019163206643245
0	0	0	0
0.00474158368895211	0	0	0.00319386777387416
0.0232337600758653	0	0	0
0	0.231707317073171	0.222893707785283	0.20025550942191
0	0.00073909830007391	0.000710984713828653	0
0	0.00813008130081301	0	0.00702650910252316
0	0.0040650406504065	0	0
0	0	0.0487024528972627	0.043755988502076
0	0	0.0067543547813722	0
0	0	0	0.0945384861066752
