ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027351775.1	2.47396700022607	4.53070955813147	3.775368653116	0.00213060613211509	0.00699293604290026	-1.82130552200559	65	151	47	247	182	223	94	7800	9280	7235	29429	8213	6.98652303319694	14.01370522155	5.60795083775229	11.7099782482369	11.3486339379696	11.8396751575868	12.3505338182068	40.7846162533778	41.7082042979673	54.9871138564322	347.246641847113	64.8593980279523	Down_muscle_Up_gills
XM_027351776.1	2.57409360777681	4.29719725960871	3.5817637296445	0.00311199504042644	0.00959927645919591	-2.17444258556867	65	117	38	253	114	175	61	7726	8613	6427	27334	7520	6.98652303319694	10.8583013968302	4.53408791137419	11.9944311611495	7.10848499411283	9.29122489945149	8.01470811607036	40.3976852786662	38.7104271140509	48.8461894616849	322.526749405314	59.3866642116403	Down_muscle_Up_gills
XM_027351786.1	2.94439000898286	0.88081073441231	4.97390043172656	0.000219374839625968	0.00101913841752018	0.755429312862799	10	15	0	23	12	17	34	854	954	784	759	530	1.07484969741491	1.39208992267053	0	1.09040283283177	0.748261578327666	0.902576133089573	4.46721435977692	4.46539260004931	4.2876753125281	5.95852069985389	8.9557987414441	4.18549628087358	Down_muscle_Up_gills
XM_027351794.1	2.55674052583216	0.87419382127684	6.37020838157067	1.94713264261416e-05	0.000130540940106255	3.12850883476857	4	9	4	29	14	12	24	731	881	678	648	492	0.429939878965965	0.83525395360232	0.477272411723599	1.37485574574441	0.872971841382278	0.637112564533816	3.15332778337195	3.82225057451527	3.95958275716694	5.15290438074099	7.6460574235254	3.88540409469774	Down_muscle_Up_gills
XM_027351800.1	2.77095864127286	0.912135587847154	6.26506976051662	2.31485118338222e-05	0.000151321094455291	2.9603141937665	14	2	6	15	10	19	34	805	886	734	689	517	1.50478957638088	0.185611989689404	0.715908617585399	0.711132282281592	0.623551315273055	1.00876156051188	4.46721435977692	4.20918154922681	3.98205484999989	5.57851300215912	8.12983574816204	4.08283316455027	Down_muscle_Up_gills
XM_027351854.1	3.83381879839385	-0.356492964685599	3.26277410503413	0.00582647261116505	0.0162246617239254	-2.41497864781434	0	0	0	20	6	18	35	204	586	145	2075	318	0	0	0	0.948176376375456	0.374130789163833	0.955668846800725	4.59860301741742	1.0666745789345	2.6337292800225	1.10202232331481	24.4839030151469	2.51129776852415	Down_muscle_Up_gills
XM_027351863.1	2.05413652240224	2.10592698834957	4.90006358353339	0.000251180899107113	0.0011425096459065	0.536926435325831	12	24	18	73	44	31	25	2497	1503	1722	889	1157	1.2898196368979	2.22734387627285	2.1477258527562	3.46084377377041	2.74362578720144	1.64587412504569	3.28471644101244	13.0563059980364	6.75511110558673	13.0874651086076	10.4897300146822	9.13701735277497	Down_muscle_Up_gills
XM_027351864.1	2.3605192913083	2.16257198830629	4.63152142606271	0.000413361177965298	0.00174341300640939	0.0458133552451914	17	32	8	88	42	22	21	2705	1809	2090	1158	1522	1.82724448560535	2.96979183503047	0.954544823447198	4.17197605605201	2.61891552414683	1.16803970164533	2.75916181045045	14.1438957647932	8.13040318696366	15.8843217636411	13.6637878031519	12.0194817726219	Down_muscle_Up_gills
XM_027351876.1	4.08545168593081	5.43965012104936	11.1191711786038	3.15817312153851e-08	6.44668354650558e-07	9.39661116637613	68	151	66	287	172	203	909	42262	28193	19138	39060	19378	7.30897794242141	14.01370522155	7.87499479343938	13.6063310009878	10.7250826226966	10.7778208833637	119.432289795212	220.97941693593	126.711142647909	145.451746369648	460.887350251392	153.031220624091	Down_muscle_Up_gills
XM_027351987.1	-2.50157790412233	8.89376613232776	-9.16402307179226	3.30663298570164e-07	4.6129812836031e-06	6.99757971034992	13573	17102	13235	15231	18856	12905	1480	50415	52401	23465	16884	18603	1458.89349430126	1587.1681238341	1579.17509229046	722.083719428728	1175.76836007887	685.161470442408	194.455213307937	263.60979851462	235.512027307951	178.337612528152	199.222273979634	146.910919458663	Up_muscle_Down_gills
XM_027352005.1	-3.88919447381084	2.93747533934576	-11.4423197314743	2.21245101236496e-08	4.86739222720291e-07	9.74632275163968	244	381	435	519	523	587	3	799	428	278	164	280	26.2263326169239	35.3590840358316	51.9033747749414	24.6051769669431	32.6117337887808	31.1654229484458	0.394165972921493	4.17780876749344	1.92361114650108	2.11284279918288	1.93511329854655	2.21120558234831	Up_muscle_Down_gills
XM_027352009.1	-4.905569226642	4.9190514725315	-17.0721848785358	1.31480679406564e-10	9.89322176002798e-09	14.6799031375456	1574	2455	2123	2545	2386	2515	31	1639	1831	588	364	565	169.181342373107	227.838717343744	253.3123325223	120.655443893777	148.779343824151	133.528174983546	4.07304838685543	8.56999821016489	8.22928039542867	4.46889052489042	4.29500756506674	4.46189697866712	Up_muscle_Down_gills
XM_027352010.1	-4.5856551240484	4.84293813366931	-13.8942138326808	1.8989340492478e-09	6.35043051079417e-08	12.1518732577028	1372	2302	1956	1867	2161	2036	26	1787	2183	629	426	541	147.469378485326	213.639400132505	233.38620933284	88.5122647346488	134.749439230507	108.096765115904	3.41610509865294	9.34386015958796	9.81131573086881	4.78049683700012	5.026574787688	4.27236507160869	Up_muscle_Down_gills
XM_027352018.1	4.23430526379975	1.3415091299714	5.88473969481135	4.38375193169083e-05	0.000258278029261552	2.33742296786305	4	5	6	59	19	1	25	2036	1902	2443	1424	1783	0.429939878965965	0.464029974223511	0.715908617585399	2.79712031030759	1.18474749901881	0.0530927137111514	3.28471644101244	10.6458306015227	8.54838411365665	18.5671761093661	16.8024471776237	14.0806412618823	Down_muscle_Up_gills
XM_027352033.1	6.27382271244489	1.49500717428302	8.45639508675801	8.49662926142505e-07	9.99944405425281e-06	6.13296765469457	2	0	1	15	32	6	108	10072	4839	1776	2633	4052	0.214969939482983	0	0.1193181029309	0.711132282281592	1.99536420887378	0.318556282266908	14.1899750251738	52.6644429364129	21.7484914437353	13.497873422118	31.0680080187382	31.9993036416977	Down_muscle_Up_gills
