ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	Expression
XM_027354936.1	-7.2877801749087	4.2494390443052	-37.9786201804709	3.49591747743632e-15	2.30342094873851e-11	23.4537785178143	2867	4247	3024	6135	4153	4338	91	59	64	227	263	221	243.917222552095	303.662604232915	274.711712280954	232.0389235488	203.514648457479	193.319489702371	1.20895676319047	1.4074068131576	1.42504471819043	1.64192552267567	1.66615881398509	1.76729509831373	Up_muscle_Down_hemocytes
XM_027382986.1	-10.3205363121493	6.89333566791056	-37.8959880247297	3.59993896809957e-15	2.30342094873851e-11	22.575848019988	52768	65828	45515	115513	67703	113529	308	133	80	498	651	446	4489.37007311788	4706.73461536245	4134.75647634512	4368.95063991729	3317.73470852798	5059.32880277098	4.0918536600293	3.17262891779595	1.78130589773804	3.60210973697129	4.12421820495929	3.5665774382259	Up_muscle_Down_hemocytes
XM_027354938.1	-7.24523600704051	4.27233559336549	-34.8638487746783	1.10524909007171e-14	2.6175078976778e-11	22.677269268286	2977	4461	3035	6029	3973	4268	90	62	64	274	290	191	253.275748705123	318.963710262075	275.71099430314	228.029775073467	194.693883535171	190.199995862084	1.19567152403454	1.47896987145375	1.42504471819043	1.98188367054244	1.83720933861474	1.52739078632544	Up_muscle_Down_hemocytes
XM_027354940.1	-7.31554159000506	4.19394719175689	-33.8619626628768	1.63531309268915e-14	2.6175078976778e-11	22.3700328194104	2959	4249	2984	6011	3990	3771	77	53	70	251	246	194	251.744353516446	303.805605223842	271.077959473005	227.348976275769	195.526955777833	168.051589596045	1.02296341500733	1.26428069656531	1.55864266052079	1.81552117265019	1.55846033551457	1.55138121752427	Up_muscle_Down_hemocytes
XM_027355456.1	-9.35296328258022	6.48792442003188	-33.8856933929705	1.61999734690207e-14	2.6175078976778e-11	21.9326418877346	23486	34199	23174	51360	53402	68304	331	71	186	538	608	458	1998.1304111819	2445.24544435165	2105.21468928533	1942.54590276551	2616.92493545059	3043.91296095684	4.3974141606159	1.6936590463422	4.14153621224095	3.89143582026216	3.85180440647504	3.66253916302122	Up_muscle_Down_hemocytes
XM_027359305.1	-8.72774091513944	6.30806725928804	-35.240774950469	9.56504394183845e-15	2.6175078976778e-11	22.4373057425273	17378	27673	18311	35911	24354	54221	220	218	123	559	699	533	1478.47697715742	1978.63321095773	1663.44119165891	1358.23142356332	1193.44949398831	2416.31536448877	2.92275261430664	5.20024890285352	2.73875781777224	4.04333201398986	4.42830802652311	4.26229994299194	Up_muscle_Down_hemocytes
XM_027377764.1	-9.17955556864632	5.97146955879781	-35.6459983481657	8.20220697460586e-15	2.6175078976778e-11	22.488036869279	16789	26999	17908	30153	20236	54347	132	113	103	398	481	392	1428.36632348348	1930.44187701542	1626.83113211883	1140.45145261075	991.649994265722	2421.93045340128	1.75365156858399	2.69554186248829	2.29343134333773	2.87879452874412	3.0472334202541	3.13474967664698	Up_muscle_Down_hemocytes
XR_003476216.1	-5.73964152685402	4.93375105509884	-33.8604017220649	1.63632594994314e-14	2.6175078976778e-11	22.6687764502868	2292	3507	2276	6579	4277	5237	356	204	185	608	525	482	194.997654024905	250.752237590024	206.760534772306	248.831960558689	209.591175403958	233.382703451203	4.72954513951439	4.86628796413816	4.11926988851923	4.39775646602118	3.32598242335427	3.85446261261185	Up_muscle_Down_hemocytes
XM_027359306.1	-8.83368031305501	6.20066083095489	-32.7930237755743	2.51562175938827e-14	3.5769346283213e-11	21.7708732670591	16836	27180	17741	35038	24207	51036	173	152	105	611	631	560	1432.36496647613	1943.38346669429	1611.66021414564	1325.21268187496	1186.24586930176	2274.3783947557	2.2983463739775	3.62586162033823	2.33796399078118	4.41945592226799	3.99751411264104	4.4782138237814	Up_muscle_Down_hemocytes
XM_027350813.1	-7.13494458011614	5.35015046092779	-32.070131280281	3.3926946511974e-14	3.64921621462467e-11	21.8994508562161	6031	9321	6002	10727	9229	8382	279	87	198	486	571	475	513.102465717365	666.456118214034	545.244608832767	405.718261272695	452.260219266572	373.537105275536	3.70658172450706	2.07532869058833	4.40873209690166	3.51531191198403	3.61740183568626	3.79848493981458	Up_muscle_Down_hemocytes
