ID	logFC
XM_027380431.1	-13.5755068090883
XM_027380586.1	-12.6378807663503
XM_027352295.1	-12.0897319582471
XM_027352296.1	-13.7750099705284
XM_027367228.1	-10.9036340535305
XM_027380251.1	-10.1116657453633
XM_027358232.1	-12.8548608663791
XM_027369553.1	-12.9585504826245
XM_027379298.1	-14.493628288379
XM_027352297.1	-11.9380838731886
XM_027363949.1	-12.6855199170837
XM_027354925.1	-11.8339052053847
XM_027377569.1	-16.1076026656338
XM_027360388.1	-12.2424643656242
XM_027378597.1	-12.3988718765818
XM_027361473.1	-9.50169615121132
XM_027382895.1	-11.6296143535656
XM_027355864.1	-11.6439812260349
XM_027372562.1	-11.4442735461139
XM_027381942.1	-11.8797736265958
XM_027364536.1	-10.469643649907
XM_027379523.1	-11.6418979081501
XM_027363320.1	-11.5773905612814
XM_027355865.1	-13.9289569381128
XM_027374911.1	-12.7235833199952
XM_027359900.1	-13.8428273132745
XM_027362906.1	-8.76819258889779
XM_027379362.1	-14.7820353324855
XM_027365869.1	-13.1575667155624
XM_027365595.1	-12.5298430144685
XM_027375794.1	-11.6217796629747
XM_027365310.1	-13.0339465302841
XM_027370939.1	-13.1556185133878
XM_027364525.1	-13.5756820626543
XM_027380981.1	-11.7317084793214
XM_027375922.1	-15.2980773062873
XM_027352868.1	-10.4773446525779
XM_027353914.1	-13.1671069637872
XM_027351567.1	-10.3807235804493
XM_027372253.1	-12.4924534684084
XM_027378226.1	-13.2411102487051
XM_027353363.1	-10.9880855166183
XM_027357695.1	-13.4430218489304
XM_027382405.1	-10.9569425676684
XM_027377963.1	-13.2304513540347
XM_027363991.1	-13.7247572500947
XM_027362059.1	-12.7851088100882
XM_027365311.1	-12.2237527035314
XM_027360302.1	-11.4341177167282
XM_027352856.1	-13.0941143391524
XM_027355671.1	-13.0532073630932
XM_027368839.1	-13.4848215029945
XR_003476748.1	-11.8323823505589
XM_027376807.1	-13.8058018282926
XM_027369773.1	-11.7671796383714
XM_027376188.1	-9.57731944300041
XM_027380855.1	-12.0600729040083
XM_027355338.1	-11.0212356505945
XM_027379449.1	-13.7445241102702
XM_027371550.1	-10.7381873061052
XM_027374995.1	-7.55886428747978
XM_027366679.1	-12.6123494068979
XM_027376737.1	-9.78895129193486
XM_027369645.1	-12.6550201899718
XM_027380253.1	-11.6901325286572
XM_027351217.1	-8.9870334658591
XM_027362058.1	-10.989699423034
XM_027359233.1	-14.7325569133225
XM_027372202.1	-12.0221533607969
XM_027374535.1	-11.8323625543456
XM_027374921.1	-12.5822864449825
XM_027374373.1	-12.2323080210743
XM_027355619.1	-14.2465788237552
XM_027367879.1	-13.3889317807463
XR_003475003.1	-10.6945074120043
XM_027369548.1	-10.1634924447037
XM_027366577.1	-13.1852003507671
XM_027376387.1	-11.7061966351259
XM_027380441.1	-11.2167535906647
XM_027352843.1	-10.779257551231
XM_027364702.1	10.0783489580638
XM_027374536.1	-11.6577779169303
XM_027352569.1	-13.9642168663871
XM_027351847.1	-12.4644650883896
XM_027377212.1	-12.579904259145
XM_027369535.1	-12.3013388831712
XM_027356123.1	-12.8050580539015
XM_027353680.1	-14.7437754724498
XM_027365314.1	-12.3178356572428
XM_027381683.1	10.2312548901822
XM_027362910.1	-15.2521159144074
XM_027358460.1	-13.9756798133477
XM_027359230.1	-13.0204258022506
XM_027360238.1	-7.46656989503574
XM_027382407.1	-11.1493836089951
XM_027376736.1	-9.21878065157228
XM_027365380.1	-12.4589804123835
XM_027365519.1	-11.4312210685747
XM_027356770.1	-13.4889026260481
XM_027365162.1	-12.2591515406945
XM_027372900.1	-9.40693521232608
XM_027373827.1	-12.2235689052363
XM_027375340.1	-10.8006182605351
XM_027376806.1	-12.9155493405017
XM_027367963.1	-10.0777443145219
XM_027376738.1	-10.1293292188864
XM_027351588.1	-11.0428280356929
XM_027381890.1	-11.7761488207334
XM_027365592.1	-12.8587771605007
XM_027353471.1	-11.3193690987497
XM_027382409.1	-10.4642855349335
XM_027377227.1	-13.1006290594669
XM_027375239.1	-13.027315901603
XM_027355571.1	-12.75127060802
XR_003477669.1	-12.9966819896604
XM_027363321.1	-12.6302056783466
XM_027376739.1	-10.4189739236318
XM_027377298.1	-12.5627419472371
XM_027360690.1	-11.6765548578696
XM_027362057.1	-11.7878804720454
XM_027373824.1	-10.5004639307204
XM_027373828.1	-10.6957113006562
XM_027351358.1	-10.4739069665047
XM_027356949.1	-10.3958037991473
XM_027382408.1	-10.2010036157967
XM_027379161.1	-11.2951077055922
XM_027381844.1	-10.5994825464206
XM_027365477.1	-11.1987749330886
XM_027380885.1	-13.2595385015855
XM_027354213.1	8.81178996491211
XM_027371253.1	-11.8163596644547
XM_027374289.1	-11.3261931891957
XM_027360739.1	-9.71017347050112
XM_027361345.1	-11.9818844749954
XM_027363955.1	-12.1646759847046
XM_027379428.1	-12.0254519009495
XM_027380875.1	-13.2320254249066
XM_027376740.1	-9.7088707200022
XM_027378762.1	-11.8787686465829
XM_027371450.1	-12.8658772357542
XM_027380822.1	-13.3158257804171
XM_027374593.1	-12.7470668279187
XM_027359091.1	-11.8885642115154
XM_027359595.1	-14.0745841074138
XM_027380876.1	-12.7560172441352
XM_027375771.1	-11.9883253146523
XM_027375831.1	-13.5071936128531
XM_027369687.1	-11.8485109457502
XM_027357843.1	-10.9783020566239
XR_003476604.1	-10.250509691472
XM_027379361.1	-13.7039562801866
XM_027356405.1	-12.5870603154322
XM_027373825.1	-10.6904696322091
XM_027351587.1	-13.4056492960058
XM_027378341.1	-10.5910851885116
XM_027363588.1	-12.1919105883123
XM_027353719.1	-11.3826488261476
XM_027382187.1	-10.0604483808282
XM_027352587.1	-12.5999992507699
XM_027360500.1	-12.650788405259
XM_027364872.1	-11.4620767533669
XM_027363415.1	-11.7212500077387
XM_027363126.1	-12.3484416797838
XM_027358195.1	-12.8003381535106
XR_003477129.1	-11.0496766818122
XM_027360143.1	-13.0569100672918
XM_027371447.1	-11.9046018504152
XM_027379368.1	-12.4297371418915
XM_027368181.1	-13.197445588171
XM_027383549.1	-12.5904025242023
XM_027379160.1	-10.1976807306575
XM_027369957.1	-12.9284737211358
XM_027362060.1	-11.7776518902982
XM_027351791.1	-11.5980415995934
XM_027367145.1	-8.54467590630939
XM_027372220.1	-13.7682287305616
XM_027365593.1	-11.2359120751442
XR_003475024.1	-11.4741522046218
XM_027352568.1	-11.1730809714805
XM_027351568.1	-12.4911360902146
XM_027377205.1	-12.8749745762297
XM_027365600.1	-14.8923292932085
XM_027358186.1	-13.039507886916
XM_027380237.1	-13.3810574269131
XM_027355352.1	-11.5256854929533
XM_027369236.1	-11.1567833186764
XM_027377086.1	9.39448432041629
XM_027356030.1	-13.1317207986782
XM_027378603.1	-11.0556287527194
XM_027360499.1	-11.7835177131438
XM_027375343.1	-12.2445076904196
XM_027358358.1	-11.8876241837014
XM_027374772.1	-10.4083487775159
XM_027377290.1	-13.4126940985838
XM_027381805.1	-11.9395710119301
XM_027381821.1	-11.8883186157263
XR_003475025.1	-11.9474092193977
XM_027377329.1	-13.7663273606889
XM_027360832.1	-15.0782542219478
XM_027380569.1	-11.5017753898759
XM_027381944.1	-8.65786581160986
XM_027377235.1	-13.5938706294512
XM_027381918.1	-12.4994030037821
XM_027374374.1	-11.8615755001675
XM_027372150.1	-10.8054374250524
XM_027367880.1	-11.1588521566585
XM_027372898.1	-11.3629693914804
XM_027381145.1	-11.5454599853158
XM_027375237.1	-9.87781781726765
XM_027379363.1	-12.6074085834682
XM_027375727.1	-10.6905322338313
XM_027382410.1	-11.5430650938455
XM_027358147.1	-11.1662760053864
XM_027378234.1	-12.5668618106221
XM_027363240.1	-12.6686046554993
XM_027363951.1	-12.7140770153907
XM_027358144.1	-11.4950135474998
XM_027354222.1	-12.2402385469089
XM_027352583.1	-12.3650893931195
XM_027365464.1	-11.8111605225837
XM_027373829.1	-10.2367969684611
XM_027376863.1	-8.46127020955362
XM_027369533.1	-10.757200951137
XM_027363319.1	-10.964892810719
XM_027369966.1	-10.6893357645387
XM_027365597.1	-12.6254455836954
XM_027361907.1	9.42830030000141
XM_027359231.1	-11.6149744338724
XM_027367708.1	-11.7988656102096
