ID	log2FC_SigInv
XM_027350813.1	-5.2108352291631
XM_027354432.1	-6.78192564274405
XM_027355469.1	-13.7141684811942
XM_027356802.1	-7.98746825225268
XM_027358886.1	-14.9469206291594
XM_027359306.1	-5.6816121461586
XM_027360043.1	-7.33499901179257
XM_027361439.1	-5.56778651408715
XM_027362996.1	-3.92212426086837
XM_027364574.1	-14.3566121065655
XM_027364575.1	-14.9755934466254
XM_027365807.1	-7.38504619433125
XM_027365815.1	-6.19166083335512
XM_027365839.1	-9.28851138761116
XM_027365858.1	-6.75804784178862
XM_027365863.1	-9.83409317525214
XM_027366660.1	-15.3154745149368
XM_027367223.1	-13.2041597832116
XM_027367236.1	-14.7483983203067
XM_027367238.1	-14.0168845896585
XM_027367243.1	-13.7091380253075
XM_027367406.1	-4.69419391024222
XM_027369977.1	-8.8952362378858
XM_027371482.1	-13.7181417573965
XM_027371493.1	-12.8061982364893
XM_027377589.1	-1.79709745491591
XM_027383691.1	-8.14846407172597
XR_003475609.1	-10.9124828038257
XR_003476141.1	-11.9219575373274
XR_003476718.1	-13.0716616631912
XM_027359305.1	-5.6077750163549
XM_027370370.1	-6.95685817069842
XR_003477590.1	-16.4244733146252
XR_003477592.1	-11.3175628021406
XM_027365885.1	-13.9726841337679
XM_027367224.1	-13.0365824923941
XR_003476574.1	-14.8071193795586
XM_027365860.1	-4.95708178201658
XM_027368554.1	-14.1931451567466
XR_003476717.1	-14.8319230891394
XM_027368553.1	-14.934981144169
XM_027368559.1	-16.2968677579173
XM_027382986.1	-6.00012334009606
XM_027367225.1	-13.1591065571648
XM_027383692.1	-7.99932096646841
XM_027365884.1	-13.7928849478292
XM_027365822.1	-7.41008666802105
XM_027367222.1	-12.9546458661624
XM_027359446.1	-7.46133140453389
XM_027355456.1	-9.23788768377402
XM_027373336.1	-10.2313913979162
XM_027354223.1	-9.14962218223025
XM_027363007.1	-4.12884058240203
XM_027368558.1	-13.3561754280891
XM_027365225.1	-9.59146917146243
XM_027365861.1	-5.48926024723844
XM_027356467.1	-15.0909473523448
XM_027378454.1	-11.696988670752
XM_027373314.1	-3.58089266471843
XM_027373337.1	-9.9657771209534
XM_027373341.1	-6.60465200195996
XR_003476719.1	-13.4121984304651
XR_003477589.1	-12.4534296386917
XR_003475816.1	-13.3811415467911
XM_027367234.1	-15.6655497902417
XM_027370962.1	-12.9783096492933
XR_003476140.1	-13.9528759175054
XM_027370790.1	-7.27644833105106
XM_027381668.1	-13.623171445588
XM_027367242.1	-13.7741676769959
XM_027367149.1	-7.43282487730314
XM_027370922.1	-8.29642898430969
XM_027365850.1	-6.46925594158861
XM_027367241.1	-13.9776048690274
XM_027362049.1	-13.5475193855286
XR_003477591.1	-17.2410618234317
XM_027365792.1	-9.76995440752439
XM_027363739.1	-11.6041404103601
XM_027354134.1	-15.779522190874
XM_027371491.1	-14.4010116294004
XM_027359243.1	-2.38970532736858
XM_027371490.1	-14.4280426453696
XR_003476216.1	-3.99858333997718
XM_027354133.1	-15.7493350079586
XM_027365845.1	-9.38018947420792
XR_003475500.1	-15.1510630229985
XM_027354936.1	-5.38738265295923
XM_027356798.1	-6.74517374458901
XM_027381669.1	-8.63516787751355
XM_027373343.1	-7.68909697451845
