ID	logFC	logCPM	PValue	FDR	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	hep_1	hep_2	hep_3	hep_4	hep_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027350592.1	-2.92123788008012	2.22590507051337	3.3645217256418e-15	1.59047727119123e-14	255	378	292	520	289	35	17	79	48	39	6.99007576298831	9.37614834846379	6.93670998648685	10.0971506358124	7.49380339846406	0.749342207272481	0.578705280732339	1.8151068141005	1.16643344773085	1.04946334706077	Up_ovary_Down_hep
XM_027350593.1	-3.06959904813361	2.45517033325374	4.71142692627874e-17	2.53047420732609e-16	251	447	341	656	376	43	17	57	59	56	6.88042751572575	11.0876674914373	8.10074693627403	12.7379438790249	9.74972345267297	0.92062042607762	0.578705280732339	1.30963403042694	1.43374111283583	1.5069217291129	Up_ovary_Down_hep
XM_027350594.1	-2.68520765004208	2.14599096338554	2.08964454237562e-18	1.23252343733163e-17	219	357	279	478	274	52	30	58	62	33	6.00324153762525	8.85525121799358	6.62788385695148	9.28161154599678	7.10485166497977	1.1133084222334	1.02124461305707	1.33261006604847	1.50664320331901	0.888007447512958	Up_ovary_Down_hep
XM_027350595.1	-2.88921202485118	2.13383415018038	3.1397353986964e-16	1.59295915376255e-15	218	346	284	481	293	41	17	73	44	34	5.97582947580961	8.58240034012823	6.74666313754201	9.33986433812647	7.59752386072654	0.877800871376335	0.578705280732339	1.67725060037135	1.06923066041994	0.91491676410426	Up_ovary_Down_hep
XM_027350596.1	7.72982705583988	1.29236546752757	6.29492269770412e-40	1.32800909888891e-38	4	0	0	0	0	201	135	272	156	185	0.109648247262562	0	0	0	0	4.30336524747911	4.59560075875681	6.24948168905488	3.79090870512525	4.97822356939083	Down_ovary_Up_hep
XM_027350602.1	-1.58466654178348	2.48607859997856	9.68304944698867e-05	0.000183018612477045	191	303	341	635	326	228	59	81	64	132	5.23570380678732	7.51580145392732	8.10074693627403	12.3301743341171	8.45321767439199	4.88142923594645	2.00844773901224	1.86105888534355	1.55524459697446	3.55202979005183	Up_ovary_Down_hep
XM_027350603.1	-1.76499645304973	6.65377463685587	7.91601325041604e-10	2.44668191486028e-09	4385	6535	6429	9688	5956	1674	1550	2229	1911	1581	120.201891061583	162.098226077277	152.726398983301	188.117683384136	154.43976830883	35.8399672849752	52.7643050079486	51.2135834003799	46.4386316377843	42.5436295308481	Up_ovary_Down_hep
XM_027350605.1	1.62233366336238	2.81877767038379	5.02299613944618e-07	1.21380153113975e-06	76	169	145	178	154	469	300	631	470	250	2.08331669798867	4.19198166902217	3.44459913712532	3.45633233302809	3.99323779710542	10.0411855774512	10.2124461305707	14.4978784771825	11.4213275090312	6.72732914782544	Down_ovary_Up_hep
XM_027350608.1	-2.13213406891666	3.73551948631159	7.86702667162751e-10	2.43319919712475e-09	1016	971	832	820	789	246	125	281	258	88	27.8506548046907	24.0852911279321	19.7648722902639	15.9224298487811	20.4588611812739	5.26680522825801	4.25518588773779	6.45626600964861	6.2695797815533	2.36801986003456	Up_ovary_Down_hep
XM_027350614.1	4.76278969690052	0.948639823321284	6.35373010208728e-17	3.37359453445038e-16	2	5	6	10	5	49	83	198	185	196	0.0548241236312809	0.124023126302431	0.142535136708634	0.194175973765623	0.129650577828098	1.04907909018147	2.82544342945789	4.54925505306201	4.4956289131293	5.27422605189515	Down_ovary_Up_hep
