NOISeq	DESeq2	limma	edgeR
0.899566581975788	0.87638322655795	0.873458133797707	0.856431417188389
0.000149454491107458	0.000145602795573675	0.000145116819039327	0
0.0325810790614258	0.0317414094350612	0	0.031018782014798
0.0010461814377522	0.00101921956901573	0	0
0.0240621730683007	0	0.0233638078653316	0.0229083665338645
0.00896726946644747	0	0.0087070091423596	0
0.00821999701091018	0	0	0.00782583949914627
0.0254072634882678	0	0	0
0	0.0612987769365172	0.0610941808155565	0.0599032441661924
0	0.00276645311589983	0.00275721956174721	0
0	0.0187827606290041	0	0.0183551508252703
0	0.00786255096097845	0	0
0	0	0.00116093455231461	0.00113830392714855
0	0	0.029313597445944	0
0	0	0	0.00241889584519067
