ID	DESeq2_muscle_1_normalized	DESeq2_muscle_2_normalized	DESeq2_muscle_3_normalized	DESeq2_muscle_wssv_1_normalized	DESeq2_muscle_wssv_2_normalized	DESeq2_muscle_wssv_3_normalized
XM_027350598.1	14.2737046525766	351.669089973594	494.028417376434	72.5670443123596	3.19622315649526	1.01367140884969
XM_027350606.1	9.51580310171773	22.852143030775	17.3343304342609	44.0364115057909	55.933905238667	55.245091782308
XM_027350607.1	9.51580310171773	41.8955955564209	24.2680626079652	54.5803410212619	93.4895273274863	71.9706700283278
XM_027350608.1	128.463341873189	144.730239194909	130.007478256956	53.3398787253241	31.1631757758288	30.9169779699155
XM_027350614.1	25.3754749379139	17.7738890239361	0	76.2884312001729	45.5461799800574	72.4775057327527
XM_027350615.1	20.6175733870551	25.3912700341945	19.0677634776869	84.3514361237684	39.1537336670669	81.6005484123999
XM_027350616.1	28.5474093051532	12.6956350170972	22.5346295645391	75.668200052204	57.5320168169147	80.0800412991253
XM_027350619.1	3703.23337375182	4444.74181948575	4749.60653898747	1246.66460741746	2131.88084538234	1019.24660159836
XM_027350628.1	0	24.1217065324848	0	94.8953656392395	5875.45721742741	45.615213398236
XM_027350640.1	60.2667529775456	76.1738101025835	72.8041878238956	187.309806686603	269.281800934726	217.432517198258
XM_027350641.1	15.8596718361962	26.6608335359042	17.3343304342609	79.3895869400173	73.5131325993909	81.093712707975
XM_027350642.1	34.8912780396317	5.0782540068389	13.8674643474087	112.882068930337	162.208325192134	337.552579146946
XM_027350643.1	44.4070811413494	10.1565080136778	17.3343304342609	120.324842705964	147.026265198782	357.82600732394
XM_027350646.1	9.51580310171773	21.5825795290653	3.46686608685217	52.0994164293864	51.1395705039241	26.3554566300919
XM_027350658.1	55.5088514266868	6.34781750854862	13.8674643474087	135.830621405186	73.5131325993909	234.664931148703
XM_027350660.1	3939.54248411114	4795.14134595763	3971.29510248916	629.534615188419	1208.17235315521	371.003735638986
XM_027350678.1	266.442486848096	424.034209571048	414.290497378834	84.3514361237684	154.217767300896	137.859311603558
XM_027350690.1	1500.32495570416	572.573139271086	1251.53865735363	265.458931330683	132.643260994553	243.281138123925
XM_027350736.1	2240.97163045452	2522.62267789722	1976.11366950574	443.465270797753	769.490724926233	206.282131700911
XM_027350773.1	38.0632124068709	33.0086510444528	13.8674643474087	117.843918114088	100.681029429601	99.8466337716943
XM_027350774.1	41.2351467741102	22.852143030775	13.8674643474087	82.4907426798618	62.3263515516575	71.463834323903
XM_027350775.1	26.9614421215336	12.6956350170972	34.6686608685217	109.160682042524	97.4848062731054	88.6962482743477
XM_027350784.1	55.5088514266868	41.8955955564209	53.7364243462086	152.576862400346	175.792273607239	184.488196410643
