ID	DESeq2_hemocytes_1_normalized	DESeq2_hemocytes_2_normalized	DESeq2_hemocytes_3_normalized	DESeq2_hemocytes_wssv_1_normalized	DESeq2_hemocytes_wssv_2_normalized	DESeq2_hemocytes_wssv_3_normalized
XM_027350654.1	19.0598021628462	7.52396621562574	23.2832499850416	28.1190172874668	33.6570279847417	117.715945273858
XM_027350688.1	763.345076621988	1382.52879212123	770.01033879102	293.140755221842	206.867586637925	343.105717267406
XM_027350689.1	788.122819433688	1294.12218908763	854.827892307957	321.962747941495	177.315074261078	253.842441230357
XM_027350694.1	218.234734764588	319.768564164094	174.624374887812	69.5945677864804	69.7767653342206	78.6632620076491
XM_027350703.1	38956.3296406412	95136.7908134796	145470.419727971	14864.4155135871	23559.9195893192	16892.5170945362
XM_027350704.1	21855.8751401357	52735.4792053208	82090.0870901182	9138.68061842672	16157.8361420408	10343.9400062682
XM_027350705.1	19048.3662815484	44410.2105877309	70684.6207760171	7970.33545013247	13934.0095856831	8844.31696884583
XM_027350768.1	383.102023473208	695.966874945381	472.317356839416	187.694440393841	109.180115170016	127.200168352794
XM_027350769.1	869.126978625784	1743.67917047126	1593.23953469071	372.576979058935	499.109097920072	376.579445781299
XM_027350771.1	802.417671055823	1692.89239851579	1668.07855249977	413.349554125762	379.257242169529	334.179389663701
XM_027350773.1	289.708992875261	663.990018528971	266.094285543333	78.0302729727204	95.2247621031717	107.115931244458
XM_027350844.1	151.525427194627	267.100800654714	429.077035438625	47.0993539565069	77.9857965500113	52.4421746717661
XM_027350886.1	280.179091793838	116.621476342199	312.660785513416	545.508935376856	1091.80115170016	716.895685672547
XM_027350894.1	261.119289630992	116.621476342199	269.420464112625	500.518507716909	1044.18877064857	706.295671643148
XM_027350896.1	919.635454357327	2016.4229457877	952.950160102061	423.191210176376	366.122792224263	306.842511377355
XM_027350903.1	881.515850031634	1768.13206067205	947.960892248124	260.803885341255	73.8812809421159	60.8106068002394
XM_027350912.1	662.328125158904	457.080947599264	370.86891047602	219.328334842241	105.07559956212	193.031834430118
XM_027350916.1	84.8161196246654	131.66940877345	66.5235713858333	40.7725750668269	12.313546823686	38.4947877909772
XM_027351003.1	497.460836450284	613.203246573498	315.986964082708	132.159381251094	145.299852519495	133.337018580341
XM_027351009.1	268.743210496131	310.363606394562	212.875428434666	88.5749044555205	82.0903121579066	89.8211715122802
XM_027351017.1	2725.551709287	3654.7665892402	2481.32921269158	636.192766128937	609.110116211667	343.105717267406
XM_027351020.1	1936.47589974517	4213.42108075041	2897.10153385304	691.727825271684	826.64944343012	676.169315980644
XM_027351037.1	61.94435702925	174.932214513298	21.6201607003958	15.4654595081068	18.8807717963185	53.5579656222292
XM_027351040.1	120.076753625931	171.170231405486	88.1437320862291	28.1190172874668	9.85083745894879	24.5474009101884
XM_027351045.1	1200.76753625931	3592.69386796129	492.274428255166	810.530673311231	146.941658762653	401.126846691487
XM_027351085.1	20.0127922709885	20.6909070929708	23.2832499850416	69.5945677864804	103.433793318962	75.3158891562598
XM_027351097.1	57.1794064885384	58.3107381710995	81.4913749476458	131.456405818907	150.225271248969	280.06352856624
XM_027351106.1	75.2862185432423	65.8347043867252	86.4806428015832	137.080209276401	246.27093647372	292.895124496566
XM_027351115.1	48.6024955152577	65.8347043867252	83.1544642322916	155.357570513254	180.598686747395	241.010845300031
XM_027351123.1	57.1794064885384	67.7156959406316	78.1651963783541	126.535577793601	174.852364896341	265.55824621022
XM_027351132.1	44.7905350826885	65.8347043867252	94.7960892248124	153.248644216694	178.135977382657	245.474009101884
XM_027351188.1	46050.3880056526	52931.1023269271	21470.4826647777	9832.51736999496	3411.6733732826	1686.51802162499
XM_027351256.1	991.109712468	1245.21640868606	821.566106615041	352.190691525522	215.076617853715	326.368853010459
XM_027351271.1	157.243367843481	71.4776790484445	123.068607063792	58.3469608714937	17.2389655531604	33.4737285138932
