ID	adj.P.Val
XM_027352296.1	1.48368054583915e-08
XM_027377569.1	1.48368054583915e-08
XM_027379298.1	1.48368054583915e-08
XM_027352856.1	1.74360866421962e-08
XM_027355865.1	1.74360866421962e-08
XM_027357695.1	1.74360866421962e-08
XM_027358232.1	1.74360866421962e-08
XM_027359233.1	1.74360866421962e-08
XM_027363991.1	1.74360866421962e-08
XM_027367228.1	1.74360866421962e-08
XM_027368839.1	1.74360866421962e-08
XM_027369553.1	1.74360866421962e-08
XM_027369645.1	1.74360866421962e-08
XM_027373827.1	1.74360866421962e-08
XM_027375922.1	1.74360866421962e-08
XM_027378226.1	1.74360866421962e-08
XM_027379362.1	1.74360866421962e-08
XM_027380251.1	1.74360866421962e-08
XM_027380431.1	1.74360866421962e-08
XM_027380441.1	1.74360866421962e-08
XM_027380586.1	1.74360866421962e-08
XM_027381890.1	1.74360866421962e-08
XM_027370939.1	1.79490128775836e-08
XM_027352295.1	1.95189394580039e-08
XM_027355619.1	1.95189394580039e-08
XM_027359091.1	1.95189394580039e-08
XM_027365595.1	1.95189394580039e-08
XM_027367879.1	1.95189394580039e-08
XM_027382405.1	1.95189394580039e-08
XM_027351791.1	2.02346707153803e-08
XM_027355671.1	2.02346707153803e-08
XM_027352569.1	2.18275108937084e-08
XM_027353680.1	2.18275108937084e-08
XM_027358147.1	2.18275108937084e-08
XM_027359900.1	2.18275108937084e-08
XM_027363949.1	2.18275108937084e-08
XM_027352587.1	2.18460524219149e-08
XM_027358144.1	2.18460524219149e-08
XM_027358460.1	2.18460524219149e-08
XM_027363126.1	2.18460524219149e-08
XM_027365869.1	2.18460524219149e-08
XM_027372253.1	2.18460524219149e-08
XM_027375239.1	2.18460524219149e-08
XM_027378597.1	2.18460524219149e-08
XM_027380875.1	2.18460524219149e-08
XM_027380876.1	2.18460524219149e-08
XM_027381821.1	2.18460524219149e-08
XM_027382410.1	2.18460524219149e-08
XM_027369773.1	2.23142562750761e-08
XM_027361473.1	2.29767454203794e-08
XM_027351790.1	2.29880216350709e-08
XM_027381805.1	2.29880216350709e-08
XM_027369957.1	2.35448334078919e-08
XM_027362910.1	2.38785613260253e-08
XM_027352583.1	2.56246652121952e-08
XM_027351568.1	2.57250004775886e-08
XM_027352580.1	2.57250004775886e-08
XM_027358195.1	2.57250004775886e-08
XM_027360388.1	2.57250004775886e-08
XM_027362906.1	2.57250004775886e-08
XM_027365310.1	2.57250004775886e-08
XM_027365519.1	2.57250004775886e-08
XM_027371253.1	2.57250004775886e-08
XM_027372202.1	2.57250004775886e-08
XM_027372986.1	2.57250004775886e-08
XM_027374911.1	2.57250004775886e-08
XM_027379361.1	2.57250004775886e-08
XM_027380885.1	2.57250004775886e-08
XM_027381891.1	2.57250004775886e-08
XM_027383549.1	2.57250004775886e-08
XM_027364525.1	2.6393391319597e-08
XM_027363240.1	2.70198016186597e-08
XM_027374915.1	2.74324223813256e-08
XM_027351567.1	2.81399021475566e-08
XM_027352297.1	2.81399021475566e-08
XM_027353720.1	2.8450273457843e-08
XM_027351217.1	3.17684831896097e-08
XM_027351847.1	3.17684831896097e-08
XM_027352582.1	3.17684831896097e-08
XM_027353914.1	3.17684831896097e-08
XM_027357622.1	3.17684831896097e-08
XM_027363946.1	3.17684831896097e-08
XM_027365597.1	3.17684831896097e-08
XM_027366081.1	3.17684831896097e-08
XM_027374916.1	3.17684831896097e-08
XM_027378756.1	3.17684831896097e-08
XM_027380544.1	3.17684831896097e-08
XM_027380981.1	3.17684831896097e-08
XR_003475003.1	3.17684831896097e-08
XR_003477837.1	3.21376869532942e-08
XM_027351610.1	3.23346419616504e-08
XM_027352581.1	3.23346419616504e-08
XM_027355864.1	3.23346419616504e-08
XM_027358149.1	3.23346419616504e-08
XM_027360238.1	3.23346419616504e-08
XM_027363320.1	3.23346419616504e-08
XM_027365592.1	3.23346419616504e-08
XM_027368181.1	3.23346419616504e-08
XM_027373518.1	3.23346419616504e-08
XM_027379449.1	3.23346419616504e-08
XM_027381942.1	3.23346419616504e-08
XR_003476748.1	3.23346419616504e-08
XM_027352116.1	3.28423562177714e-08
XR_003475024.1	3.34352978771376e-08
XM_027352584.1	3.35341223695199e-08
XM_027352843.1	3.35341223695199e-08
XM_027354222.1	3.35341223695199e-08
XM_027354925.1	3.35341223695199e-08
XM_027355117.1	3.35341223695199e-08
XM_027355338.1	3.35341223695199e-08
XM_027357069.1	3.35341223695199e-08
XM_027359230.1	3.35341223695199e-08
XM_027359595.1	3.35341223695199e-08
XM_027360739.1	3.35341223695199e-08
XM_027361279.1	3.35341223695199e-08
XM_027361575.1	3.35341223695199e-08
XM_027362059.1	3.35341223695199e-08
XM_027362743.1	3.35341223695199e-08
XM_027364955.1	3.35341223695199e-08
XM_027365311.1	3.35341223695199e-08
XM_027365314.1	3.35341223695199e-08
XM_027365600.1	3.35341223695199e-08
XM_027366577.1	3.35341223695199e-08
XM_027367358.1	3.35341223695199e-08
XM_027368862.1	3.35341223695199e-08
XM_027370505.1	3.35341223695199e-08
XM_027371450.1	3.35341223695199e-08
XM_027372562.1	3.35341223695199e-08
XM_027372718.1	3.35341223695199e-08
XM_027374373.1	3.35341223695199e-08
XM_027374535.1	3.35341223695199e-08
XM_027374536.1	3.35341223695199e-08
XM_027374914.1	3.35341223695199e-08
XM_027375193.1	3.35341223695199e-08
XM_027375727.1	3.35341223695199e-08
XM_027375794.1	3.35341223695199e-08
XM_027376737.1	3.35341223695199e-08
XM_027376739.1	3.35341223695199e-08
XM_027376807.1	3.35341223695199e-08
XM_027377329.1	3.35341223695199e-08
XM_027378757.1	3.35341223695199e-08
XM_027380237.1	3.35341223695199e-08
XM_027382407.1	3.35341223695199e-08
XM_027382409.1	3.35341223695199e-08
XM_027382895.1	3.35341223695199e-08
XM_027351588.1	3.35894879179064e-08
XM_027363415.1	3.35894879179064e-08
XM_027382408.1	3.35894879179064e-08
XR_003477669.1	3.35894879179064e-08
XM_027365596.1	3.46491230888358e-08
XM_027366120.1	3.46491230888358e-08
XM_027367366.1	3.51637297642845e-08
XM_027369966.1	3.51637297642845e-08
XM_027379312.1	3.63342018281582e-08
XM_027356123.1	3.63546655874638e-08
XM_027369535.1	3.63546655874638e-08
XM_027369866.1	3.63546655874638e-08
XM_027377235.1	3.63546655874638e-08
XM_027379383.1	3.63546655874638e-08
XM_027373793.1	3.66054245132428e-08
XM_027351587.1	3.74384035686481e-08
XM_027353363.1	3.74384035686481e-08
XM_027356029.1	3.74384035686481e-08
XM_027360302.1	3.74384035686481e-08
XM_027372584.1	3.74384035686481e-08
XM_027380363.1	3.74384035686481e-08
XM_027380855.1	3.74384035686481e-08
XM_027380253.1	3.77052789944859e-08
XM_027361576.1	3.79673469887256e-08
XM_027377963.1	3.79673469887256e-08
XM_027360690.1	3.86400202225016e-08
XM_027372220.1	3.91048998384716e-08
XM_027374995.1	3.92416706333365e-08
XM_027370874.1	3.9693357978058e-08
XM_027350765.1	4.05816926236624e-08
XM_027353471.1	4.05816926236624e-08
XM_027355571.1	4.05816926236624e-08
XM_027363321.1	4.05816926236624e-08
XM_027364536.1	4.05816926236624e-08
XM_027365380.1	4.05816926236624e-08
XM_027366679.1	4.05816926236624e-08
XM_027371447.1	4.05816926236624e-08
XM_027373824.1	4.05816926236624e-08
XM_027373828.1	4.05816926236624e-08
XM_027374921.1	4.05816926236624e-08
XM_027377227.1	4.05816926236624e-08
XM_027380822.1	4.05816926236624e-08
XM_027376806.1	4.06949067855721e-08
XM_027367368.1	4.14247460042395e-08
XM_027360832.1	4.20959994103443e-08
XM_027376188.1	4.20959994103443e-08
XM_027356770.1	4.21504352652922e-08
XR_003475025.1	4.25800739368365e-08
XM_027361345.1	4.33739114647985e-08
XM_027377275.1	4.33739114647985e-08
XM_027364702.1	4.34245543448237e-08
XM_027367458.1	4.34245543448237e-08
XM_027376740.1	4.34245543448237e-08
XM_027379160.1	4.34245543448237e-08
XR_003476604.1	4.34245543448237e-08
XM_027367359.1	4.4226358810202e-08
