ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350596.1	4.85573348511019	5.14378219710032	4.31222453145242	4.99708272544409
XM_027350598.1	-8.07352942302701	-9.30969658574247	-7.98589816951796	-7.93693585659486
XM_027350602.1	3.29845224926816	3.41243194610045	3.19578909509701	3.34446702200058
XM_027350619.1	-2.48726322374718	-2.14038874307969	-2.47961475009691	-2.47204997669263
XM_027350621.1	2.42774677756409	3.49522289676402	2.37084860935628	2.40022761670453
XM_027350629.1	6.1592730451967	5.12580642729455	5.08363965638341	6.07405008651993
XM_027350630.1	8.29515663902646	8.12401238578499	7.88065980785993	8.38465984901775
XM_027350642.1	2.85895398500231	0.0380540862538847	2.70117755012421	2.71109548809914
XM_027350643.1	2.83051562963729	-0.251220154302868	2.67727708217513	2.68375034140117
XM_027350644.1	-7.19078963968231	-9.17698311949711	-7.28947884015784	-7.31128728503676
XM_027350645.1	-7.20787216805659	-8.88818793904972	-7.30066597798748	-7.31948966218042
XM_027350646.1	-1.81661951995653	-1.69682473393188	-1.91192130339504	-1.87527789807959
XM_027350653.1	1.5571482234171	1.87085910004098	1.53619424727415	1.54936630034672
XM_027350660.1	-7.73494780285505	-8.43205336992313	-7.78582254510936	-7.8138425570756
XM_027350674.1	3.67924412978188	3.41349637772583	3.64797000128423	3.73786425288236
XM_027350677.1	-1.84153407023154	-1.85221030959161	-1.87621612006106	-1.84660556919623
XM_027350678.1	-2.69906565332032	-2.56720724339315	-2.6609242206478	-2.64304359289209
XM_027350689.1	-1.62094942020636	-1.67946007238641	-1.71070586341668	-1.66955706574555
XM_027350690.1	-2.04214113163379	-6.69721115683524	-2.1607172080506	-2.19731172419726
XM_027350703.1	-1.49899571689031	-1.30326684225263	-1.50630853174398	-1.48893828763368
XM_027350704.1	-1.63492703745579	-1.58200404451208	-1.65930283048162	-1.63299486134262
XM_027350705.1	-1.83694561405808	-1.77988860235018	-1.85592748938498	-1.82698146207049
XM_027350706.1	6.76928946429974	11.2954369507364	6.87715928660298	6.86234919907111
XM_027350707.1	6.855328175501	10.3442728477765	6.95441277473921	6.94615190490128
XM_027350709.1	7.46086842454168	7.83088792346435	7.36202271877781	7.58003610697881
XM_027350712.1	6.91995632576593	10.0776543707972	6.99988691441063	7.00640054399762
XM_027350715.1	6.88126981711307	10.5821598394738	6.99629187996905	6.98919133459964
XM_027350717.1	4.73823070449957	5.01164275200688	4.59810837023332	4.77086197287569
XM_027350718.1	4.45589624928152	5.27433973016324	4.31681920636624	4.49007062043088
XM_027350720.1	5.38857823462451	5.58726788078985	5.33092074887741	5.44790832238809
XM_027350721.1	7.33938358553951	6.96208016918061	7.02287581365146	7.53213663564448
XM_027350736.1	-7.49133960669159	-8.70988108314422	-7.55716604245265	-7.58717398829798
XM_027350749.1	-1.53015122062494	-1.68040058716873	-1.59940613683831	-1.56134969788399
XM_027350757.1	3.06252752023793	3.09855429714366	3.05174186335612	3.0876243958799
XM_027350759.1	5.22247583646713	6.37858348695562	5.07437277168598	5.3475216809747
XM_027350765.1	8.24678420499398	7.31336723830681	7.0465925612344	8.28476601276285
XM_027350776.1	2.85566543075473	3.302221057499	2.79676706907664	2.816250653729
XM_027350777.1	2.29778440790769	2.31717087621896	2.23031454789675	2.25943426925146
XM_027350778.1	2.57309866334048	2.60771421757942	2.51668710470345	2.54096148545716
XM_027350780.1	-3.80556544836965	-3.7930277266696	-3.82794880201024	-3.81755211564149
XM_027350813.1	-5.18634251674954	-5.24608961790807	-5.2108352291631	-5.1925724875782
XM_027350817.1	-6.5970053496032	-6.12130611836006	-6.61951708289658	-6.66207865483908
XM_027350818.1	-6.68536201667482	-6.24944110798307	-6.7092804811214	-6.75307572166371
XM_027350819.1	-6.25234565411669	-8.37649049295651	-6.29723850975012	-6.36409471448298
XM_027350820.1	-1.92424050401724	-1.85037866346842	-1.93463229700647	-1.90704309113499
XM_027350821.1	-1.71861382582573	-1.67040159112139	-1.73268176353105	-1.70330248017244
XM_027350831.1	2.00176613716343	0.884369063908931	1.88796248809595	1.92389063584316
XM_027350837.1	2.14698484914959	1.07738021098019	2.07704275918144	2.09151298097398
XM_027350839.1	7.79467085374365	8.97497383163418	7.74419644225054	7.84523737419659
XM_027350842.1	5.97393523340871	7.23946587438531	5.91227382496808	6.02953765441955
XM_027350857.1	8.10376190951999	7.21855181385022	7.55790611103928	8.27781745785469
XM_027350882.1	1.87086153166768	1.91622371274684	1.83150694989635	1.87283876509874
XM_027350887.1	4.86631883268918	5.23078788173345	4.82311560686132	4.92561753146953
XM_027350888.1	5.17940960105737	5.44149377060455	5.18715249830348	5.19750298563256
XM_027350892.1	-1.54255778487422	-1.2403688514781	-1.55624723016632	-1.54150270262389
XM_027350893.1	1.23215042835262	1.61878352382909	1.19057405141603	1.18965134210794
XM_027350896.1	6.23743030541019	6.40916055604674	6.26653285058073	6.31897449326595
XM_027350917.1	4.38152569479227	4.09505419494392	4.41697749110307	4.45043679227865
XM_027350921.1	6.6862777472136	5.47962800342483	6.74938669069781	6.80157065983377
XM_027350922.1	6.03947186861349	4.84545684032219	6.0773553827545	6.13770593350999
XM_027350923.1	6.82741602545817	5.52609444372931	5.73680121269014	6.9806735045179
XM_027350925.1	7.09107330219103	5.9024944885219	5.95037768333074	7.19294456092203
XM_027350928.1	-2.51969372836927	-2.68172465779373	-2.54459831038334	-2.54318989563877
XM_027350933.1	8.12632264773027	8.69689247957409	7.77188307085336	8.24583692129417
XM_027350934.1	6.7118661011981	7.65031486858209	6.57046974861445	6.84929952434675
XM_027350935.1	7.08630692002279	7.71541589355569	6.9190386803013	7.21257699903639
XM_027350937.1	1.42893977282309	1.6202811646954	1.45672435964838	1.47706019066508
XM_027350938.1	-2.80774626381833	-3.12158556687863	-2.86729505360699	-2.86665620527974
XM_027350942.1	-2.26908766203894	-2.34984640612093	-2.3299597812215	-2.28584585278488
XM_027350946.1	-2.03286942731616	-1.90460202594771	-2.08995044587113	-2.0347741412244
XM_027350947.1	4.71370185266495	4.98651098018175	4.42590848188316	4.76801101785306
XM_027350950.1	1.88142047017374	1.86242072259619	1.81916997787647	1.86557215544227
XM_027350951.1	-6.84333241093444	-6.09615134273625	-6.8553787258005	-6.86911998950298
XM_027350967.1	6.61421875090536	8.84769579741996	6.7438581031384	6.73559859829898
XM_027350981.1	3.56009030215489	3.36962645862291	3.34014932163233	3.56288248254953
XM_027350986.1	2.77525050846901	2.92719027175008	2.76499406363892	2.79901964683721
XM_027350990.1	10.409427301833	5.73728830430823	6.68032794541216	8.24422843773847
XM_027351003.1	-3.15509543538934	-3.01880927635199	-3.2276495897945	-3.17412804634131
XM_027351009.1	-3.39615406202478	-3.28877160616923	-3.47357592664468	-3.41919619217945
XM_027351012.1	2.96552054595218	2.60684530975122	2.95194627328121	3.00104426598571
XM_027351015.1	2.99906833131336	3.38627984599944	2.99942820436002	3.04913606726819
XM_027351016.1	3.03603304524873	3.99321277979317	2.93861624840761	3.0946688668791
XM_027351017.1	4.12059615601644	4.37444545332382	4.08782412333683	4.14298129794118
XM_027351026.1	7.76682102788551	8.26948498940551	7.66983028758664	7.88264605720634
XM_027351027.1	-6.62825345550713	-8.79149412644895	-6.75842985799813	-6.76276389937894
XM_027351031.1	-3.18695552241743	-3.13242352335164	-3.23747869133017	-3.22416459786374
XM_027351034.1	-5.19489155003963	-11.3281073263922	-5.34676174709671	-5.35588943013145
XM_027351037.1	-7.09722763956159	-9.08483103931375	-7.16080694229509	-7.20144902832751
XM_027351038.1	2.0557192350969	2.60482213370267	1.99470103698246	2.03932501541995
XM_027351039.1	-3.6728049182716	-3.57441383197815	-3.71985987985521	-3.69945673548089
XM_027351045.1	-10.1069166506373	-12.0116794040846	-10.1652648977487	-10.2140179168828
XM_027351048.1	7.96876907302431	7.44848366264237	7.08322284709713	8.14101522839141
XM_027351050.1	-1.84932267077781	-1.84323023016489	-1.89315984188941	-1.86888430697673
XM_027351053.1	1.2573788871588	2.34666399788077	1.19014214022041	1.22672059774744
XM_027351058.1	1.56566392175471	2.11803643544316	1.56450277366875	1.57518469150381
XM_027351061.1	7.75441083440784	7.89113913719376	7.2674593703527	7.90576021407777
XM_027351067.1	9.88070104944004	10.1267560529232	9.80761289620466	10.0142055727175
XM_027351068.1	8.73295694540024	8.90666089602756	8.48384276752784	8.83957043131737
XM_027351085.1	1.66540324692874	1.72536652958754	1.64259097488193	1.68502488262408
XM_027351090.1	-1.62584077806619	-1.8635284585694	-1.71273099389096	-1.68431926089818
XM_027351091.1	-1.50195728376128	-1.75287981320364	-1.60536707508725	-1.5739081597654
XM_027351092.1	-1.74781618749399	-1.83767398759812	-1.84370996944126	-1.80689827113479
XM_027351096.1	-1.63756540968496	-1.68765448702732	-1.70501578100935	-1.67888616657462
XM_027351097.1	1.68875565537544	1.68004845781255	1.64778166886351	1.67775173599717
XM_027351100.1	5.59211175905541	5.98978779702596	5.44107311942761	5.68213450133
XM_027351101.1	5.99094083201107	6.25161584617782	5.66312531014864	6.03916234010852
XM_027351102.1	4.99845896339869	4.8307484093391	5.04883959919879	5.06335728181429
XM_027351103.1	6.14015782304835	5.9133486370064	6.04527869014723	6.24660358983596
XM_027351104.1	4.90636074663027	5.26599307706216	4.74749367208431	4.95131519305418
XM_027351105.1	-1.53641492582641	-1.53823067720464	-1.55102056447433	-1.51511705187961
XM_027351106.1	1.88406470797667	1.91934895333985	1.83985264180608	1.87886873051824
XM_027351112.1	-2.29438516933951	-1.80050382613571	-2.3548554203761	-2.33053223450394
XM_027351113.1	-1.29794273144672	-1.656565126496	-1.25405427702325	-1.21074773104701
XM_027351115.1	2.24953723467512	2.27610548583799	2.20985923581939	2.24820813926855
XM_027351123.1	1.49433029687074	1.56069705351242	1.46403327152892	1.50235015360154
XM_027351132.1	1.68125130731724	1.69656198281935	1.63628238241931	1.67350002018705
XM_027351136.1	1.5305371772046	1.57674049757032	1.45803896370735	1.49738779180707
XM_027351137.1	1.56898630746842	1.85763157300343	1.52547824499819	1.57702927497705
