NOISeq	DESeq2	edgeR	limma
0.972206358271464	0.709207054575753	0.704413793103448	0.687996766805874
0.012183514182372	0.00888765449243161	0.00882758620689655	0
0.00133257186369693	0.000972087210109707	0	0.000943014953522834
0	0	0	0
0.0104702075004759	0	0.00758620689655172	0.00740940320625084
0.00266514372739387	0	0.00193103448275862	0
0.000571102227298686	0	0	0.0004041492657955
0.000571102227298686	0	0	0
0	0.235245104846549	0.233655172413793	0.228209618752526
0	0.0359672267740592	0.0357241379310345	0
0	0.00555478405776975	0	0.00538865687727334
0	0.00416608804332732	0	0
0	0	0.00386206896551724	0.00377205981409134
0	0	0.004	0
0	0	0	0.0658763303246666
