ID	hep_mean	hep_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hep_1	hep_2	hep_3	hep_wssv_1	hep_wssv_2	hep_wssv_3	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_wssv_1_normalized	hep_wssv_2_normalized	hep_wssv_3_normalized	Expression
XM_027350640.1	977.35837316955	177.480662707824	1.33879590940313	0.998885545564458	2.46122581456873	0.00111445443554214	-2.46122581456873	2146	802	1022	213	114	90	1558.72335777159	679.950959058453	693.400802678603	208.634528005485	136.138052576215	187.669407541772	Up_hep_Down_hep_wssv
XM_027350642.1	45.4581959853581	424.997869163497	-1.68852632174142	0.999993751972853	-3.2248432710875	6.24802714732642e-06	3.2248432710875	57	48	80	360	493	160	41.4013193816313	40.6953192453937	54.2779493290492	352.62173747406	588.737367719948	333.634502296483	Down_hep_Up_hep_wssv
XM_027350643.1	43.8742416799157	391.685671714902	-1.58165466983119	0.999943303771171	-3.1582502586303	5.66962288288675e-05	3.1582502586303	64	42	73	366	469	123	46.4856919372703	35.6084043397195	49.5286287627574	358.498766431961	560.076725072324	256.481523640421	Down_hep_Up_hep_wssv
XM_027350647.1	857.606058617601	247.391521429969	1.23931260475957	0.996108147176575	1.79351904054624	0.00389185282342541	-1.79351904054624	1356	863	1262	279	232	92	984.915597920913	731.667927266141	856.23465066575	273.281846542396	277.052878927034	191.839838820478	Up_hep_Down_hep_wssv
XM_027350648.1	911.728379899778	277.982881246208	1.24021894180275	0.996077959249377	1.7136080423123	0.00392204075062264	-1.7136080423123	1368	949	1381	299	268	106	993.631665159152	804.580374247471	936.973100292711	292.871943068733	320.043842898471	221.03285777142	Up_hep_Down_hep_wssv
XM_027350649.1	784.491638118065	265.410565733334	1.20959074349408	0.994364405866903	1.56353226549484	0.00563559413309744	-1.56353226549484	1111	875	1186	277	237	116	806.962558473551	741.841757077489	804.670598803154	271.322836889763	283.023846145289	241.88501416495	Up_hep_Down_hep_wssv
XM_027350665.1	56.2321648951575	5.6195634586846	1.00206685107484	0.995750766457921	3.32286562273618	0.00424923354207918	-3.32286562273618	105	41	85	2	2	6	76.265588334584	34.7605851887738	57.6703211621147	1.95900965263367	2.38838688730202	12.5112938361181	Up_hep_Down_hep_wssv
XM_027350700.1	140.404703815357	0.70981898488681	2.31233241848318	0.999999969362919	7.62792439267167	3.0637081094298e-08	-7.62792439267167	423	40	118	0	0	0	307.241370147896	33.9127660378281	80.0599752603475	0.489752413158416	0.597096721825505	1.04260781967651	Up_hep_Down_hep_wssv
XM_027350705.1	8302.26778491927	26034.8883665277	-2.23286283925376	0.99999999998234	-1.64886884958234	1.76603176527124e-11	1.64886884958234	11848	10113	11389	19759	18823	17395	8605.66371988716	8573.99507351388	7727.14456135676	19354.0358631943	22478.303189843	36272.3260465458	Down_hep_Up_hep_wssv
XM_027350717.1	318.042504722008	993.735790892574	-1.0572921673082	0.991722579769314	-1.64364273973839	0.00827742023068567	1.64364273973839	513	389	371	726	745	662	372.611874434682	329.801649717878	251.713990013465	711.12050390602	889.674115520002	1380.4127532517	Down_hep_Up_hep_wssv
