NOISeq	limma	DESeq2	edgeR
0.876612059951203	0.521459672403069	0.488159937888199	0.463509030593439
0.00174276751481352	0.0010366991499067	0.000970496894409938	0
0.0320669222725688	0.0190752643582832	0	0.0169553999262809
0.000348553502962705	0.000207339829981339	0	0
0.0202161031718369	0	0.0112577639751553	0.0106892738665684
0.00801673056814221	0	0.00446428571428571	0
0.057859881491809	0	0	0.0305934389974198
0.00313698152666434	0	0	0
0	0.349160273688576	0.326863354037267	0.310357537781054
0	0.022600041467966	0.0211568322981366	0
0	0.0412606261662865	0	0.0366752672318467
0	0.045200082935932	0	0
0	0	0.0821040372670808	0.0779579800958349
0	0	0.0650232919254658	0
0	0	0	0.0532620715075562
