ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gills_1	gills_2	gills_3	gills_wssv_1	gills_wssv_2	gills_wssv_3	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_wssv_1_normalized	gills_wssv_2_normalized	gills_wssv_3_normalized	Expression
XM_027350613.1	1284.71947814245	6.42496145390027	0.740936177153163	8.67141010523519	4.2680150678598e-18	1.84818958251834e-16	62	377	174	93	545	893	13.0477501090339	54.3643964944952	21.3042398535092	1034.78558923445	2486.01181483717	4098.80307832603	Down_gills_Up_gills_wssv
XM_027350635.1	1015982.07017823	11.1823602399652	0.760615952050526	14.7017166939753	6.28460361031514e-49	8.90044108024795e-47	1116	11467	5990	211787	580549	237173	234.859501962611	1653.57170982063	733.404578865059	2356496.08158275	2648168.20750808	1088606.29618793	Down_gills_Up_gills_wssv
XM_027350641.1	3749.01606951974	6.29584603224207	0.498264796318423	12.6355425443675	1.34463468262807e-36	1.35863146470455e-34	480	557	828	681	2372	831	101.014839553811	80.3208722743603	101.378796544285	7577.30092761999	10819.8532565023	3814.22772462366	Down_gills_Up_gills_wssv
XM_027350646.1	2952.49379924315	7.64473899977785	0.991020868669262	7.71400405527602	1.21930597122619e-14	4.09867092818016e-13	160	149	269	489	2595	76	33.6716131846037	21.4861938399994	32.9358650608849	5440.96938855532	11837.0654302797	348.834304538385	Down_gills_Up_gills_wssv
XM_027350661.1	66.3173025632754	3.25569485065316	0.544443569266654	5.97985729731084	2.23333182675291e-09	4.54505386367925e-08	85	78	71	11	35	17	17.8880445043207	11.2478061712749	8.69310936551238	122.39399442558	159.6521348978	78.0287260151651	Down_gills_Up_gills_wssv
XM_027350662.1	52.5675447290103	3.18974637920534	0.506859220399009	6.2931604098951	3.11066588425125e-10	6.97095786615993e-09	63	49	93	7	26	19	13.2581976914377	7.06592951785217	11.3867488872204	77.8870873617326	118.598728781223	87.2085761345963	Down_gills_Up_gills_wssv
XM_027350663.1	100.489557423218	4.2622438768676	0.623950350954831	6.83106255224489	8.42879677298915e-12	2.19657240789904e-10	74	45	65	17	63	21	15.5731210978792	6.48911894496628	7.95848040504655	189.154355021351	287.373842816039	96.3884262540275	Down_gills_Up_gills_wssv
XM_027350664.1	119.741166689974	3.56035986382502	0.46024794344629	7.73574312394621	1.02800842311908e-14	3.47591576020577e-13	69	141	181	13	66	47	14.5208831858603	20.3325726942277	22.1613069740527	144.647447957503	301.058311521565	215.726477806633	Down_gills_Up_gills_wssv
XM_027350691.1	86.0108799311909	3.35666627472656	0.773322053012255	4.34058004896101	1.42107086623302e-05	0.000175005434260685	19	174	135	16	47	17	3.99850406567169	25.0912599205363	16.5291516104813	178.027628255389	214.390009719902	78.0287260151651	Down_gills_Up_gills_wssv
XM_027350741.1	2237.76628565685	3.38570298363064	0.30967412688039	10.9331154582971	8.00519255915017e-28	5.98760679813838e-26	2079	2833	2661	400	927	779	437.520523817444	408.526088246432	325.807943966598	4450.69070638472	4228.50083000744	3575.55162151845	Down_gills_Up_gills_wssv
XM_027350745.1	749.118747544936	3.4270578996554	0.379963671896271	9.01943568065891	1.8906067075416e-19	8.97414909145708e-18	490	1029	1066	128	366	222	103.119315377849	148.384519874895	130.519078642763	1424.22102604311	1669.50518207413	1018.96336325686	Down_gills_Up_gills_wssv
XM_027350748.1	376.304017494044	4.12175831181595	0.715076761564808	5.76407811490933	8.21053833922786e-09	1.58151261343566e-07	199	295	304	132	94	52	41.8790688983508	42.5397797503345	37.2212006636023	1468.72793310696	428.780019439805	238.676103105211	Down_gills_Up_gills_wssv
