ID	edgeR_FDR	limma_adj.P.Val	NOISeq_lminusProb	DESeq2_padj
XM_027350654.1	0.0351030149162349	0.190921114209025	0.0103747611492546	0.0344045446988959
XM_027350688.1	5.9908821762459e-05	0.0105044184116752	0.00114801990329472	1.91147879647042e-05
XM_027350689.1	4.0302859888485e-06	0.00596174931729886	2.55814899119411e-06	9.45898849073768e-07
XM_027350694.1	0.000201450416417737	0.0121985380642812	0.0036648774359882	4.070010760364e-05
XM_027350703.1	6.74465390431492e-05	0.0162338594050162	0	4.16289186567538e-06
XM_027350704.1	0.000377664912787766	0.0218272755863804	0.00147409088291173	4.83514679107021e-05
XM_027350705.1	0.000368451808863364	0.0213501834616832	0.00036072287847333	4.86351524107905e-05
XM_027350768.1	3.32121949703335e-05	0.00874627165482871	0.00192197834158758	9.53089168539094e-06
XM_027350769.1	3.50926905928575e-05	0.00935191706871798	3.92432444096258e-07	1.22569564186818e-05
XM_027350771.1	1.22001024260247e-05	0.00860937010029026	0	3.73194626434387e-06
XM_027350773.1	5.44261033469598e-05	0.0128052991377071	0.000816337548829926	1.20250678263018e-05
XM_027350844.1	5.24730952687058e-05	0.0143093280758052	0.00044400776522191	1.02984284706918e-05
XM_027350886.1	0.00111763238241449	0.0211453577922914	0.00628675403612822	0.000639916533807518
XM_027350894.1	0.000450005525279192	0.0180914698456744	0.00131143735192174	0.000245025224997805
XM_027350896.1	8.31388043555914e-05	0.0118278990052481	0.00071580301843388	3.15179753983459e-05
XM_027350903.1	5.90790557579266e-06	0.0054785901156915	0.000418800614110038	1.11434751918653e-07
XM_027350912.1	0.00219993623059919	0.0215748409268564	0.00378074497750858	0.000882579813606964
XM_027350916.1	0.020651440104974	0.0549411787206348	0.00951821521485852	0.0130154615222951
XM_027351003.1	2.41631281013585e-05	0.00860937010029026	0.00188479523023	4.28616559458199e-06
XM_027351009.1	0.000120548742705512	0.00939249291414731	0.0014303449496601	1.32404803383045e-05
XM_027351017.1	2.20803666216405e-09	0.00348279292626843	0	5.01628249919765e-11
XM_027351020.1	9.93472202621738e-07	0.0053201389091786	0.00132194511661166	1.53459420493757e-07
