ID	limma	edgeR	DESeq2	NOISeq
XM_027356031.1	1	1	1	1
XM_027356080.1	1	1	1	1
XM_027356172.1	1	1	1	1
XM_027356186.1	1	1	1	1
XM_027356205.1	1	1	1	1
XM_027356206.1	1	1	1	1
XM_027356209.1	1	1	1	1
XM_027356210.1	1	1	1	1
XM_027356229.1	1	1	1	1
XM_027356257.1	1	1	1	1
XM_027356261.1	1	1	1	1
XM_027356320.1	1	1	1	1
XM_027356341.1	1	1	1	1
XM_027356419.1	1	1	1	1
XM_027356430.1	1	1	1	1
XM_027356431.1	1	1	1	1
XM_027356432.1	1	1	1	1
XM_027356433.1	1	1	1	1
XM_027356434.1	1	1	1	1
XM_027356435.1	1	1	1	1
XM_027356436.1	1	1	1	1
XM_027356467.1	1	1	1	1
XM_027356512.1	1	1	1	1
XM_027356622.1	1	1	1	1
XM_027356680.1	1	1	1	1
XM_027356681.1	1	1	1	1
XM_027356682.1	1	1	1	1
XM_027356684.1	1	1	1	1
XM_027356685.1	1	1	1	1
XM_027356686.1	1	1	1	1
XM_027356687.1	1	1	1	1
XM_027356692.1	1	1	1	1
XM_027356693.1	1	1	1	1
XM_027356700.1	1	1	1	1
XM_027356748.1	1	1	1	1
XM_027356791.1	1	1	1	1
XM_027356797.1	1	1	1	1
XM_027356798.1	1	1	1	1
XM_027356801.1	1	1	1	1
XM_027356812.1	1	1	1	1
XM_027356835.1	1	1	1	1
XM_027356848.1	1	1	1	1
XM_027356849.1	1	1	1	1
XM_027356883.1	1	1	1	1
XM_027356918.1	1	1	1	1
XM_027356972.1	1	1	1	1
XM_027356980.1	1	1	1	1
XM_027356981.1	1	1	1	1
XM_027356990.1	1	1	1	1
XM_027357100.1	1	1	1	1
XM_027357264.1	1	1	1	1
XM_027357268.1	1	1	1	1
XM_027357269.1	1	1	1	1
XM_027357270.1	1	1	1	1
XM_027357272.1	1	1	1	1
XM_027357284.1	1	1	1	1
XM_027357289.1	1	1	1	1
XM_027357312.1	1	1	1	1
XM_027357401.1	1	1	1	1
XM_027357402.1	1	1	1	1
XM_027357555.1	1	1	1	1
XM_027357570.1	1	1	1	1
XM_027357576.1	1	1	1	1
XM_027357629.1	1	1	1	1
XM_027357643.1	1	1	1	1
XM_027357749.1	1	1	1	1
XM_027357790.1	1	1	1	1
XM_027357828.1	1	1	1	1
XM_027357871.1	1	1	1	1
XM_027357883.1	1	1	1	1
XM_027357991.1	1	1	1	1
XM_027358073.1	1	1	1	1
XM_027358074.1	1	1	1	1
XM_027358081.1	1	1	1	1
XM_027358183.1	1	1	1	1
XM_027358252.1	1	1	1	1
XM_027358306.1	1	1	1	1
XM_027358316.1	1	1	1	1
XM_027358330.1	1	1	1	1
XM_027358415.1	1	1	1	1
XM_027358431.1	1	1	1	1
XM_027358622.1	1	1	1	1
XM_027358781.1	1	1	1	1
XM_027358942.1	1	1	1	1
XM_027358943.1	1	1	1	1
XM_027359021.1	1	1	1	1
XM_027359029.1	1	1	1	1
XM_027359033.1	1	1	1	1
XM_027359095.1	1	1	1	1
XM_027359103.1	1	1	1	1
XM_027359119.1	1	1	1	1
XM_027359278.1	1	1	1	1
XM_027359280.1	1	1	1	1
XM_027359307.1	1	1	1	1
XM_027359316.1	1	1	1	1
XM_027359317.1	1	1	1	1
XM_027359318.1	1	1	1	1
XM_027359319.1	1	1	1	1
XM_027359320.1	1	1	1	1
XM_027359321.1	1	1	1	1
XM_027359322.1	1	1	1	1
XM_027359324.1	1	1	1	1
XM_027359325.1	1	1	1	1
XM_027359326.1	1	1	1	1
XM_027359327.1	1	1	1	1
XM_027359349.1	1	1	1	1
XM_027359537.1	1	1	1	1
XM_027359559.1	1	1	1	1
XM_027359578.1	1	1	1	1
XM_027359586.1	1	1	1	1
XM_027359618.1	1	1	1	1
XM_027359649.1	1	1	1	1
XM_027359696.1	1	1	1	1
XM_027359730.1	1	1	1	1
XM_027359731.1	1	1	1	1
XM_027359738.1	1	1	1	1
XM_027359739.1	1	1	1	1
XM_027359769.1	1	1	1	1
XM_027359770.1	1	1	1	1
