limma	edgeR	DESeq2	NOISeq
0.972614840989399	0.751023192360164	0.733510992671552	0.709407216494845
0	0	0	0
0.00618374558303887	0.00477489768076398	0	0.00451030927835052
0	0	0	0
0.00176678445229682	0	0.00133244503664224	0.00128865979381443
0.00441696113074205	0	0.0033311125916056	0
0	0	0	0
0.015017667844523	0	0	0
0	0.223738062755798	0.218520986009327	0.211340206185567
0	0.000682128240109141	0.000666222518321119	0
0	0.0197817189631651	0	0.0186855670103093
0	0	0	0
0	0	0.0139906728847435	0.0135309278350515
0	0	0.0286475682878081	0
0	0	0	0.0412371134020619
