#rname	numreads
XM_027364567.1	183
XM_027364569.1	112
XM_027364571.1	71
XM_027364573.1	2
XM_027364574.1	2
XM_027364575.1	2
XM_027364581.1	6
XM_027364586.1	9
XM_027364587.1	314
XM_027364590.1	131
XM_027364591.1	22
XM_027364593.1	2244
XM_027364594.1	1067
XM_027364595.1	6
XM_027364596.1	10
XM_027364597.1	273
XM_027364598.1	2
XM_027364599.1	334
XM_027364600.1	106
XM_027364601.1	50
XM_027364602.1	42
XM_027364603.1	42
XM_027364604.1	42
XM_027364605.1	42
XM_027364606.1	45
XM_027364608.1	4
XM_027364609.1	2
XM_027364610.1	818
XM_027364617.1	52
XM_027364618.1	156
XM_027364620.1	460
XM_027364621.1	143
XM_027364622.1	128
XM_027364623.1	104
XM_027364626.1	525
XM_027364627.1	503
XM_027364628.1	97
XM_027364629.1	76
XM_027364630.1	12
XM_027364631.1	239
XM_027364634.1	8
XM_027364635.1	6
XM_027364636.1	27
XM_027364637.1	299
XM_027364639.1	62
XM_027364640.1	2
XM_027364641.1	24
XM_027364642.1	37
XM_027364644.1	261
XM_027364645.1	23
XM_027364646.1	20
XM_027364647.1	6
XM_027364648.1	8
XM_027364649.1	4
XM_027364650.1	63
XM_027364652.1	7
XM_027364653.1	31
XM_027364654.1	10
XM_027364655.1	2
XM_027364656.1	57
XM_027364657.1	22
XM_027364658.1	5
XM_027364661.1	148
XM_027364662.1	48
XM_027364664.1	275
XM_027364665.1	54
XM_027364668.1	74
XM_027364670.1	2
XM_027364674.1	1
XM_027364676.1	9
XM_027364677.1	219
XM_027364678.1	228
XM_027364680.1	125
XM_027364681.1	130
XM_027364682.1	182
XM_027364683.1	752
XM_027364688.1	237
XM_027364689.1	7568
XM_027364701.1	94
XM_027364703.1	208
XM_027364705.1	24
XM_027364711.1	139
XM_027364713.1	20
XM_027364714.1	104
XM_027364715.1	190
XM_027364716.1	6
XM_027364717.1	2
XM_027364719.1	242
XM_027364720.1	6
XM_027364721.1	29
XM_027364723.1	7
XM_027364724.1	2
XM_027364726.1	2
XM_027364727.1	256
XM_027364729.1	2
XM_027364731.1	156
XM_027364732.1	204
XM_027364733.1	50
XM_027364734.1	260
XM_027364735.1	123
XM_027364736.1	6
XM_027364737.1	159
XM_027364738.1	122
XM_027364739.1	6
XM_027364740.1	285
XM_027364741.1	138
XM_027364742.1	279
XM_027364743.1	377
XM_027364744.1	41
XM_027364745.1	336
XM_027364746.1	57
XM_027364748.1	605
XM_027364749.1	263
XM_027364753.1	142
XM_027364754.1	33
XM_027364757.1	241
XM_027364765.1	59
XM_027364767.1	2
XM_027364769.1	284
XM_027364772.1	14509
XM_027364773.1	13434
XM_027364777.1	12
XM_027364778.1	2
XM_027364779.1	29
XM_027364780.1	53
XM_027364781.1	27
XM_027364784.1	1041
XM_027364788.1	1
XM_027364793.1	225
XM_027364794.1	8
XM_027364795.1	128
XM_027364796.1	331
XM_027364797.1	46
XM_027364798.1	28
XM_027364801.1	1
XM_027364805.1	918
XM_027364806.1	1
XM_027364808.1	689
XM_027364813.1	88
XM_027364815.1	2
XM_027364816.1	1
XM_027364818.1	6
XM_027364819.1	5266
XM_027364820.1	501
XM_027364821.1	365
XM_027364822.1	232
XM_027364825.1	2
XM_027364826.1	10
XM_027364827.1	3867
XM_027364828.1	42
XM_027364830.1	4
XM_027364831.1	33
XM_027364832.1	97
XM_027364833.1	378
XM_027364834.1	2114
XM_027364835.1	3079
XM_027364836.1	168
XM_027364837.1	196
XM_027364838.1	227
XM_027364839.1	261
XM_027364840.1	40
XM_027364841.1	26
XM_027364842.1	25
XM_027364845.1	2
XM_027364846.1	38
XM_027364849.1	855
XM_027364850.1	10
XM_027364851.1	261
XM_027364852.1	19
XM_027364853.1	2
XM_027364856.1	86
XM_027364857.1	4
XM_027364858.1	2
XM_027364859.1	4
XM_027364860.1	2
XM_027364861.1	8
XM_027364862.1	4
XM_027364863.1	2
XM_027364864.1	8
XM_027364865.1	301
XM_027364866.1	259
XM_027364867.1	239
XM_027364868.1	226
XM_027364869.1	44
XM_027364870.1	96
XM_027364871.1	3651
XM_027364872.1	3371
XM_027364873.1	3074
XM_027364874.1	235
XM_027364875.1	457
XM_027364876.1	416
XM_027364877.1	55
XM_027364878.1	447
XM_027364879.1	418
XM_027364880.1	44
XM_027364881.1	2724
XM_027364882.1	520
XM_027364884.1	88
XM_027364885.1	854
XM_027364886.1	679
XM_027364887.1	247
XM_027364888.1	10
XM_027364889.1	168
XM_027364891.1	243
XM_027364892.1	476
XM_027364894.1	18
XM_027364895.1	2
XM_027364899.1	7
XM_027364901.1	15
XM_027364903.1	368
XM_027364904.1	222
XM_027364905.1	6
XM_027364906.1	55
XM_027364907.1	32
XM_027364908.1	138
XM_027364909.1	863
XM_027364910.1	18
XM_027364911.1	91705
XM_027364912.1	101650
XM_027364913.1	722
XM_027364914.1	6
XM_027364915.1	107
XM_027364916.1	108
XM_027364917.1	87
XM_027364918.1	99
XM_027364919.1	123
XM_027364920.1	112
XM_027364921.1	92
XM_027364922.1	136
XM_027364923.1	25
XM_027364924.1	1263
XM_027364925.1	14
XM_027364926.1	2
XM_027364929.1	8507
XM_027364930.1	1415
XM_027364931.1	382
XM_027364932.1	38
XM_027364933.1	2
XM_027364935.1	2413
XM_027364937.1	9
XM_027364938.1	12
XM_027364939.1	115
XM_027364940.1	88
XM_027364941.1	113
XM_027364942.1	14
XM_027364944.1	4
XM_027364946.1	7
XM_027364947.1	10
XM_027364948.1	2
XM_027364949.1	6
XM_027364952.1	6
XM_027364953.1	62317
XM_027364954.1	62533
XM_027364955.1	44013
XM_027364956.1	50
XM_027364957.1	42
XM_027364958.1	38
XM_027364959.1	38
XM_027364962.1	607
XM_027364963.1	830
XM_027364964.1	576
XM_027364965.1	5
XM_027364968.1	13
XM_027364969.1	30
XM_027364970.1	4
XM_027364971.1	26
XM_027364973.1	40
XM_027364974.1	248
XM_027364975.1	565
XM_027364976.1	87
XM_027364978.1	6
XM_027364979.1	18
XM_027364980.1	96
XM_027364981.1	2
XM_027364982.1	86
XM_027364983.1	18
XM_027364984.1	16
XM_027364985.1	9
XM_027364986.1	8
XM_027364987.1	8
XM_027364988.1	2
XM_027364989.1	1942
XM_027364991.1	282
XM_027364992.1	6
XM_027364993.1	32
XM_027364994.1	4
XM_027364995.1	4
XM_027364996.1	2
XM_027364997.1	10
XM_027364998.1	8
XM_027364999.1	6
XM_027365000.1	19
XM_027365001.1	4
XM_027365003.1	88
XM_027365005.1	4
XM_027365007.1	438
XM_027365011.1	415
XM_027365012.1	5
XM_027365015.1	490
XM_027365017.1	1497
XM_027365018.1	1178
XM_027365019.1	88
XM_027365020.1	97
XM_027365021.1	764
XM_027365022.1	638
XM_027365023.1	828
XM_027365025.1	6
XM_027365026.1	2
XM_027365027.1	2520
XM_027365028.1	16
XM_027365030.1	13273
XM_027365037.1	4132
XM_027365041.1	111
XM_027365042.1	584
XM_027365043.1	463
XM_027365044.1	360
XM_027365045.1	398
XM_027365046.1	215
XM_027365047.1	98
XM_027365048.1	97
XM_027365049.1	54
XM_027365050.1	65
XM_027365060.1	44
XM_027365061.1	4
XM_027365062.1	97
XM_027365063.1	30
XM_027365064.1	38
XM_027365065.1	49
XM_027365066.1	50
XM_027365067.1	30
XM_027365068.1	6
XM_027365069.1	32
XM_027365070.1	144
XM_027365071.1	119
XM_027365072.1	124
XM_027365073.1	136
XM_027365074.1	141
XM_027365075.1	118
XM_027365076.1	212
XM_027365077.1	422
XM_027365078.1	430
XM_027365081.1	13
XM_027365084.1	6
XM_027365085.1	3
XM_027365087.1	22
XM_027365088.1	219
XM_027365089.1	763
XM_027365092.1	65
XM_027365093.1	2752
XM_027365098.1	7
XM_027365101.1	12
XM_027365103.1	3
XM_027365104.1	22
XM_027365105.1	357
XM_027365106.1	321
XM_027365107.1	339
XM_027365108.1	28
XM_027365109.1	2
XM_027365110.1	77
XM_027365111.1	41563
XM_027365113.1	18
XM_027365114.1	40
XM_027365117.1	1
XM_027365119.1	51
XM_027365120.1	23
XM_027365121.1	42
XM_027365122.1	38
XM_027365123.1	52
XM_027365124.1	35
XM_027365125.1	17
XM_027365127.1	4
XM_027365131.1	110
XM_027365134.1	2
XM_027365136.1	13
XM_027365137.1	76
XM_027365138.1	1
XM_027365141.1	197
XM_027365142.1	55
XM_027365143.1	21
XM_027365144.1	12
XM_027365145.1	68
XM_027365146.1	20
XM_027365147.1	16
XM_027365148.1	131
XM_027365149.1	72
XM_027365150.1	70
XM_027365151.1	894
XM_027365152.1	32
XM_027365153.1	69
XM_027365154.1	67
XM_027365155.1	74
XM_027365156.1	76
XM_027365157.1	3987
XM_027365159.1	8
XM_027365160.1	48
XM_027365161.1	50
XM_027365162.1	3324
XM_027365163.1	8
XM_027365164.1	431
XM_027365165.1	31
XM_027365167.1	6
XM_027365168.1	4
XM_027365169.1	30
XM_027365170.1	14
XM_027365174.1	1622
XM_027365175.1	2
XM_027365176.1	2
XM_027365177.1	22
XM_027365179.1	82
XM_027365180.1	36
XM_027365183.1	72
XM_027365185.1	30
XM_027365189.1	2
XM_027365192.1	61
XM_027365194.1	117
XM_027365195.1	212
XM_027365198.1	1
XM_027365199.1	736
XM_027365200.1	13860
XM_027365201.1	204
XM_027365202.1	1521
XM_027365203.1	190
XM_027365204.1	61
XM_027365205.1	10
XM_027365206.1	4
XM_027365207.1	8
XM_027365208.1	146
XM_027365209.1	95
XM_027365210.1	76
XM_027365211.1	72
XM_027365212.1	122
XM_027365213.1	2
XM_027365214.1	402
XM_027365215.1	2
XM_027365217.1	4
XM_027365218.1	44
XM_027365219.1	148
XM_027365225.1	16
XM_027365226.1	7
XM_027365227.1	4
XM_027365229.1	4
XM_027365230.1	8
XM_027365231.1	6
XM_027365232.1	4
XM_027365233.1	2
XM_027365237.1	4
XM_027365240.1	48
XM_027365244.1	34
XM_027365245.1	104
XM_027365246.1	107
XM_027365249.1	926
XM_027365250.1	12
XM_027365251.1	2
XM_027365252.1	4
XM_027365253.1	4
XM_027365254.1	260
XM_027365255.1	971
XM_027365256.1	691
XM_027365257.1	8
XM_027365258.1	6
XM_027365259.1	6
XM_027365260.1	4
XM_027365261.1	8
XM_027365262.1	36
XM_027365263.1	6
XM_027365264.1	62
XM_027365265.1	272
XM_027365266.1	46
XM_027365267.1	64
XM_027365268.1	56
XM_027365269.1	36
XM_027365270.1	16
XM_027365271.1	5122
XM_027365272.1	428
XM_027365273.1	2815
XM_027365274.1	24
XM_027365275.1	73
XM_027365276.1	82
XM_027365277.1	86
XM_027365278.1	75
XM_027365279.1	99
XM_027365280.1	91
XM_027365281.1	1081
XM_027365283.1	2
XM_027365284.1	25
XM_027365285.1	484
XM_027365286.1	24
XM_027365287.1	220
XM_027365288.1	95
XM_027365289.1	83
XM_027365290.1	18027
XM_027365291.1	407
XM_027365292.1	66
XM_027365293.1	167
XM_027365294.1	174
XM_027365295.1	199
XM_027365297.1	194
XM_027365299.1	2
XM_027365300.1	22
XM_027365301.1	22
XM_027365302.1	400
XM_027365303.1	77
XM_027365307.1	2
XM_027365310.1	4392
XM_027365311.1	1627
XM_027365312.1	2
XM_027365313.1	1904
XM_027365314.1	496
XM_027365315.1	28
XM_027365317.1	46718
XM_027365325.1	263
XM_027365331.1	31
XM_027365332.1	1026
XM_027365339.1	8
XM_027365341.1	86
XM_027365342.1	220
XM_027365343.1	771
XM_027365344.1	1346
XM_027365345.1	2166
XM_027365346.1	296
XM_027365347.1	244
XM_027365348.1	57
XM_027365351.1	127
XM_027365352.1	145
XM_027365353.1	258
XM_027365354.1	13781
XM_027365355.1	71
XM_027365356.1	69
XM_027365357.1	57
XM_027365358.1	65
XM_027365359.1	10
XM_027365360.1	1291
XM_027365361.1	545
XM_027365362.1	6467
XM_027365363.1	270
XM_027365364.1	657
XM_027365365.1	358
XM_027365366.1	130
XM_027365367.1	52
XM_027365368.1	14010
XM_027365369.1	15
XM_027365370.1	14
XM_027365371.1	20
XM_027365372.1	51
XM_027365373.1	10521
XM_027365374.1	4068
XM_027365375.1	2663
XM_027365376.1	196
XM_027365377.1	46
XM_027365380.1	249
XM_027365381.1	2156
XM_027365382.1	42
XM_027365383.1	38
XM_027365384.1	1325
XM_027365385.1	1073
XM_027365386.1	1146
XM_027365387.1	161
XM_027365388.1	206
XM_027365389.1	294
XM_027365392.1	10229
XM_027365397.1	1209
XM_027365398.1	1222
XM_027365399.1	1117
XM_027365400.1	480
XM_027365401.1	617
XM_027365402.1	685
XM_027365403.1	582
XM_027365404.1	417
XM_027365405.1	426
XM_027365406.1	98
XM_027365407.1	3550
XM_027365408.1	6855
XM_027365409.1	187
XM_027365411.1	829
XM_027365412.1	2
XM_027365413.1	142
XM_027365414.1	144
XM_027365415.1	2
XM_027365416.1	23291
XM_027365417.1	4
XM_027365418.1	838
XM_027365419.1	4
XM_027365421.1	65
XM_027365423.1	667
XM_027365424.1	2
XM_027365425.1	620
XM_027365426.1	4591
XM_027365431.1	63
XM_027365434.1	17
XM_027365435.1	36
XM_027365439.1	14
XM_027365443.1	19
XM_027365445.1	99
XM_027365446.1	4
XM_027365447.1	6
XM_027365448.1	2
XM_027365449.1	2
XM_027365450.1	965
XM_027365451.1	744
XM_027365453.1	52
XM_027365456.1	2
XM_027365457.1	2
XM_027365458.1	4
XM_027365459.1	13
XM_027365460.1	4
XM_027365462.1	54
XM_027365463.1	177
XM_027365464.1	2764
XM_027365465.1	59
XM_027365466.1	663
XM_027365469.1	31
XM_027365470.1	92
XM_027365473.1	8
XM_027365474.1	2
XM_027365475.1	271
XM_027365476.1	58
XM_027365477.1	983
XM_027365478.1	11
XM_027365479.1	1978
XM_027365481.1	167
XM_027365483.1	4369
XM_027365486.1	282
XM_027365487.1	310
XM_027365488.1	62
XM_027365489.1	294
XM_027365490.1	353
XM_027365491.1	21
XM_027365492.1	18
XM_027365496.1	644
XM_027365497.1	399
XM_027365498.1	348
XM_027365499.1	120
XM_027365502.1	4
XM_027365504.1	160
XM_027365505.1	2
XM_027365507.1	425
XM_027365508.1	16
XM_027365509.1	18
XM_027365510.1	145
XM_027365513.1	296
XM_027365514.1	3
XM_027365515.1	7
XM_027365516.1	2
XM_027365518.1	260
XM_027365519.1	5630
XM_027365520.1	24
XM_027365521.1	28
XM_027365522.1	26
XM_027365523.1	41
XM_027365524.1	22
XM_027365525.1	38
XM_027365526.1	24
XM_027365527.1	212
XM_027365528.1	4
XM_027365529.1	2
XM_027365530.1	72
XM_027365531.1	80
XM_027365533.1	794
XM_027365534.1	44
XM_027365535.1	28
XM_027365538.1	92
XM_027365540.1	16
XM_027365541.1	32
XM_027365542.1	94
XM_027365545.1	6
XM_027365546.1	4
XM_027365547.1	18
XM_027365548.1	16
XM_027365549.1	10
XM_027365550.1	722
XM_027365552.1	164
XM_027365556.1	323
XM_027365557.1	6803
XM_027365558.1	234
XM_027365559.1	1
XM_027365560.1	1
XM_027365562.1	4
XM_027365564.1	125
XM_027365566.1	55
XM_027365567.1	2
XM_027365568.1	4
XM_027365571.1	2
XM_027365572.1	8
XM_027365573.1	4
XM_027365576.1	8
XM_027365577.1	23
XM_027365578.1	4
XM_027365579.1	191
XM_027365582.1	48
XM_027365583.1	74
XM_027365584.1	89
XM_027365585.1	2
XM_027365587.1	2
XM_027365589.1	2
XM_027365592.1	229
XM_027365593.1	102
XM_027365594.1	256
XM_027365595.1	1532
XM_027365596.1	620
XM_027365597.1	639
XM_027365598.1	635
XM_027365599.1	84
XM_027365600.1	372
XM_027365601.1	4
XM_027365603.1	513
XM_027365604.1	124
XM_027365605.1	82
XM_027365606.1	88
XM_027365607.1	681
XM_027365608.1	937
XM_027365611.1	602
XM_027365612.1	282
XM_027365613.1	123
XM_027365614.1	152
XM_027365615.1	4
XM_027365620.1	212
XM_027365623.1	9
XM_027365625.1	15
XM_027365630.1	74
XM_027365633.1	6
XM_027365634.1	289
XM_027365635.1	334
XM_027365636.1	99
XM_027365637.1	49
XM_027365638.1	54
XM_027365639.1	54
XM_027365640.1	17
XM_027365641.1	22
XM_027365642.1	14
XM_027365643.1	17
XM_027365644.1	10
XM_027365645.1	16
XM_027365646.1	14
XM_027365647.1	61
XM_027365648.1	27
XM_027365652.1	271
XM_027365653.1	644
XM_027365654.1	267
XM_027365655.1	104
XM_027365661.1	30
XM_027365662.1	124
XM_027365664.1	30
XM_027365668.1	79
XM_027365675.1	86
XM_027365678.1	6
XM_027365681.1	57
XM_027365683.1	9
XM_027365684.1	15
XM_027365689.1	129
XM_027365691.1	1
XM_027365697.1	68
XM_027365698.1	28
XM_027365699.1	28
XM_027365700.1	151
XM_027365702.1	2
XM_027365703.1	2
XM_027365704.1	4
XM_027365705.1	112
XM_027365710.1	1597
XM_027365711.1	6
XM_027365712.1	74
XM_027365713.1	283
XM_027365714.1	43
XM_027365715.1	40
XM_027365716.1	42
XM_027365717.1	286
XM_027365718.1	329
XM_027365719.1	103
XM_027365720.1	64
XM_027365721.1	81
XM_027365722.1	50
XM_027365723.1	52
XM_027365724.1	726
XM_027365725.1	182
XM_027365728.1	67
XM_027365729.1	65
XM_027365732.1	5420
XM_027365734.1	99
XM_027365735.1	249
XM_027365736.1	1085
XM_027365737.1	137
XM_027365739.1	2
XM_027365740.1	66
XM_027365741.1	57
XM_027365742.1	4
XM_027365743.1	642
XM_027365744.1	5547
XM_027365745.1	28
XM_027365746.1	18
XM_027365747.1	108
XM_027365748.1	101
XM_027365749.1	142
XM_027365750.1	111
XM_027365751.1	149
XM_027365752.1	149
XM_027365753.1	2741
XM_027365754.1	138
XM_027365755.1	90
XM_027365756.1	137
XM_027365757.1	162
XM_027365760.1	3
XM_027365761.1	150
XM_027365762.1	28
XM_027365763.1	102
XM_027365764.1	43
XM_027365765.1	2221
XM_027365766.1	2
XM_027365768.1	1
XM_027365771.1	964
XM_027365772.1	99
XM_027365773.1	333
XM_027365774.1	45
XM_027365775.1	397
XM_027365776.1	326
XM_027365777.1	28
XM_027365778.1	345
XM_027365779.1	23
XM_027365780.1	106
XM_027365785.1	78
XM_027365787.1	32
XM_027365788.1	55257
XM_027365789.1	97
XM_027365790.1	88
XM_027365791.1	2475
XM_027365792.1	95
XM_027365795.1	31
XM_027365796.1	108
XM_027365797.1	105
XM_027365798.1	83
XM_027365799.1	2463
XM_027365800.1	93
XM_027365801.1	422
XM_027365802.1	335
XM_027365803.1	433
XM_027365804.1	476
XM_027365805.1	272
XM_027365807.1	135
XM_027365808.1	194
XM_027365809.1	80
XM_027365811.1	22
XM_027365812.1	1
XM_027365814.1	4
XM_027365815.1	144
XM_027365816.1	591
XM_027365817.1	79
XM_027365818.1	83
XM_027365819.1	309
XM_027365820.1	2
XM_027365822.1	102
XM_027365823.1	239
XM_027365825.1	54
XM_027365826.1	110
XM_027365827.1	4
XM_027365829.1	167
XM_027365830.1	39
XM_027365831.1	121
XM_027365832.1	98
XM_027365833.1	1545
XM_027365834.1	18517
XM_027365835.1	482
XM_027365836.1	791
XM_027365837.1	3298
XM_027365838.1	368
XM_027365839.1	134
XM_027365841.1	2178
XM_027365845.1	124
XM_027365850.1	157
XM_027365858.1	124
XM_027365860.1	623
XM_027365861.1	732
XM_027365862.1	2
XM_027365863.1	94
XM_027365864.1	1123
XM_027365865.1	61
XM_027365866.1	158
XM_027365867.1	69
XM_027365869.1	16840
XM_027365870.1	708
XM_027365871.1	46
XM_027365872.1	8
XM_027365875.1	92
XM_027365880.1	306
XM_027365884.1	612
XM_027365885.1	550
XM_027365886.1	4
XM_027365887.1	10
XM_027365888.1	50
XM_027365889.1	46
XM_027365890.1	354
XM_027365891.1	962
XM_027365892.1	999
XM_027365893.1	702
XM_027365898.1	77
XM_027365915.1	2
XM_027365921.1	309
XM_027365922.1	183
XM_027365923.1	176
XM_027365924.1	284
XM_027365925.1	271
XM_027365927.1	1261
XM_027365928.1	152
XM_027365929.1	117
XM_027365930.1	621
XM_027365931.1	561
XM_027365932.1	70
XM_027365934.1	118
XM_027365937.1	25
XM_027365938.1	40
XM_027365939.1	1776
XM_027365940.1	27
XM_027365941.1	8
XM_027365949.1	174
XM_027365954.1	297
XM_027365955.1	349
XM_027365956.1	223
XM_027365957.1	164
XM_027365958.1	198
XM_027365959.1	173
XM_027365961.1	841
XM_027365962.1	37
XM_027365963.1	59
XM_027365964.1	56
XM_027365966.1	10
XM_027365967.1	2
XM_027365974.1	80
XM_027365975.1	147
XM_027365976.1	110
XM_027365977.1	56
XM_027365981.1	10
XM_027365982.1	1340
XM_027365986.1	4
XM_027365988.1	196
XM_027365991.1	18
XM_027365992.1	38
XM_027365993.1	16
XM_027365994.1	2
XM_027365995.1	40
XM_027365996.1	47
XM_027365997.1	276
XM_027365998.1	43
XM_027365999.1	42
XM_027366000.1	77
XM_027366001.1	40
XM_027366002.1	60
XM_027366003.1	39
XM_027366004.1	50
XM_027366005.1	17
XM_027366006.1	4
XM_027366007.1	226
XM_027366008.1	16
XM_027366009.1	12
XM_027366010.1	41
XM_027366011.1	38
XM_027366012.1	45
XM_027366013.1	37
XM_027366014.1	32
XM_027366015.1	33
XM_027366016.1	22
XM_027366019.1	1753
XM_027366022.1	43
XM_027366023.1	2
XM_027366024.1	197
XM_027366025.1	39
XM_027366026.1	221
XM_027366027.1	260
XM_027366031.1	17
XM_027366035.1	4
XM_027366037.1	2
XM_027366040.1	1296
XM_027366042.1	176
XM_027366043.1	62
XM_027366044.1	49
XM_027366045.1	182
XM_027366046.1	14
XM_027366047.1	2
XM_027366048.1	10
XM_027366049.1	12
XM_027366051.1	26
XM_027366052.1	38
XM_027366053.1	26
XM_027366054.1	22
XM_027366055.1	10
XM_027366056.1	4
XM_027366057.1	101
XM_027366068.1	650
XM_027366069.1	8
XM_027366071.1	62
XM_027366072.1	14
XM_027366073.1	389
XM_027366074.1	2
XM_027366075.1	2
XM_027366079.1	175
XM_027366081.1	133
XM_027366087.1	87
XM_027366088.1	4
XM_027366090.1	21
XM_027366091.1	36
XM_027366092.1	482
XM_027366093.1	55
XM_027366094.1	784
XM_027366095.1	2
XM_027366097.1	515
XM_027366098.1	25
XM_027366099.1	11
XM_027366101.1	2
XM_027366103.1	2093
XM_027366104.1	272
XM_027366105.1	6
XM_027366106.1	2690
XM_027366108.1	60
XM_027366109.1	57
XM_027366110.1	51
XM_027366111.1	54
XM_027366112.1	98
XM_027366114.1	46
XM_027366117.1	13
XM_027366122.1	26
XM_027366127.1	110
XM_027366138.1	286
XM_027366144.1	50
XM_027366145.1	139
XM_027366146.1	177
XM_027366147.1	15
XM_027366148.1	2
XM_027366149.1	8
XM_027366153.1	74
XM_027366154.1	498
XM_027366155.1	126
XM_027366157.1	5
XM_027366158.1	20
XM_027366159.1	11
XM_027366160.1	3
XM_027366163.1	40
XM_027366165.1	29
XM_027366166.1	2
XM_027366171.1	624
XM_027366173.1	26
XM_027366174.1	22
XM_027366175.1	14
XM_027366176.1	18
XM_027366177.1	1
XM_027366178.1	117
XM_027366179.1	88
XM_027366181.1	2
XM_027366182.1	182
XM_027366183.1	700
XM_027366184.1	14
XM_027366185.1	5
XM_027366187.1	4
XM_027366188.1	18
XM_027366189.1	3378
XM_027366193.1	249
XM_027366196.1	6
XM_027366197.1	232
XM_027366203.1	5
XM_027366204.1	22
XM_027366205.1	146
XM_027366207.1	257
XM_027366209.1	67
XM_027366210.1	39
XM_027366211.1	1
XM_027366212.1	18
XM_027366214.1	2
XM_027366215.1	2
XM_027366216.1	37
XM_027366219.1	311
XM_027366220.1	456
XM_027366221.1	356
XM_027366222.1	30
XM_027366223.1	19
XM_027366224.1	23
XM_027366226.1	50
XM_027366227.1	33
XM_027366228.1	34
XM_027366229.1	39
XM_027366230.1	30
XM_027366231.1	32
XM_027366232.1	25
XM_027366233.1	167566
XM_027366234.1	1247
XM_027366235.1	506
XM_027366236.1	99
XM_027366237.1	20
XM_027366239.1	253
XM_027366240.1	254
XM_027366241.1	243
XM_027366242.1	372
XM_027366243.1	117
XM_027366244.1	98
XM_027366245.1	111
XM_027366246.1	85
XM_027366247.1	18
XM_027366248.1	16
XM_027366252.1	22
XM_027366253.1	12
XM_027366254.1	16
XM_027366255.1	10
XM_027366256.1	25
XM_027366257.1	24
XM_027366258.1	132
XM_027366267.1	39007
XM_027366268.1	4174
XM_027366269.1	2
XM_027366270.1	163
XM_027366271.1	6
XM_027366272.1	12
XM_027366273.1	106
XM_027366274.1	10
XM_027366277.1	34
XM_027366278.1	61
XM_027366279.1	2
XM_027366280.1	377
XM_027366282.1	2
XM_027366285.1	101
XM_027366286.1	4
XM_027366287.1	10
XM_027366288.1	36
XM_027366289.1	46
XM_027366290.1	4
XM_027366291.1	158
XM_027366292.1	117
XM_027366293.1	57
XM_027366294.1	91
XM_027366295.1	68
XM_027366296.1	640
XM_027366297.1	683
XM_027366299.1	2
XM_027366300.1	32
XM_027366304.1	21
XM_027366305.1	3
XM_027366306.1	14
XM_027366307.1	11
XM_027366308.1	8
XM_027366309.1	6
XM_027366310.1	8
XM_027366311.1	6
XM_027366312.1	2
XM_027366313.1	10
XM_027366314.1	12
XM_027366315.1	4
XM_027366320.1	4
XM_027366322.1	88
XM_027366323.1	139
XM_027366324.1	125
XM_027366326.1	212
XM_027366327.1	94
XM_027366329.1	68
XM_027366330.1	61
XM_027366332.1	2759
XM_027366333.1	2527
XM_027366334.1	1453
XM_027366335.1	6
XM_027366336.1	66
XM_027366338.1	92
XM_027366339.1	8
XM_027366341.1	6
XM_027366342.1	28
XM_027366347.1	30
XM_027366352.1	43
XM_027366353.1	12
XM_027366354.1	14
XM_027366355.1	14
XM_027366356.1	23
XM_027366357.1	16
XM_027366358.1	24
XM_027366359.1	45
XM_027366360.1	24
XM_027366361.1	97
XM_027366362.1	85
XM_027366363.1	89
XM_027366364.1	24
XM_027366365.1	2
XM_027366367.1	14
XM_027366369.1	2
XM_027366370.1	37
XM_027366372.1	53
XM_027366373.1	50
XM_027366374.1	56
XM_027366375.1	6
XM_027366376.1	90
XM_027366377.1	62
XM_027366378.1	68
XM_027366380.1	81
XM_027366381.1	61
XM_027366382.1	75
XM_027366385.1	6
XM_027366386.1	1
XM_027366387.1	70
XM_027366390.1	26
XM_027366391.1	5
XM_027366393.1	13955
XM_027366394.1	3729
XM_027366395.1	8
XM_027366397.1	53710
XM_027366398.1	8
XM_027366399.1	12
XM_027366400.1	12
XM_027366401.1	61
XM_027366402.1	288
XM_027366408.1	5283
XM_027366409.1	9269
XM_027366410.1	9623
XM_027366411.1	8537
XM_027366412.1	7217
XM_027366414.1	839
XM_027366416.1	1685
XM_027366418.1	2
XM_027366419.1	4
XM_027366420.1	153
XM_027366421.1	81
XM_027366422.1	96
XM_027366423.1	118
XM_027366427.1	6
XM_027366428.1	538
XM_027366429.1	29
XM_027366431.1	6
XM_027366433.1	1
XM_027366434.1	2
XM_027366435.1	2
XM_027366439.1	440
XM_027366440.1	20
XM_027366441.1	114
XM_027366442.1	18
XM_027366443.1	4
XM_027366444.1	4
XM_027366445.1	593
XM_027366446.1	2
XM_027366448.1	257
XM_027366449.1	583
XM_027366450.1	11
XM_027366451.1	9
XM_027366453.1	18
XM_027366454.1	25
XM_027366456.1	1390
XM_027366457.1	6
XM_027366458.1	2
XM_027366459.1	2
XM_027366460.1	3950
XM_027366464.1	5
XM_027366467.1	24
XM_027366468.1	4
XM_027366471.1	3106
XM_027366472.1	4904
XM_027366473.1	58
XM_027366475.1	65
XM_027366476.1	2
XM_027366477.1	247
XM_027366478.1	6
XM_027366479.1	48
XM_027366480.1	36
XM_027366485.1	3
XM_027366486.1	1591
XM_027366487.1	189
XM_027366488.1	216
XM_027366489.1	316
XM_027366490.1	1083
XM_027366491.1	42
XM_027366492.1	25
XM_027366493.1	10
XM_027366494.1	14
XM_027366495.1	31
