#rname	numreads
XM_027351030.1	10
XM_027351031.1	41
XM_027351032.1	4
XM_027351034.1	1
XM_027351037.1	209
XM_027351038.1	32
XM_027351039.1	46
XM_027351040.1	90
XM_027351041.1	2
XM_027351042.1	26
XM_027351043.1	20
XM_027351044.1	21
XM_027351045.1	1502
XM_027351048.1	142
XM_027351050.1	4243
XM_027351051.1	2
XM_027351052.1	4
XM_027351053.1	26
XM_027351058.1	221
XM_027351059.1	2
XM_027351061.1	573
XM_027351062.1	2
XM_027351063.1	10
XM_027351065.1	2
XM_027351066.1	2
XM_027351067.1	10477
XM_027351068.1	1029
XM_027351069.1	785
XM_027351076.1	32
XM_027351077.1	80
XM_027351078.1	6
XM_027351079.1	6
XM_027351080.1	47
XM_027351081.1	672
XM_027351084.1	52
XM_027351085.1	488
XM_027351086.1	612
XM_027351087.1	26
XM_027351088.1	197
XM_027351089.1	18
XM_027351090.1	24
XM_027351091.1	20
XM_027351092.1	28
XM_027351093.1	25
XM_027351094.1	44
XM_027351095.1	36
XM_027351096.1	27
XM_027351097.1	1171
XM_027351100.1	579
XM_027351101.1	554
XM_027351102.1	531
XM_027351103.1	482
XM_027351104.1	472
XM_027351105.1	476
XM_027351106.1	1325
XM_027351110.1	52
XM_027351111.1	195
XM_027351112.1	30
XM_027351113.1	38
XM_027351114.1	6
XM_027351115.1	1396
XM_027351116.1	6
XM_027351117.1	18
XM_027351119.1	2
XM_027351120.1	166
XM_027351121.1	150
XM_027351122.1	202
XM_027351123.1	1217
XM_027351124.1	14
XM_027351125.1	16
XM_027351126.1	78
XM_027351128.1	693
XM_027351129.1	1084
XM_027351130.1	190
XM_027351131.1	183
XM_027351132.1	1216
XM_027351133.1	146
XM_027351135.1	69
XM_027351136.1	264
XM_027351137.1	31
XM_027351138.1	106
XM_027351139.1	971
XM_027351140.1	5371
XM_027351141.1	9099
XM_027351143.1	8502
XM_027351144.1	53
XM_027351145.1	26
XM_027351146.1	28
XM_027351147.1	56
XM_027351148.1	45
XM_027351149.1	267
XM_027351150.1	14
XM_027351151.1	75
XM_027351152.1	84
XM_027351153.1	8223
XM_027351155.1	3
XM_027351156.1	1402
XM_027351157.1	6
XM_027351159.1	5183
XM_027351161.1	673
XM_027351162.1	2
XM_027351163.1	4
XM_027351164.1	2
XM_027351165.1	48
XM_027351166.1	4
XM_027351167.1	38
XM_027351169.1	67
XM_027351171.1	119
XM_027351178.1	93
XM_027351179.1	154
XM_027351182.1	13
XM_027351183.1	63
XM_027351187.1	6010
XM_027351188.1	97
XM_027351189.1	2
XM_027351191.1	1
XM_027351198.1	2
XM_027351203.1	1092
XM_027351204.1	12903
XM_027351206.1	95
XM_027351207.1	99
XM_027351208.1	126
XM_027351209.1	198
XM_027351210.1	124
XM_027351211.1	149
XM_027351212.1	10
XM_027351213.1	7
XM_027351214.1	43473
XM_027351216.1	5
XM_027351217.1	1079
XM_027351219.1	26
XM_027351220.1	12
XM_027351221.1	20
XM_027351222.1	48
XM_027351223.1	26
XM_027351224.1	29
XM_027351225.1	299
XM_027351226.1	319
XM_027351227.1	289
XM_027351228.1	171
XM_027351229.1	322
XM_027351230.1	2
XM_027351231.1	226
XM_027351232.1	47
XM_027351234.1	69
XM_027351235.1	93
XM_027351245.1	2600
XM_027351250.1	3035
XM_027351252.1	2339
XM_027351256.1	144
XM_027351257.1	50
XM_027351260.1	45
XM_027351261.1	4
XM_027351263.1	435
XM_027351264.1	290
XM_027351265.1	334
XM_027351266.1	26
XM_027351267.1	16
XM_027351268.1	17
XM_027351269.1	22
XM_027351270.1	28
XM_027351272.1	111
XM_027351273.1	89
XM_027351279.1	112
XM_027351280.1	37
XM_027351282.1	2
XM_027351283.1	537
XM_027351284.1	1
XM_027351285.1	528
XM_027351286.1	2
XM_027351287.1	66
XM_027351288.1	1030
XM_027351289.1	44
XM_027351290.1	34
XM_027351291.1	40
XM_027351292.1	50
XM_027351293.1	19
XM_027351294.1	30
XM_027351295.1	121
XM_027351297.1	112
XM_027351298.1	108
XM_027351299.1	102
XM_027351300.1	2794
XM_027351303.1	2
XM_027351304.1	8
XM_027351306.1	8
XM_027351307.1	17
XM_027351309.1	2
XM_027351310.1	11
XM_027351312.1	2996
XM_027351313.1	82
XM_027351314.1	80
XM_027351315.1	122
XM_027351316.1	81
XM_027351317.1	109
XM_027351318.1	102
XM_027351319.1	496
XM_027351320.1	560
XM_027351321.1	25
XM_027351322.1	14
XM_027351323.1	12
XM_027351324.1	688
XM_027351325.1	177
XM_027351326.1	220
XM_027351329.1	194
XM_027351330.1	172
XM_027351331.1	918
XM_027351332.1	819
XM_027351333.1	131
XM_027351334.1	56
XM_027351335.1	53
XM_027351337.1	37
XM_027351339.1	9
XM_027351340.1	397
XM_027351341.1	88
XM_027351342.1	71
XM_027351343.1	101
XM_027351344.1	77
XM_027351345.1	72
XM_027351346.1	25
XM_027351347.1	40
XM_027351348.1	2
XM_027351349.1	33
XM_027351350.1	565
XM_027351352.1	12
XM_027351353.1	6213
XM_027351354.1	4413
XM_027351355.1	4333
XM_027351356.1	4233
XM_027351357.1	4181
XM_027351358.1	97
XM_027351359.1	119
XM_027351360.1	503
XM_027351361.1	28304
XM_027351363.1	4
XM_027351365.1	2
XM_027351366.1	17
XM_027351369.1	5147
XM_027351370.1	8
XM_027351372.1	351
XM_027351373.1	21
XM_027351374.1	1262
XM_027351375.1	45
XM_027351376.1	6
XM_027351377.1	2
XM_027351378.1	481
XM_027351379.1	88
XM_027351380.1	94
XM_027351384.1	158
XM_027351385.1	2
XM_027351389.1	13
XM_027351390.1	13
XM_027351394.1	90
XM_027351395.1	6
XM_027351396.1	4
XM_027351398.1	20
XM_027351399.1	18
XM_027351400.1	3
XM_027351401.1	2
XM_027351402.1	2
XM_027351405.1	2056
XM_027351406.1	2
XM_027351410.1	83
XM_027351415.1	21
XM_027351416.1	4
XM_027351417.1	15
XM_027351418.1	2
XM_027351419.1	68705
XM_027351421.1	41
XM_027351422.1	77
XM_027351425.1	1
XM_027351426.1	4
XM_027351429.1	5
XM_027351433.1	50
XM_027351434.1	396
XM_027351435.1	471
XM_027351437.1	352
XM_027351439.1	2
XM_027351440.1	51
XM_027351441.1	47
XM_027351444.1	136
XM_027351445.1	157
XM_027351446.1	138
XM_027351447.1	108
XM_027351448.1	141
XM_027351449.1	2
XM_027351450.1	522
XM_027351451.1	539
XM_027351455.1	407
XM_027351456.1	457
XM_027351457.1	440
XM_027351458.1	14
XM_027351459.1	26
XM_027351460.1	14
XM_027351461.1	16
XM_027351462.1	18
XM_027351463.1	18
XM_027351465.1	2
XM_027351466.1	2
XM_027351467.1	15
XM_027351469.1	884
XM_027351470.1	18
XM_027351471.1	9
XM_027351472.1	2
XM_027351473.1	15
XM_027351474.1	15
XM_027351475.1	20
XM_027351476.1	16
XM_027351477.1	125
XM_027351480.1	31
XM_027351481.1	41
XM_027351485.1	1247
XM_027351488.1	534
XM_027351489.1	297
XM_027351491.1	8
XM_027351492.1	18
XM_027351493.1	4
XM_027351497.1	2
XM_027351503.1	63
XM_027351505.1	57
XM_027351506.1	34
XM_027351507.1	44
XM_027351509.1	37
XM_027351510.1	429
XM_027351511.1	298
XM_027351512.1	222
XM_027351513.1	66
XM_027351517.1	30
XM_027351518.1	3
XM_027351519.1	83
XM_027351520.1	96
XM_027351521.1	76
XM_027351522.1	2
XM_027351529.1	96
XM_027351531.1	65
XM_027351535.1	16104
XM_027351536.1	4
XM_027351541.1	2
XM_027351542.1	18
XM_027351547.1	4
XM_027351549.1	19
XM_027351550.1	19
XM_027351553.1	6
XM_027351555.1	1634
XM_027351556.1	51
XM_027351558.1	353
XM_027351559.1	6
XM_027351560.1	12
XM_027351561.1	7815
XM_027351562.1	223
XM_027351564.1	380
XM_027351565.1	129
XM_027351566.1	2
XM_027351567.1	228
XM_027351568.1	205
XM_027351569.1	4
XM_027351570.1	3
XM_027351571.1	106
XM_027351576.1	96
XM_027351577.1	132
XM_027351578.1	191
XM_027351579.1	140
XM_027351580.1	141
XM_027351581.1	100
XM_027351582.1	122
XM_027351583.1	124
XM_027351584.1	404
XM_027351585.1	224
XM_027351587.1	735
XM_027351588.1	180
XM_027351589.1	513
XM_027351590.1	17693
XM_027351591.1	10
XM_027351592.1	60
XM_027351593.1	97
XM_027351594.1	66
XM_027351595.1	86
XM_027351596.1	63
XM_027351597.1	44
XM_027351599.1	47
XM_027351600.1	1122
XM_027351601.1	5601
XM_027351602.1	317
XM_027351603.1	318
XM_027351604.1	2
XM_027351605.1	11
XM_027351606.1	2
XM_027351607.1	22
XM_027351608.1	27
XM_027351612.1	99
XM_027351613.1	96
XM_027351614.1	137
XM_027351615.1	107
XM_027351617.1	142
XM_027351619.1	7
XM_027351624.1	66
XM_027351625.1	196
XM_027351627.1	13175
XM_027351628.1	266
XM_027351629.1	263
XM_027351630.1	234
XM_027351632.1	2
XM_027351637.1	406
XM_027351638.1	10
XM_027351639.1	1
XM_027351640.1	20
XM_027351641.1	1
XM_027351642.1	218
XM_027351643.1	42
XM_027351645.1	5
XM_027351646.1	204
XM_027351648.1	22
XM_027351649.1	307
XM_027351651.1	4
XM_027351654.1	636
XM_027351655.1	702
XM_027351656.1	623
XM_027351657.1	66
XM_027351659.1	609
XM_027351660.1	714
XM_027351661.1	1
XM_027351666.1	2
XM_027351668.1	49341
XM_027351669.1	275
XM_027351671.1	987
XM_027351673.1	8624
XM_027351676.1	2
XM_027351677.1	12
XM_027351680.1	20
XM_027351682.1	123
XM_027351684.1	172
XM_027351685.1	8
XM_027351686.1	195
XM_027351687.1	198
XM_027351699.1	820
XM_027351700.1	33
XM_027351702.1	34
XM_027351704.1	22
XM_027351707.1	66
XM_027351708.1	62
XM_027351709.1	70
XM_027351710.1	40
XM_027351711.1	51
XM_027351712.1	52
XM_027351717.1	40
XM_027351718.1	34
XM_027351719.1	36
XM_027351720.1	55
XM_027351721.1	2
XM_027351722.1	41
XM_027351723.1	4
XM_027351724.1	6
XM_027351725.1	12
XM_027351726.1	10
XM_027351727.1	2
XM_027351728.1	68
XM_027351729.1	2
XM_027351730.1	49
XM_027351731.1	27
XM_027351732.1	23
XM_027351733.1	17
XM_027351734.1	166
XM_027351735.1	161
XM_027351736.1	162
XM_027351738.1	26
XM_027351739.1	17
XM_027351740.1	194
XM_027351742.1	136
XM_027351743.1	17
XM_027351744.1	175
XM_027351746.1	22
XM_027351748.1	10
XM_027351749.1	14
XM_027351750.1	85
XM_027351751.1	20
XM_027351752.1	27
XM_027351753.1	602
XM_027351754.1	12
XM_027351755.1	16
XM_027351756.1	51
XM_027351757.1	97
XM_027351759.1	40
XM_027351760.1	55
XM_027351761.1	70
XM_027351762.1	246
XM_027351763.1	64
XM_027351764.1	1037
XM_027351765.1	147
XM_027351766.1	255
XM_027351767.1	198
XM_027351769.1	610
XM_027351771.1	1107
XM_027351772.1	166
XM_027351774.1	166
XM_027351775.1	1473
XM_027351776.1	1198
XM_027351777.1	6
XM_027351778.1	229
XM_027351780.1	46
XM_027351781.1	15
XM_027351782.1	99
XM_027351783.1	21
XM_027351784.1	6
XM_027351786.1	42
XM_027351790.1	38
XM_027351791.1	50
XM_027351792.1	4
XM_027351794.1	45
XM_027351795.1	2
XM_027351798.1	2
XM_027351800.1	44
XM_027351802.1	2
XM_027351803.1	2
XM_027351804.1	292
XM_027351807.1	1027
XM_027351808.1	34
XM_027351809.1	2
XM_027351810.1	2
XM_027351811.1	4
XM_027351812.1	2
XM_027351815.1	574
XM_027351816.1	77
XM_027351817.1	621
XM_027351820.1	4
XM_027351821.1	2
XM_027351824.1	2
XM_027351825.1	6
XM_027351826.1	4
XM_027351828.1	356
XM_027351830.1	317
XM_027351832.1	249
XM_027351839.1	143
XM_027351844.1	401
XM_027351845.1	384
XM_027351846.1	63
XM_027351847.1	3401
XM_027351848.1	12
XM_027351849.1	18
XM_027351851.1	120
XM_027351853.1	12
XM_027351856.1	3
XM_027351857.1	2
XM_027351858.1	2
XM_027351859.1	3
XM_027351861.1	799
XM_027351863.1	885
XM_027351864.1	937
XM_027351865.1	14
XM_027351868.1	18
XM_027351871.1	15
XM_027351872.1	2
XM_027351873.1	8
XM_027351874.1	7663
XM_027351876.1	20039
XM_027351877.1	881
XM_027351878.1	6
XM_027351879.1	932
XM_027351880.1	1520
XM_027351881.1	961
XM_027351882.1	984
XM_027351883.1	899
XM_027351884.1	932
XM_027351885.1	294
XM_027351886.1	622
XM_027351887.1	6
XM_027351888.1	554
XM_027351896.1	2
XM_027351897.1	1
XM_027351900.1	8
XM_027351910.1	1
XM_027351912.1	2
XM_027351921.1	19
XM_027351922.1	1
XM_027351925.1	12
XM_027351928.1	100
XM_027351931.1	161
XM_027351932.1	18
XM_027351938.1	16
XM_027351945.1	6
XM_027351947.1	16
XM_027351948.1	153
XM_027351952.1	68
XM_027351955.1	4
XM_027351963.1	422
XM_027351964.1	3
XM_027351966.1	25
XM_027351973.1	16
XM_027351977.1	10
XM_027351978.1	12
XM_027351979.1	6
XM_027351980.1	15389
XM_027351982.1	795
XM_027351983.1	638
XM_027351984.1	52
XM_027351985.1	56
XM_027351986.1	409
XM_027351987.1	51178
XM_027351988.1	35
XM_027351989.1	30
XM_027351990.1	4
XM_027351991.1	12
XM_027351992.1	54
XM_027351993.1	18
XM_027351994.1	11
XM_027351995.1	16
XM_027351996.1	12
XM_027351997.1	1016
XM_027351998.1	4
XM_027351999.1	225
XM_027352000.1	66
XM_027352001.1	46
XM_027352002.1	5
XM_027352003.1	377
XM_027352004.1	1266
XM_027352005.1	350
XM_027352006.1	77
XM_027352008.1	483
XM_027352009.1	427
XM_027352010.1	465
XM_027352012.1	1426
XM_027352013.1	2
XM_027352014.1	1
XM_027352015.1	5
XM_027352017.1	22
XM_027352019.1	18
XM_027352020.1	6
XM_027352021.1	16
XM_027352022.1	1295
XM_027352023.1	235
XM_027352024.1	4056
XM_027352025.1	404
XM_027352026.1	4
XM_027352028.1	67
XM_027352029.1	60
XM_027352030.1	15
XM_027352031.1	12
XM_027352032.1	17
XM_027352033.1	4
XM_027352035.1	165
XM_027352036.1	6
XM_027352039.1	58
XM_027352040.1	14
XM_027352041.1	2
XM_027352042.1	12
XM_027352043.1	56
XM_027352044.1	269
XM_027352045.1	24
XM_027352046.1	4
XM_027352047.1	29
XM_027352048.1	21
XM_027352049.1	28
XM_027352050.1	28
XM_027352051.1	38
XM_027352052.1	35
XM_027352053.1	39
XM_027352054.1	30
XM_027352056.1	5
XM_027352058.1	9
XM_027352059.1	1030
XM_027352062.1	1
XM_027352063.1	18
XM_027352064.1	5
XM_027352065.1	21
XM_027352067.1	1013
XM_027352069.1	756
XM_027352070.1	2
XM_027352072.1	6
XM_027352078.1	1958
XM_027352079.1	146
XM_027352081.1	40
XM_027352082.1	5
XM_027352084.1	63
XM_027352085.1	93
XM_027352086.1	100
XM_027352087.1	132
XM_027352088.1	192
XM_027352089.1	172
XM_027352090.1	152
XM_027352092.1	433
XM_027352093.1	465
XM_027352095.1	157
XM_027352096.1	177
XM_027352097.1	160
XM_027352098.1	178
XM_027352099.1	2640
XM_027352100.1	2519
XM_027352101.1	123
XM_027352102.1	104
XM_027352103.1	102
XM_027352105.1	4
XM_027352108.1	83
XM_027352109.1	133
XM_027352110.1	165
XM_027352112.1	4
XM_027352113.1	19
XM_027352116.1	135
XM_027352118.1	103
XM_027352119.1	107
XM_027352120.1	137
XM_027352121.1	99
XM_027352122.1	133
XM_027352123.1	126
XM_027352124.1	133
XM_027352125.1	100
XM_027352126.1	112
XM_027352127.1	47
XM_027352128.1	552
XM_027352129.1	8
XM_027352132.1	2
XM_027352133.1	77547
XM_027352134.1	2
XM_027352136.1	9
XM_027352137.1	2
XM_027352138.1	2
XM_027352139.1	8
XM_027352140.1	29
XM_027352141.1	39
XM_027352142.1	2
XM_027352143.1	6
XM_027352144.1	14
XM_027352145.1	21
XM_027352146.1	113
XM_027352147.1	173
XM_027352148.1	482
XM_027352149.1	17
XM_027352150.1	617
XM_027352152.1	18
XM_027352153.1	4
XM_027352154.1	35
XM_027352156.1	611
XM_027352157.1	5
XM_027352158.1	700
XM_027352159.1	11
XM_027352162.1	729
XM_027352164.1	2
XM_027352166.1	2000
XM_027352167.1	22
XM_027352168.1	6
XM_027352172.1	30
XM_027352174.1	23
XM_027352175.1	219
XM_027352176.1	885
XM_027352177.1	200
XM_027352178.1	269
XM_027352179.1	202
XM_027352180.1	207
XM_027352181.1	212
XM_027352182.1	214
XM_027352183.1	180
XM_027352184.1	230
XM_027352185.1	214
XM_027352186.1	208
XM_027352187.1	229
XM_027352188.1	544
XM_027352189.1	967
XM_027352190.1	67
XM_027352191.1	67
XM_027352192.1	72
XM_027352193.1	86
XM_027352194.1	70
XM_027352195.1	323
XM_027352196.1	9
XM_027352197.1	8
XM_027352198.1	12
XM_027352199.1	143
XM_027352200.1	3
XM_027352202.1	237
XM_027352203.1	205
XM_027352204.1	204
XM_027352205.1	38
XM_027352208.1	2
XM_027352210.1	12
XM_027352211.1	7
XM_027352212.1	136
XM_027352213.1	23
XM_027352214.1	8
XM_027352215.1	6
XM_027352216.1	102
XM_027352217.1	166
XM_027352218.1	105
XM_027352219.1	123
XM_027352220.1	96
XM_027352221.1	29
XM_027352225.1	2
XM_027352228.1	34
XM_027352229.1	20
XM_027352230.1	14
XM_027352231.1	30
XM_027352232.1	300
XM_027352233.1	9
XM_027352236.1	7
XM_027352237.1	22
XM_027352238.1	14
XM_027352239.1	21
XM_027352241.1	4
XM_027352246.1	7
XM_027352247.1	3
XM_027352249.1	4
XM_027352250.1	13
XM_027352251.1	13
XM_027352252.1	10
XM_027352253.1	14
XM_027352254.1	778
XM_027352255.1	2
XM_027352256.1	5
XM_027352257.1	13
XM_027352258.1	32
XM_027352259.1	25
XM_027352260.1	4
XM_027352261.1	6
XM_027352262.1	10
XM_027352268.1	888
XM_027352271.1	36
XM_027352272.1	44
XM_027352273.1	47
XM_027352274.1	17
XM_027352275.1	7
XM_027352276.1	135
XM_027352277.1	134
XM_027352278.1	6
XM_027352279.1	6
XM_027352281.1	7
XM_027352284.1	8
XM_027352285.1	6
XM_027352286.1	184
XM_027352287.1	169
XM_027352295.1	234
XM_027352296.1	222
XM_027352297.1	223
XM_027352298.1	1
XM_027352299.1	2
XM_027352300.1	122
XM_027352301.1	2
XM_027352302.1	6
XM_027352303.1	4
XM_027352304.1	122
XM_027352305.1	6325
XM_027352306.1	5973
XM_027352307.1	8
XM_027352308.1	100
XM_027352309.1	167
XM_027352311.1	6
XM_027352314.1	2
XM_027352315.1	639
XM_027352316.1	564
XM_027352317.1	522
XM_027352320.1	2
XM_027352322.1	10
XM_027352339.1	2
XM_027352341.1	4
XM_027352342.1	21
XM_027352348.1	4
XM_027352349.1	32
XM_027352350.1	20
XM_027352351.1	34
XM_027352352.1	109
XM_027352353.1	2
XM_027352354.1	10
XM_027352355.1	6
XM_027352358.1	230
XM_027352359.1	67
XM_027352361.1	1032
XM_027352366.1	12
XM_027352367.1	94
XM_027352368.1	46
XM_027352370.1	26
XM_027352371.1	22
XM_027352372.1	37
XM_027352373.1	31
XM_027352374.1	23
XM_027352376.1	59
XM_027352381.1	2
XM_027352382.1	6
XM_027352384.1	193
XM_027352385.1	12
XM_027352392.1	4
XM_027352395.1	22
XM_027352396.1	22
XM_027352397.1	22
XM_027352398.1	16
XM_027352399.1	10
XM_027352400.1	22
XM_027352401.1	4
XM_027352402.1	26
XM_027352403.1	16
XM_027352404.1	11
XM_027352405.1	767
XM_027352406.1	16
XM_027352407.1	18
XM_027352408.1	22
XM_027352409.1	10
XM_027352410.1	17
XM_027352411.1	8
XM_027352412.1	15
XM_027352413.1	12
XM_027352414.1	10
XM_027352415.1	10
XM_027352416.1	10
XM_027352417.1	19
XM_027352418.1	20
XM_027352419.1	16
XM_027352420.1	15
XM_027352421.1	431
XM_027352422.1	14
XM_027352423.1	18
XM_027352424.1	15
XM_027352425.1	25
XM_027352426.1	26
XM_027352427.1	36
XM_027352428.1	5
XM_027352429.1	12
XM_027352430.1	23
XM_027352431.1	13
XM_027352432.1	13
XM_027352433.1	16
XM_027352434.1	14
XM_027352435.1	24
XM_027352436.1	24
