ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356176.1	7.88702035632526	4.70316170633733	11.5045734584417	7.76006113901072e-08	1.4761752666709e-06	8.59816298739505	109	97	464	269	232	5011	5061	8107	8044	12811	1.04237914140314	0.83461007923493	3.97398221334644	1.91205126342054	2.18682189702429	65.7795108201562	513.689764479769	631.568306667991	758.29344337569	605.680505034956	Down_ovary_Up_muscle
XM_027356189.1	-4.87458825652333	-0.450037112954259	-6.49773105129874	2.95279461201372e-05	0.000168195814789204	2.8142760586088	345	473	536	781	359	87	0	0	0	7	3.29927342921178	4.06979966472291	4.59063462576227	5.55134586145516	3.38391836651604	1.14205097612325	0	0	0	0.330947118511021	Up_ovary_Down_muscle
XM_027356191.1	-4.09340705578632	1.72984828568399	-4.48339373685973	0.000748831598502625	0.00220374866909904	-0.401487732788582	1154	1671	2042	3977	2114	463	14	2	0	26	11.0358305429287	14.3776643546553	17.48894758546	28.2685051101244	19.9264719409886	6.07781151660993	1.42099519911416	0.155808142757615	0	1.22923215446951	Up_ovary_Down_muscle
XM_027356198.1	-4.51888733574182	-0.366339891959567	-5.00859742316818	0.000305321712389829	0.00107005483881647	0.551421318133107	486	459	457	503	404	213	0	6	0	0	4.64767213506355	3.9493404780292	3.91402989547268	3.57532262267855	3.80808640688713	2.79605583809485	0	0.467424428272844	0	0	Up_ovary_Down_muscle
XM_027356221.1	-2.44365241183481	0.0114272477539586	-4.74825537227894	0.000474130773698655	0.0015218603155782	0.0989546450524994	291	172	279	481	257	53	4	10	2	4	2.78286541420472	1.47992715080833	2.38952809811133	3.41894668291925	2.42247080834157	0.695732203845197	0.405998628318331	0.779040713788074	0.188536410585701	0.189112639149155	Up_ovary_Down_muscle
XM_027356222.1	-1.62820290038465	-0.480153711560228	-3.32564112478988	0.0060502605793522	0.0124208855552738	-2.37883369233662	155	77	190	196	162	37	3	6	2	10	1.48228226529805	0.662525526815357	1.62727719943066	1.39316746331013	1.52700494533593	0.485699840420232	0.304498971238748	0.467424428272844	0.188536410585701	0.472781597872888	Up_ovary_Down_muscle
XM_027356233.1	-1.8241534264117	2.93074814935538	-5.12438615455773	0.000251793413327874	0.000919365788617479	0.454906338657038	1685	1799	1786	1971	1755	617	33	30	56	45	16.1138426904981	15.4790054901406	15.2964056746482	14.0098626029809	16.5425535744726	8.09937301457521	3.34948868362623	2.33712214136422	5.27901949639963	2.12751719042799	Up_ovary_Down_muscle
XM_027356234.1	-3.79546645543513	-0.4456483865249	-5.67168803213211	0.000103844468085359	0.000450901109669385	1.6007592842579	231	245	388	571	297	39	2	2	4	0	2.20907873086354	2.10803576713977	3.32307133357418	4.05866643648002	2.7995090664492	0.511953885848352	0.202999314159166	0.155808142757615	0.377072821171402	0	Up_ovary_Down_muscle
XM_027356235.1	-4.2841118612976	-1.91793570830394	-6.46450410555057	3.10040069261096e-05	0.000174853751308606	2.76578432678127	98	95	111	280	152	27	0	0	0	0	0.937184916123926	0.817401623992973	0.950672469141067	1.99023923330019	1.43274538080902	0.354429613279628	0	0	0	0	Up_ovary_Down_muscle
XM_027356240.1	4.23708369475132	2.42379011798695	9.43946129744334	6.67947873868905e-07	8.30063781421891e-06	6.45642445685317	82	126	145	266	130	1731	359	331	460	180	0.784175133899612	1.08413268024331	1.24186944167076	1.89072727163518	1.22537433884982	22.7228763180384	36.4383768915702	25.7862476263852	43.3633744347113	8.51006876171198	Down_ovary_Up_muscle
XM_027356248.1	-3.06350159141995	-2.02519809844819	-5.39130838085336	0.000162614317500948	0.000647952756386942	1.18378194501528	63	64	103	87	106	16	0	0	0	4	0.602476017508238	0.550670567742634	0.882155534428197	0.618395761775415	0.999151383985237	0.210032363424965	0	0	0	0.189112639149155	Up_ovary_Down_muscle
XM_027356253.1	-4.58996660806983	-1.40554217746997	-4.31616021703337	0.00100393505416619	0.00279604460476233	-0.594857708767765	53	463	260	227	316	92	0	0	0	0	0.506844903618042	3.98375738851312	2.22680037816827	1.61351537842551	2.97860223905033	1.20768608969355	0	0	0	0	Up_ovary_Down_muscle
XM_027356257.1	-2.39653360257143	0.254511152959089	-3.374419470107	0.00552824116420873	0.0115373047118695	-2.32154478436694	235	356	321	585	391	176	4	7	0	14	2.24733117641962	3.0631050330684	2.7492420053539	4.15817839814503	3.68554897300215	2.31035599767462	0.405998628318331	0.545328499651652	0	0.661894237022043	Up_ovary_Down_muscle
XM_027356260.1	3.82523570668367	-0.14115516679031	3.24323886428917	0.0070481087617379	0.0141709113424853	-2.57644234927555	32	4	17	55	31	35	79	158	81	105	0.306019564448629	0.0344169104839146	0.145598486264848	0.390939849398251	0.292204650033418	0.459445794992111	8.01847290928704	12.3088432778516	7.6357246287209	4.96420677766532	Down_ovary_Up_muscle
XM_027356261.1	1.78617223982173	9.11770467111972	4.2922421112104	0.00104721686388007	0.00289112315796461	-1.23081726777885	57384	33914	51631	25759	20101	54878	15348	20043	14300	10201	548.769583947504	291.80377553787	442.199732020022	183.094901466355	189.47115065554	720.384752502202	1557.81673685744	1561.43130264544	1348.03533568776	482.284507990133	Down_ovary_Up_muscle
XM_027356276.1	4.28650080892135	-0.120729241480186	4.7028345314554	0.000512451295517524	0.00162361823289219	0.00296091595182979	23	4	18	54	30	77	107	109	66	100	0.219951561947452	0.0344169104839146	0.154163103103957	0.383831852136464	0.282778693580727	1.01078074898264	10.8604633075154	8.49154378029	6.22170154932814	4.72781597872888	Down_ovary_Up_muscle
XM_027356283.1	3.61167707245361	-0.0482673187323795	4.2149950344427	0.00120071596542133	0.00324432184795983	-0.85293683351134	21	10	20	67	37	63	74	122	67	71	0.200825339169413	0.0860422762097866	0.171292336782174	0.476235816539687	0.348760388749564	0.8270024309858	7.51097462388913	9.5042967082145	6.31596975462099	3.3567493448975	Down_ovary_Up_muscle
