ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	Expression
XM_027366442.1	2.55541401214154	1.04790597762359	3.84905053669822e-06	1.12585827927148e-05	7	0	1	21	15	25	338	133	131	406	532	439	0.595542573374491	0	0.0908438201987283	0.794265263981224	0.735063743525688	1.11410494295972	4.49041083470748	3.17262891779595	2.91688840754605	2.9366597454023	3.37032885566566	3.51059976542864	Down_muscle_Up_hemocytes
XM_027366454.1	2.47144520695954	0.742808693264555	3.96076805568548e-06	1.15563038779314e-05	7	5	0	17	5	22	337	94	169	281	293	236	0.595542573374491	0.35750247731683	0	0.642976642270515	0.245021247841896	0.980412349804556	4.47712559555154	2.24230915994601	3.76300870897162	2.03251573511834	1.85621495246248	1.88724725430788	Down_muscle_Up_hemocytes
XM_027366461.1	-12.3558672308291	4.86497448717496	5.24819529815947e-47	2.65459111583189e-45	599	1208	621	2954	456	501	3	0	0	2	0	0	50.96142877876	86.3725985197461	56.4140123434103	111.726647133359	22.3459378031809	22.3266630569128	0.0398557174678179	0	0	0.0144663041645433	0	0	Up_muscle_Down_hemocytes
XM_027366462.1	-12.0415261692263	4.7359829049238	1.69892164425843e-49	1.01121396658489e-47	554	1102	567	2622	463	470	2	0	0	0	0	4	47.1329408070669	78.7935460006293	51.5084460526789	99.16969153137	22.6889675501596	20.9451729276428	0.0265704783118786	0	0	0	0	0.0319872415984386	Up_muscle_Down_hemocytes
XM_027366468.1	7.44386267081824	4.10560814336525	1.19909277151253e-18	1.03891605938022e-17	0	0	10	2	2	4	3757	1069	2811	3047	3428	2788	0	0	0.908438201987283	0.0756443108553547	0.0980084991367585	0.178256790873556	49.9126435088639	25.5003031061946	62.5906359817705	22.0394143946818	21.7170814233494	22.2951073941117	Down_muscle_Up_hemocytes
XM_027366469.1	8.7821574489478	2.77983521185488	3.2280808141838e-40	1.12560627191036e-38	0	0	1	0	0	2	746	227	611	2453	2807	2048	0	0	0.0908438201987283	0	0	0.0891283954367778	9.91078841033071	5.41493807774197	13.6047237939743	17.7429220578124	17.7829193568675	16.3774676984006	Down_muscle_Up_hemocytes
XM_027366473.1	-3.72094547990079	3.5457650656398	1.50380909015775e-13	9.09463370829332e-13	174	230	162	555	683	675	32	44	31	367	402	308	14.8034868238802	16.4451139565742	14.716698872194	20.9912962623609	33.469902455203	30.0808334599125	0.425127652990057	1.04959152167686	0.690256035373492	2.6545668141937	2.54675225559698	2.46301760307977	Up_muscle_Down_hemocytes
XM_027366475.1	-3.74887049225103	3.52398693991636	8.9392524008403e-10	3.82082875663171e-09	156	189	137	625	666	744	47	32	9	324	427	359	13.2720916352029	13.5135936425762	12.4456033672258	23.6388471422983	32.6368302125406	33.1557631024814	0.624406240329146	0.76333928849226	0.20039691349553	2.34354127465602	2.70513237099481	2.87085493345986	Up_muscle_Down_hemocytes
XM_027366478.1	8.23689810636621	3.7509449512747	6.0706885723598e-31	1.23704779714154e-29	2	0	0	0	7	0	2154	739	1576	3647	4040	3300	0.17015502096414	0	0	0	0.343029746978655	0	28.6164051418932	17.6283666936181	35.0917261854395	26.3793056440448	25.5942266482881	26.3894743187118	Down_muscle_Up_hemocytes
XM_027366501.1	1.85136486069783	0.80990757121181	0.00227808585001911	0.00447469909788097	0	9	4	20	11	44	340	151	140	191	237	218	0	0.643504459170294	0.363375280794913	0.756443108553547	0.539046745252172	1.96082469960911	4.51698131301936	3.60200726757285	3.11728532104158	1.38153204771389	1.50144349397136	1.7433046671149	Down_muscle_Up_hemocytes
XM_027366513.1	-8.65157801899055	1.97200353487818	7.13806579191935e-45	3.19391006780391e-43	144	77	100	88	205	167	0	0	0	2	4	5	12.2511615094181	5.50553815067918	9.08438201987283	3.32834967763561	10.0458711615177	7.44222101897095	0	0	0	0.0144663041645433	0.0253408184636516	0.0399840519980482	Up_muscle_Down_hemocytes
XM_027366514.1	-8.98544163372881	1.92042898268782	2.16794482916923e-48	1.17555889741011e-46	154	87	73	102	184	161	0	0	0	3	3	2	13.1019366142388	6.22054310531284	6.63159887450716	3.85785985362309	9.01678192058178	7.17483583266062	0	0	0	0.021699456246815	0.0190056138477387	0.0159936207992193	Up_muscle_Down_hemocytes
XM_027366515.1	-10.2902529878719	1.78030580685413	2.10210597150465e-47	1.08034739427088e-45	108	87	82	85	205	128	0	0	0	1	0	1	9.18837113206358	6.22054310531284	7.44919325629572	3.21488321135257	10.0458711615177	5.70421730795378	0	0	0	0.00723315208227167	0	0.00799681039960965	Up_muscle_Down_hemocytes
XM_027366516.1	-8.61636315615858	2.08868564295045	1.9148336548949e-48	1.05167923955751e-46	149	99	76	95	231	223	1	1	0	2	6	2	12.6765490618285	7.07854905087323	6.90413033510335	3.59310476562935	11.3199816502956	9.93781609120073	0.0132852391559393	0.0238543527653831	0	0.0144663041645433	0.0380112276954774	0.0159936207992193	Up_muscle_Down_hemocytes
XM_027366517.1	-7.38249626841097	2.19348072619351	7.17146801384695e-41	2.5998095233201e-39	159	106	117	118	259	142	2	2	5	13	6	2	13.5273241666492	7.57905251911679	10.6287269632512	4.46301434046593	12.6921006382102	6.32811607601123	0.0265704783118786	0.0477087055307662	0.111331618608628	0.0940309770695317	0.0380112276954774	0.0159936207992193	Up_muscle_Down_hemocytes
XM_027366518.1	-10.1771980321274	3.67282183089337	2.77096809278033e-41	1.03081624079389e-39	487	383	401	218	505	349	0	0	0	10	2	1	41.4327476047682	27.3846897624692	36.42837189969	8.24522988323366	24.7471460320315	15.5529050037177	0	0	0	0.0723315208227167	0.0126704092318258	0.00799681039960965	Up_muscle_Down_hemocytes
XM_027366521.1	2.21939481803337	2.68885385956213	1.87548795329268e-10	8.60545691584309e-10	22	40	22	64	72	18	754	303	613	1472	1689	1330	1.87170523060554	2.86001981853464	1.99856404437202	2.42061794737135	3.5283059689233	0.802155558931001	10.0170703235782	7.22786888791108	13.6492564414178	10.6471998651039	10.7001605962769	10.6357578314808	Down_muscle_Up_hemocytes
XM_027366522.1	1.6907005454762	2.39376672377181	3.70140594195234e-10	1.64297231492071e-09	35	23	34	68	47	49	428	352	329	1227	1367	1058	2.97771286687246	1.64451139565742	3.08868988675676	2.57190656908206	2.30319972971382	2.18364568820106	5.68608235874201	8.39673217341486	7.3256205044477	8.87507760494734	8.66022470995293	8.46062540278701	Down_muscle_Up_hemocytes
XM_027366523.1	1.83481384055018	2.03584482040745	3.94334051104696e-11	1.92459681616582e-10	27	22	25	43	27	36	346	288	320	877	946	838	2.29709278301589	1.57301090019405	2.27109550496821	1.62635268339013	1.32311473834624	1.604311117862	4.59669274795499	6.87005359643034	7.12522359095217	6.34347437615225	5.9931035666536	6.70132711487289	Down_muscle_Up_hemocytes
XM_027366524.1	1.93181212616414	2.227951817911	2.59137691645771e-10	1.16973017283631e-09	32	14	30	50	30	40	465	269	316	1191	1245	945	2.72248033542625	1.00100693648712	2.72531460596185	1.89110777138387	1.47012748705138	1.78256790873556	6.17763620751177	6.41682089388806	7.03615829606527	8.61468412998556	7.88732974681155	7.55698582763112	Down_muscle_Up_hemocytes
