ID	FDR
XM_027352843.1	7.29716311198141e-61
XM_027359754.1	1.0848306392101e-60
XM_027368839.1	1.17153460872956e-60
XM_027376677.1	1.50185125432611e-60
XM_027356948.1	2.21437977439462e-60
XM_027376144.1	2.88906499983905e-60
XM_027372202.1	3.23810158117183e-60
XM_027360238.1	3.58986664055235e-60
XM_027374700.1	3.58986664055235e-60
XM_027375388.1	3.74736306578764e-60
XM_027351358.1	3.84525328522468e-60
XM_027357695.1	4.10661911176467e-60
XM_027353471.1	5.6168271105442e-60
XM_027360743.1	8.83690314130596e-60
XM_027363774.1	1.02836540676255e-59
XM_027353713.1	1.19962913475671e-59
XM_027364268.1	1.55338911152764e-59
XM_027375343.1	2.31428542673395e-59
XM_027377051.1	2.50957132616648e-59
XM_027380802.1	3.31003075893209e-59
XM_027382188.1	3.31003075893209e-59
XM_027375190.1	7.7803551310803e-59
XM_027359213.1	8.5179895300345e-59
XM_027358621.1	1.1983161361917e-58
XM_027364912.1	1.52050344552242e-58
XM_027351601.1	2.03669580824826e-58
XM_027382407.1	2.07912373565938e-58
XM_027373827.1	2.43524994017387e-58
XM_027372900.1	2.43531811306426e-58
XM_027377991.1	2.61546020149565e-58
XM_027378289.1	3.55579413864642e-58
XM_027366577.1	3.75917899898806e-58
XM_027374536.1	4.83255773487962e-58
XM_027360508.1	5.22616212360712e-58
XM_027372496.1	5.72007769497285e-58
XM_027367879.1	6.74101668750439e-58
XM_027371251.1	6.80724095254256e-58
XM_027380495.1	9.50686836851915e-58
XM_027382408.1	1.08514493233218e-57
XM_027376661.1	1.23141214794392e-57
XM_027368092.1	1.26340867424079e-57
XM_027382409.1	1.29346191762641e-57
XM_027381066.1	1.7607195275899e-57
XM_027372167.1	2.0519184863933e-57
XM_027360894.1	2.11431931548612e-57
XM_027374535.1	2.29144960089864e-57
XM_027375919.1	2.40711040391622e-57
XM_027352590.1	3.09218317933013e-57
XM_027374373.1	3.32115792214118e-57
XM_027355619.1	3.76514551912221e-57
XM_027350712.1	5.33562001997893e-57
