NOISeq	limma	DESeq2	edgeR
0.948932926829268	0.894878706199461	0.888809566303766	0.886752136752137
0.00038109756097561	0.000359389038634322	0.000356951633053721	0
0.00971798780487805	0.0091644204851752	0	0.00908119658119658
0.00209603658536585	0.00197663971248877	0	0
0.0304878048780488	0	0.0285561306442977	0.0284900284900285
0.000190548780487805	0	0.000178475816526861	0
0.00438262195121951	0	0	0.0040954415954416
0.0038109756097561	0	0	0
0	0.044743935309973	0.0444404783151883	0.0443376068376068
0	0.00161725067385445	0.00160628234874175	0
0	0.00305480682839173	0	0.00302706552706553
0	0.0442048517520216	0	0
0	0	0.0233803319650187	0.0233262108262108
0	0	0.0126717829734071	0
0	0	0	0.00089031339031339
