ID	hemocytes_mean	hemocytes_wssv_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_wssv_1	hemocytes_wssv_2	hemocytes_wssv_3	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized	Expression
XM_027350688.1	968.81514362463	287.459570773623	1.35015759008461	0.998851980096705	1.75286235097165	0.00114801990329472	-1.75286235097165	801	735	463	417	252	615	782.90670153382	1358.41455412391	765.124175216161	298.898253217497	208.759762035651	354.720697067721	Up_hemocytes_Down_hemocytes_wssv
XM_027350689.1	976.424288483316	256.552969142555	1.53079653506928	0.999997441851009	1.92825146025468	2.55814899119411e-06	-1.92825146025468	827	688	514	458	216	455	808.319403456266	1271.54994998265	849.403512011029	328.286330871975	178.936938887701	262.435637667988	Up_hemocytes_Down_hemocytes_wssv
XM_027350694.1	237.178220746164	74.2342211650594	1.10143982606085	0.996335122564012	1.67581522632687	0.0036648774359882	-1.67581522632687	229	170	105	99	85	141	223.827259240006	314.191121361993	173.516281636494	70.9614557998374	70.4149990993268	81.326208596014	Up_hemocytes_Down_hemocytes_wssv
XM_027350703.1	92659.7867764769	18798.7171720793	2.22727493648942	1	2.30130914703912	0	-2.30130914703912	40878	50578	87470	21145	28700	30279	39954.6318917597	93477.4031543934	144547.325283278	15156.3634635107	23775.4173429492	17464.3707097781	Up_hemocytes_Down_hemocytes_wssv
XM_027350704.1	51933.5987033078	12105.9691864407	2.03809970311674	0.998525909117088	2.10094961541301	0.00147409088291173	-2.10094961541301	22934	28036	49360	13000	19683	18541	22415.9579188222	51815.6604617931	81569.1777293082	9318.17096361501	16305.6285561418	10694.1080395652	Up_hemocytes_Down_hemocytes_wssv
XM_027350705.1	44469.3970836962	10444.0196003147	2.02352633650844	0.999639277121527	2.09013577448067	0.00036072287847333	-2.09013577448067	19988	23610	42502	11338	16974	15853	19536.5033086866	43635.6022079803	70236.0857344217	8126.87864503592	14061.4611142585	9143.71904164972	Up_hemocytes_Down_hemocytes_wssv
XM_027350768.1	515.355810446961	144.355289628743	1.24732587690563	0.998078021658412	1.83594486418594	0.00192197834158758	-1.83594486418594	402	370	284	267	133	228	392.919468185513	683.827734729043	469.320228426327	191.380895945016	110.178763296594	131.506209644618	Up_hemocytes_Down_hemocytes_wssv
XM_027350769.1	1395.93153213259	424.2988677347	1.53910443536793	0.999999607567556	1.71807544791771	3.92432444096258e-07	-1.71807544791771	912	927	958	530	608	675	891.399390510416	1713.26570295628	1583.12950293106	379.894662362766	503.674346498714	389.32759434262	Up_hemocytes_Down_hemocytes_wssv
XM_027350771.1	1381.27965380881	383.228820678189	1.60487562147893	1	1.84972746915614	0	-1.84972746915614	842	900	1003	588	462	599	822.980577642292	1663.36476015173	1657.49362363242	421.468040508125	382.726230398694	345.492191127748	Up_hemocytes_Down_hemocytes_wssv
XM_027350773.1	404.649171752229	95.4668930460143	1.19700531993484	0.99918366245117	2.08359922958961	0.000816337548829926	-2.08359922958961	304	353	160	111	116	192	297.133130170139	652.408622592844	264.405762493706	79.5628443816358	96.0957634767284	110.742071279679	Up_hemocytes_Down_hemocytes_wssv
