limma	DESeq2	edgeR	NOISeq
0.958451369216242	0.808764940239044	0.805875347360063	0.762584522915101
0.00519357884796978	0.00438247011952191	0.00436681222707424	0
0.0028328611898017	0.00239043824701195	0	0.00225394440270473
0.00424929178470255	0.00358565737051793	0	0
0.0056657223796034	0	0.00476379515680826	0.00450788880540947
0	0	0	0
0.00613786591123702	0	0	0.00488354620586026
0.0174693106704438	0	0	0
0	0.167330677290837	0.166732830488289	0.157776108189331
0	0.000398406374501992	0.000396982929734021	0
0	0.00916334661354582	0	0.00864012021036814
0	0.00398406374501992	0	0
0	0	0.017864231838031	0.0169045830202855
0	0	0	0
0	0	0	0.0424492862509391
