ID	limma	DESeq2	edgeR	NOISeq
XM_027353966.1	1	1	1	1
XM_027353979.1	1	1	1	1
XM_027353980.1	1	1	1	1
XM_027354032.1	1	1	1	1
XM_027354044.1	1	1	1	1
XM_027354120.1	1	1	1	1
XM_027354132.1	1	1	1	1
XM_027354154.1	1	1	1	1
XM_027354156.1	1	1	1	1
XM_027354175.1	1	1	1	1
XM_027354177.1	1	1	1	1
XM_027354209.1	1	1	1	1
XM_027354211.1	1	1	1	1
XM_027354218.1	1	1	1	1
XM_027354223.1	1	1	1	1
XM_027354226.1	1	1	1	1
XM_027354232.1	1	1	1	1
XM_027354233.1	1	1	1	1
XM_027354234.1	1	1	1	1
XM_027354235.1	1	1	1	1
XM_027354238.1	1	1	1	1
XM_027354286.1	1	1	1	1
XM_027354332.1	1	1	1	1
XM_027354334.1	1	1	1	1
XM_027354347.1	1	1	1	1
XM_027354357.1	1	1	1	1
XM_027354359.1	1	1	1	1
XM_027354398.1	1	1	1	1
XM_027354424.1	1	1	1	1
XM_027354430.1	1	1	1	1
XM_027354434.1	1	1	1	1
XM_027354435.1	1	1	1	1
XM_027354436.1	1	1	1	1
XM_027354437.1	1	1	1	1
XM_027354449.1	1	1	1	1
XM_027354455.1	1	1	1	1
XM_027354461.1	1	1	1	1
XM_027354462.1	1	1	1	1
XM_027354502.1	1	1	1	1
XM_027354580.1	1	1	1	1
XM_027354582.1	1	1	1	1
XM_027354610.1	1	1	1	1
XM_027354615.1	1	1	1	1
XM_027354616.1	1	1	1	1
XM_027354623.1	1	1	1	1
XM_027354624.1	1	1	1	1
XM_027354631.1	1	1	1	1
XM_027354644.1	1	1	1	1
XM_027354647.1	1	1	1	1
XM_027354654.1	1	1	1	1
XM_027354672.1	1	1	1	1
XM_027354699.1	1	1	1	1
XM_027354704.1	1	1	1	1
XM_027354714.1	1	1	1	1
XM_027354742.1	1	1	1	1
XM_027354778.1	1	1	1	1
XM_027354803.1	1	1	1	1
XM_027354804.1	1	1	1	1
XM_027354815.1	1	1	1	1
XM_027354816.1	1	1	1	1
XM_027354846.1	1	1	1	1
XM_027354944.1	1	1	1	1
XM_027354946.1	1	1	1	1
XM_027354956.1	1	1	1	1
XM_027354965.1	1	1	1	1
XM_027354985.1	1	1	1	1
XM_027355073.1	1	1	1	1
XM_027355094.1	1	1	1	1
XM_027355155.1	1	1	1	1
XM_027355163.1	1	1	1	1
XM_027355171.1	1	1	1	1
XM_027355172.1	1	1	1	1
XM_027355173.1	1	1	1	1
XM_027355188.1	1	1	1	1
XM_027355236.1	1	1	1	1
XM_027355249.1	1	1	1	1
XM_027355252.1	1	1	1	1
XM_027355253.1	1	1	1	1
XM_027355298.1	1	1	1	1
XM_027355305.1	1	1	1	1
XM_027355316.1	1	1	1	1
XM_027355320.1	1	1	1	1
XM_027355343.1	1	1	1	1
XM_027355345.1	1	1	1	1
XM_027355346.1	1	1	1	1
XM_027355349.1	1	1	1	1
XM_027355350.1	1	1	1	1
XM_027355420.1	1	1	1	1
XM_027355431.1	1	1	1	1
XM_027355437.1	1	1	1	1
XM_027355469.1	1	1	1	1
XM_027355582.1	1	1	1	1
XM_027355601.1	1	1	1	1
XM_027355625.1	1	1	1	1
XM_027355634.1	1	1	1	1
XM_027355690.1	1	1	1	1
XM_027355713.1	1	1	1	1
XM_027355748.1	1	1	1	1
XM_027355749.1	1	1	1	1
XM_027355750.1	1	1	1	1
XM_027355751.1	1	1	1	1
XM_027355753.1	1	1	1	1
XM_027355771.1	1	1	1	1
XM_027355794.1	1	1	1	1
XM_027355833.1	1	1	1	1
XM_027355842.1	1	1	1	1
XM_027355849.1	1	1	1	1
XM_027355850.1	1	1	1	1
XM_027355851.1	1	1	1	1
XM_027355855.1	1	1	1	1
XM_027355861.1	1	1	1	1
XM_027355879.1	1	1	1	1
XM_027355928.1	1	1	1	1
XM_027355967.1	1	1	1	1
XM_027355968.1	1	1	1	1
XM_027356014.1	1	1	1	1
XM_027356044.1	1	1	1	1
XM_027356086.1	1	1	1	1
XM_027356087.1	1	1	1	1
XM_027356088.1	1	1	1	1
XM_027356089.1	1	1	1	1
XM_027356104.1	1	1	1	1
XM_027356112.1	1	1	1	1
XM_027356139.1	1	1	1	1
XM_027356165.1	1	1	1	1
XM_027356200.1	1	1	1	1
XM_027356201.1	1	1	1	1
XM_027356215.1	1	1	1	1
XM_027356223.1	1	1	1	1
XM_027356228.1	1	1	1	1
XM_027356250.1	1	1	1	1
XM_027356275.1	1	1	1	1
XM_027356293.1	1	1	1	1
XM_027356296.1	1	1	1	1
XM_027356336.1	1	1	1	1
XM_027356384.1	1	1	1	1
XM_027356446.1	1	1	1	1
XM_027356467.1	1	1	1	1
XM_027356469.1	1	1	1	1
XM_027356471.1	1	1	1	1
XM_027356492.1	1	1	1	1
XM_027356497.1	1	1	1	1
XM_027356509.1	1	1	1	1
XM_027356526.1	1	1	1	1
XM_027356582.1	1	1	1	1
XM_027356583.1	1	1	1	1
XM_027356584.1	1	1	1	1
XM_027356585.1	1	1	1	1
XM_027356588.1	1	1	1	1
XM_027356596.1	1	1	1	1
XM_027356673.1	1	1	1	1
XM_027356697.1	1	1	1	1
XM_027356709.1	1	1	1	1
XM_027356718.1	1	1	1	1
XM_027356719.1	1	1	1	1
XM_027356755.1	1	1	1	1
XM_027356780.1	1	1	1	1
XM_027356799.1	1	1	1	1
XM_027356800.1	1	1	1	1
XM_027356810.1	1	1	1	1
XM_027356811.1	1	1	1	1
XM_027356832.1	1	1	1	1
XM_027356839.1	1	1	1	1
XM_027356878.1	1	1	1	1
XM_027356905.1	1	1	1	1
XM_027356950.1	1	1	1	1
XM_027356973.1	1	1	1	1
XM_027356979.1	1	1	1	1
XM_027357050.1	1	1	1	1
XM_027357060.1	1	1	1	1
XM_027357068.1	1	1	1	1
XM_027357074.1	1	1	1	1
XM_027357077.1	1	1	1	1
XM_027357079.1	1	1	1	1
XM_027357102.1	1	1	1	1
XM_027357138.1	1	1	1	1
XM_027357178.1	1	1	1	1
XM_027357189.1	1	1	1	1
XM_027357196.1	1	1	1	1
XM_027357247.1	1	1	1	1
XM_027357248.1	1	1	1	1
XM_027357254.1	1	1	1	1
XM_027357259.1	1	1	1	1
XM_027357260.1	1	1	1	1
XM_027357326.1	1	1	1	1
XM_027357327.1	1	1	1	1
XM_027357331.1	1	1	1	1
XM_027357339.1	1	1	1	1
XM_027357385.1	1	1	1	1
XM_027357401.1	1	1	1	1
XM_027357402.1	1	1	1	1
XM_027357414.1	1	1	1	1
XM_027357423.1	1	1	1	1
XM_027357424.1	1	1	1	1
XM_027357430.1	1	1	1	1
XM_027357432.1	1	1	1	1
XM_027357477.1	1	1	1	1
XM_027357480.1	1	1	1	1
XM_027357542.1	1	1	1	1
XM_027357590.1	1	1	1	1
XM_027357598.1	1	1	1	1
XM_027357599.1	1	1	1	1
XM_027357613.1	1	1	1	1
XM_027357643.1	1	1	1	1
XM_027357670.1	1	1	1	1
XM_027357704.1	1	1	1	1
XM_027357730.1	1	1	1	1
XM_027357737.1	1	1	1	1
XM_027357762.1	1	1	1	1
XM_027357817.1	1	1	1	1
XM_027357867.1	1	1	1	1
XM_027357868.1	1	1	1	1
XM_027357878.1	1	1	1	1
XM_027357932.1	1	1	1	1
XM_027357934.1	1	1	1	1
XM_027357955.1	1	1	1	1
XM_027357961.1	1	1	1	1
XM_027357990.1	1	1	1	1
XM_027358068.1	1	1	1	1
XM_027358118.1	1	1	1	1
XM_027358143.1	1	1	1	1
XM_027358172.1	1	1	1	1
XM_027358217.1	1	1	1	1
XM_027358241.1	1	1	1	1
