ID	padj
XM_027356798.1	0
XM_027356801.1	0
XM_027356802.1	0
XM_027356797.1	4.2472233258109e-253
XM_027365860.1	2.09208996748453e-234
XM_027353008.1	1.36218447316162e-216
XM_027354936.1	6.57156895157962e-205
XM_027356799.1	2.43431775514267e-191
XM_027358642.1	2.84377067722611e-191
XM_027356800.1	4.20431164037642e-188
XM_027355187.1	2.33151611701679e-180
XM_027354939.1	1.9180923046406e-178
XM_027373336.1	1.037605796333e-174
XR_003476719.1	3.19950451554515e-173
XM_027373337.1	4.00374278785199e-172
XM_027372676.1	6.80194078380343e-168
XR_003476216.1	3.19425215845637e-166
XM_027363228.1	3.38902012383369e-165
XM_027354938.1	1.29913377620316e-161
XM_027354940.1	3.95409489741791e-161
XM_027363208.1	2.65469922723724e-157
XR_003477591.1	1.04243963137524e-156
XM_027363873.1	3.61118145633806e-155
XM_027354937.1	7.18080698238468e-155
XM_027363210.1	3.9356145516118e-151
XM_027363226.1	5.83473736424529e-151
XM_027363007.1	6.60212160863811e-150
XM_027368571.1	3.92530551125621e-142
XM_027365861.1	1.18897649705195e-140
XM_027381155.1	2.06807261141654e-140
XM_027356467.1	1.35037592077899e-139
XM_027368572.1	1.06652310806584e-131
XM_027371198.1	1.61080047788536e-126
XM_027350813.1	2.28894763382282e-123
XM_027367238.1	2.59212324888599e-123
XM_027371195.1	7.43334174307307e-123
XM_027357537.1	1.17432532405181e-121
XM_027363213.1	5.08254802204637e-121
XM_027363232.1	2.05689670516813e-119
XM_027371994.1	3.09053878080465e-118
XR_003476718.1	7.26647729795688e-118
XM_027381154.1	9.40759910522671e-118
XM_027363219.1	2.9625941434921e-117
XM_027365884.1	4.35496269392221e-117
XR_003476140.1	4.8645572983784e-116
XR_003476212.1	1.3886261189758e-115
XM_027373343.1	1.66074293129505e-115
XM_027363216.1	4.01089353339841e-114
XM_027367236.1	4.48028327254876e-114
XM_027362049.1	4.44116367516658e-112
XR_003477590.1	6.52353803933398e-112
XM_027381156.1	1.41332977903796e-111
XM_027382986.1	1.25674047724458e-109
XM_027373331.1	4.17926677267485e-109
XM_027366660.1	1.24705384578743e-108
XM_027373338.1	1.83698654181457e-108
XM_027361534.1	2.21711467301877e-108
XR_003475609.1	2.7157324514582e-108
XM_027362996.1	2.9717018631212e-108
XM_027377953.1	6.24177303216705e-108
XM_027363209.1	8.18496046654881e-108
XM_027358886.1	1.66127980960926e-107
XM_027363230.1	1.03574141966599e-106
XR_003477589.1	1.15192521792267e-106
XM_027371767.1	2.82491524032335e-106
XM_027370793.1	4.24037579046885e-106
XM_027350644.1	1.85412058917023e-105
XM_027368503.1	2.83596695731212e-105
XM_027373332.1	4.72875400851073e-105
XM_027373316.1	5.84626936712657e-105
XM_027363252.1	7.23483609703128e-105
XM_027365885.1	1.26654839842449e-104
XM_027363224.1	2.89822538923708e-104
XM_027373333.1	4.47839176011031e-104
XM_027356793.1	6.83915581628851e-104
XM_027381668.1	1.42336788160108e-103
XM_027373314.1	4.17053749212888e-103
XM_027363211.1	2.07477148186234e-102
XM_027373312.1	5.85053149612508e-102
XM_027373339.1	1.00289814146035e-101
XR_003476717.1	2.15253493594214e-101
XM_027361448.1	9.63322949068964e-101
XM_027381854.1	2.5805078421493e-100
XM_027373334.1	5.39580295463761e-100
XM_027374827.1	5.49871839466281e-100
XR_003477592.1	6.27478508368565e-100
XM_027368558.1	9.82708496231075e-100
XM_027373315.1	2.34817338869825e-99
XM_027373341.1	4.21504270935827e-99
XM_027350645.1	4.43354186803745e-99
XM_027376029.1	5.02684846976978e-99
XM_027373317.1	8.6332120080326e-99
XM_027373335.1	6.77452561163234e-98
XM_027368553.1	7.99385257543352e-98
XM_027363225.1	3.06652800294823e-97
XM_027371768.1	2.66144117030851e-96
XM_027368554.1	5.01467283914698e-96
XM_027360043.1	2.76242430309371e-95
XM_027361441.1	7.14908117231396e-95
XM_027362345.1	1.22565075838833e-94
XM_027373345.1	2.02916528169851e-94
