ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gills_1	gills_2	gills_3	gills_4	gills_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356802.1	11.4539993575686	6.43030492660336	41.1247179918768	3.72850765324377e-15	6.3123634569417e-11	21.0273496363623	384	214	237	242	220	277291	36319	44668	43915	77299	1.59514642574342	1.44278411784794	1.39824850446261	1.65038000709828	2.19334689202822	4864.45052871235	4498.33008804986	4211.06104076538	5026.11313244862	4176.04140877968	Down_gills_Up_muscle
XM_027356797.1	10.3829804886292	6.61358627786071	33.243104541687	5.78557937241084e-14	2.74778409445021e-10	19.9498241370794	404	336	527	467	382	234492	23528	31943	38270	65796	1.67822696875089	2.26530590465845	3.10918549304554	3.18482422857396	3.808447785249	4113.63777900767	2914.08657484063	3011.41584188163	4380.03756299235	3554.59734966905	Down_gills_Up_muscle
XM_027356798.1	10.3845755618361	6.60644005605571	34.674024229083	3.36390434404782e-14	2.74778409445021e-10	20.2514083777346	426	350	508	466	349	234072	23680	32002	37732	65367	1.76961556605911	2.35969365068589	2.99708962137976	3.17800447647851	3.47944575144477	4106.26981819373	2932.91270368184	3016.97804751889	4318.46295601848	3531.42083038204	Down_gills_Up_muscle
XM_027356799.1	11.7610223840431	7.61483102126292	32.6140726839449	7.39656063708292e-14	2.74778409445021e-10	19.8451953465777	652	464	535	427	551	422398	127708	155205	144433	127184	2.70842570204352	3.12827958262358	3.15638375479955	2.91203414475606	5.49333698867068	7410.02836163828	15817.4161977111	14631.9004395091	16530.4929536366	6871.05461305107	Down_gills_Up_muscle
XM_027356801.1	11.0359771904984	6.30088032201185	32.3796919741426	8.11513317912052e-14	2.74778409445021e-10	19.539537258153	345	150	306	265	337	234762	23842	32236	38528	65691	1.43313936687886	1.01129727886538	1.80533351209096	1.80723430529357	3.35980864824323	4118.37432524521	2952.97739363101	3039.0383207243	4409.56590611364	3548.92477501838	Down_gills_Up_muscle
XM_027365850.1	17.069015060538	0.819497209267101	30.5865315175641	1.68701110206829e-13	4.76018299300269e-10	16.2430341114003	3	0	0	0	0	20826	5610	7666	6998	15017	0.0124620814511205	0	0	0	0	365.345599788538	694.832781573273	722.709634156609	800.927694429591	811.286224086269	Down_gills_Up_muscle
XM_027356800.1	10.4859112344558	7.7017173252252	29.5990602007867	2.57030649693944e-13	5.66511252559949e-10	19.1940108062383	836	931	920	639	1016	350976	78920	96260	91604	94375	3.47276669771224	6.27678511082447	5.42780010171138	4.35782158899092	10.1292747377303	6157.08908246336	9774.72426412882	9074.87990919843	10484.164121253	5098.56412053949	Down_gills_Up_muscle
XM_027367149.1	13.5402017268131	5.20540356237463	29.2355859004903	3.0115778340458e-13	5.66511252559949e-10	17.2860672166321	87	147	34	19	46	237274	29251	43178	36732	73932	0.361400362082494	0.991071333288074	0.200592612454551	0.129575289813501	0.4586088956059	4162.44174801813	3622.91509693401	4070.5917797566	4204.01201368787	3994.14084831498	Down_gills_Up_muscle
XM_027368450.1	13.7674266950285	-1.38216585280292	29.2711060629095	2.96505818414547e-13	5.66511252559949e-10	15.9434121143484	0	0	0	0	0	1860	371	663	402	841	0	0	0	0	0	32.6295407474638	45.9506171058261	62.5041074153185	46.0092788169042	45.4346217258142	Down_gills_Up_muscle
XM_027373337.1	11.949803748861	7.73231417791959	28.6187399997478	3.95816985117712e-13	6.70118155804286e-10	18.8041989497964	583	829	652	288	452	335687	148772	200395	154664	208199	2.42179782866775	5.58910296119601	3.84665833295198	1.96408860348886	4.50633088725798	5888.87776607197	18426.321315547	18892.1728589634	17701.4405446211	11247.8511399439	Down_gills_Up_muscle
XM_027355456.1	12.8880251166914	5.11309558036397	28.0138204675622	5.20399746981495e-13	7.66664902958197e-10	17.2044318551408	79	65	196	21	39	156848	23174	34199	23486	68304	0.328168144879506	0.438228820841665	1.15635741297329	0.143214794004396	0.388820585405003	2751.54742320333	2870.24151161836	3224.09950150298	2687.99483157665	3690.09084703925	Down_gills_Up_muscle
XM_027370790.1	12.3769261917302	5.37845771333533	27.9193062688726	5.4341280776718e-13	7.66664902958197e-10	17.5940797762135	126	123	148	28	84	132749	25935	41903	33027	40960	0.52340742094706	0.829263768669613	0.873167842449222	0.190953058672529	0.837459722410775	2328.78435735756	3212.20823352992	3950.39157318868	3779.97127235297	2212.84435896474	Down_gills_Up_muscle
XM_027362706.1	15.8623429990454	0.438377348369694	27.3071708160013	7.21701780890508e-13	8.85776280436133e-10	15.6748723273911	7	0	0	0	0	24463	2255	3903	2520	5765	0.0290781900526145	0	0	0	0	429.148631884519	279.29552984808	367.954044105563	288.416374673131	311.45136058183	Down_gills_Up_muscle
XM_027373336.1	12.1483330015627	7.81796668782207	27.275553084686	7.32478908807198e-13	8.85776280436133e-10	18.3885931517932	608	882	715	227	447	375375	166759	225683	178090	244456	2.52564850742709	5.94642799972844	4.21834464426482	1.54808372566657	4.45648209425734	6585.11497746194	20654.1211804594	21276.1907598964	20382.5683196579	13206.6181790792	Down_gills_Up_muscle
XM_027369977.1	13.5047022491393	3.77574485081343	27.1169430766917	7.89218747261532e-13	8.90764892742516e-10	16.0320996781419	46	53	15	6	11	91868	11171	14492	13119	29031	0.191085248917181	0.357325038532435	0.0884967407887726	0.0409185125726847	0.109667344601411	1611.61862870323	1383.59661371747	1366.22854398612	1501.48191243524	1568.38585412855	Down_gills_Up_muscle
XM_027361149.1	14.1348865213395	-0.744619714298097	26.4457173235247	1.08738198934473e-12	1.08290453409449e-09	15.4657364869131	0	0	2	0	0	4258	450	905	855	1735	0	0	0.011799565438503	0	0	74.6970884423122	55.7352498588187	85.3185779952689	97.8555556926693	93.7325430372029	Down_gills_Up_muscle
XM_027370793.1	14.6933071964061	0.487398471055563	26.501542473331	1.05846583043081e-12	1.08290453409449e-09	15.5097939706279	2	1	4	0	0	10434	2097	2482	2793	3218	0.00830805430074699	0.00674198185910254	0.023599130877006	0	0	183.041197934966	259.726264342095	233.989735452218	319.661481929386	173.850906912806	Down_gills_Up_muscle
