limma	edgeR	DESeq2	NOISeq
0.981660723382578	0.671194705677464	0.615654952076677	0.431482310792656
0	0	0	0
0.00560366785532348	0.00383141762452107	0	0.00246305418719212
0.000509424350483953	0.000348310693138279	0	0
0.0076413652572593	0	0.00479233226837061	0.00335871025526198
0.000509424350483953	0	0.000319488817891374	0
0.00305654610290372	0	0	0.00134348410210479
0.00101884870096791	0	0	0
0	0.289097875304772	0.26517571884984	0.185848634124496
0	0	0	0
0	0.0327412051549983	0	0.0210479175996417
0	0.00278648554510623	0	0
0	0	0.10926517571885	0.0765785938199731
0	0	0.00479233226837061	0
0	0	0	0.277877295118674
