ID	edgeR_gills_1_normalized	edgeR_gills_2_normalized	edgeR_gills_3_normalized	edgeR_gills_wssv_1_normalized	edgeR_gills_wssv_2_normalized	edgeR_gills_wssv_3_normalized	limma_gills_1_normalized	limma_gills_2_normalized	limma_gills_3_normalized	limma_gills_wssv_1_normalized	limma_gills_wssv_2_normalized	limma_gills_wssv_3_normalized	NOISeq_gills_1_normalized	NOISeq_gills_2_normalized	NOISeq_gills_3_normalized	NOISeq_gills_wssv_1_normalized	NOISeq_gills_wssv_2_normalized	NOISeq_gills_wssv_3_normalized	DESeq2_gills_1_normalized	DESeq2_gills_2_normalized	DESeq2_gills_3_normalized	DESeq2_gills_wssv_1_normalized	DESeq2_gills_wssv_2_normalized	DESeq2_gills_wssv_3_normalized
XM_027350595.1	0.761872680129921	0.505602980931441	0.566219954206911	4.15337619147988	0.598035414722407	1.6537584718671	0.761872680129921	0.505602980931441	0.566219954206911	4.15337619147988	0.598035414722407	1.6537584718671	23.3956639764668	15.526107912617	17.2712064220733	129.129420260901	18.0832062150816	49.7773210436867	17.4671493395132	11.5362114577178	12.6111304879968	100.140540893656	13.6844687055257	36.7194004777248
XM_027350613.1	0.569109712868134	2.38265404763941	0.956526912932063	42.9182206452921	108.643100341237	184.600789422166	0.569109712868134	2.38265404763941	0.956526912932063	42.9182206452921	108.643100341237	184.600789422166	17.4762791149511	73.1667835382077	29.1766011402015	1334.33734269598	3285.11579573982	5556.39346150153	13.0477501090339	54.3643964944952	21.3042398535092	1034.78558923445	2486.01181483717	4098.80307832603
XM_027350635.1	10.2439748316264	72.4718672792604	32.9287138417417	97736.787051661	115729.620660559	49028.3572560171	10.2439748316264	72.4718672792604	32.9287138417417	97736.787051661	115729.620660559	49028.3572560171	314.573024069119	2225.47349292474	1004.41287833222	3038659.16986616	3499395.76165313	1475729.57048679	234.859501962611	1653.57170982063	733.404578865059	2356496.08158275	2648168.20750808	1088606.29618793
XM_027350641.1	4.40601068026943	3.52026075473516	4.55174875809051	314.272131821977	472.846667907183	171.784161265196	4.40601068026943	3.52026075473516	4.55174875809051	314.272131821977	472.846667907183	171.784161265196	135.300225406073	108.100526341596	138.84037783958	9770.79279974152	14297.7883807245	5170.61922341296	101.014839553811	80.3208722743603	101.378796544285	7577.30092761999	10819.8532565023	3814.22772462366
XM_027350646.1	1.46867022675648	0.941685551984808	1.47876861826853	225.666773070407	517.300633734882	15.7107054827375	1.46867022675648	0.941685551984808	1.47876861826853	225.666773070407	517.300633734882	15.7107054827375	45.1000751353576	28.9173759872492	45.1063546362885	7016.03183417563	15641.9733760455	472.884549915024	33.6716131846037	21.4861938399994	32.9358650608849	5440.96938855532	11837.0654302797	348.834304538385
XM_027350661.1	0.780231057964377	0.492962906408155	0.390306958725152	5.07634867847541	6.97707983842808	3.5142367527176	0.780231057964377	0.492962906408155	0.390306958725152	5.07634867847541	6.97707983842808	3.5142367527176	23.9594149156587	15.1379552148016	11.9053947181282	157.824846985546	210.970739175952	105.776807217834	17.8880445043207	11.2478061712749	8.69310936551238	122.39399442558	159.6521348978	78.0287260151651
XM_027350662.1	0.578288901785362	0.309681825820507	0.511247143118861	3.23040370448435	5.18297359426086	3.92767637068437	0.578288901785362	0.309681825820507	0.511247143118861	3.23040370448435	5.18297359426086	3.92767637068437	17.7581545845471	9.50974109647793	15.5943902645905	100.433993536256	156.721120530707	118.221137478756	13.2581976914377	7.06592951785217	11.3867488872204	77.8870873617326	118.598728781223	87.2085761345963
XM_027350663.1	0.67925997987487	0.284401676773935	0.357323272072323	7.84526613946199	12.5587437091705	4.34111598865115	0.67925997987487	0.284401676773935	0.357323272072323	7.84526613946199	12.5587437091705	4.34111598865115	20.8587847501029	8.73343570084708	10.8993050236385	243.91112715948	379.747330516713	130.665467739678	15.5731210978792	6.48911894496628	7.95848040504655	189.154355021351	287.373842816039	96.3884262540275
XM_027350664.1	0.63336403528873	0.891125253891664	0.995007880693698	5.99932116547093	13.1567791238929	9.71583102221924	0.63336403528873	0.891125253891664	0.995007880693698	5.99932116547093	13.1567791238929	9.71583102221924	19.449407402123	27.3647651959875	30.3503724504395	186.520273710191	397.830536731794	292.441761131659	14.5208831858603	20.3325726942277	22.1613069740527	144.647447957503	301.058311521565	215.726477806633
XM_027350665.1	115.73121386841	1420.77597660366	89.7321195390234	165.673561415697	213.897333332381	5636.42231174106	115.73121386841	1420.77597660366	89.7321195390234	165.673561415697	213.897333332381	5636.42231174106	3553.88592066618	43629.3336161984	2737.06701385925	5150.82909707372	6467.76008959417	169653.554447145	2653.32311894677	32417.4752094032	1998.5580869473	3994.49490898029	4894.47830700969	125148.896678205
