ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027350614.1	2.2497104256802	3.09162863951684	6.47600841856891	1.85899697515041e-05	0.000107754224668718	3.04617784356596	185	112	198	40	83	196	114	785	983	1060	756	900	4.73653517295767	3.38433252797244	4.72992853584928	2.12594414335573	2.8441666032798	5.71884305628486	33.0764934556094	11.1028511205869	12.182500290984	22.7560210032313	25.1125544354096	21.1520077231039	Down_hep_Up_gills
XM_027350630.1	-9.30352759190174	0.984933229696231	-12.426514555699	1.05712255135496e-08	3.1665839953394e-07	10.0375064480472	2938	2303	2060	1003	1280	798	0	0	2	6	4	16	75.2212991251331	69.5903376064333	49.2103675951995	53.3080493946449	43.8618464120258	23.2838610148741	0	0	0.0247863688524598	0.128807666056026	0.132870658388411	0.37603569285518	Up_hep_Down_gills
XM_027350640.1	2.54335531131431	5.53331314288645	4.74467527681973	0.000359434299993829	0.00145662273099194	-0.117400414322343	2146	802	1022	154	218	919	115	5548	8056	6812	6846	8832	54.9438080063089	24.2342382806598	24.4140755739291	8.18488495191956	7.47022071704814	26.8143712690091	33.3666381350446	78.46957709174	99.8394937377081	146.239636862275	227.408131831765	207.571702456059	Down_hep_Up_gills
XM_027350653.1	-10.7226781383057	2.10945770318074	-11.7732264178593	2.05081219016357e-08	4.50895811189067e-07	9.51736498410786	10536	8739	7205	2278	4155	3391	0	1	0	12	10	47	269.752078823146	264.068588945992	172.116843943404	121.072518964109	142.379665501537	98.9418204278671	0	0.0141437593892826	0	0.257615332112053	0.332176645971027	1.10460484776209	Up_hep_Down_gills
XM_027350665.1	10.9824733659525	3.53386063779285	7.52653663847746	3.75992411731912e-06	2.7242359286394e-05	4.74063016051021	105	41	85	0	0	2	923	224805	16323	12608	32876	21185	2.68830374681381	1.23890744327562	2.03052487650095	0	0	0.0583555413906618	267.803539118662	3179.58782950768	202.293949389351	270.667842272397	1092.06394129435	497.894759571061	Down_hep_Up_gills
XM_027350702.1	-5.67642499869219	1.56164136971009	-12.5042367490975	9.78914869971548e-09	3.08265463736153e-07	10.3192390092939	863	1046	1007	425	715	467	0	35	90	31	5	14	22.0952965095268	31.6072484308854	24.0557476545466	22.5881565231546	24.5009532692175	13.6260189147195	0	0.495031578624892	1.11538659836069	0.665506274622803	0.166088322985513	0.329031231248282	Up_hep_Down_gills
XM_027350706.1	-12.9871074604763	4.13404953288722	-9.87623524706764	1.69648559419943e-07	2.07350648216273e-06	7.69882999780413	48971	79161	60850	29790	44554	24116	0	0	0	54	35	561	1253.79926462113	2392.02810041809	1453.61692629509	1583.29690076418	1526.73492581359	703.6511180886	0	0	0	1.15926899450424	1.16261826089859	13.1847514807347	Up_hep_Down_gills
XM_027350707.1	-12.6415278021655	3.4078106358593	-10.8585664693708	5.47175253701525e-08	8.87732676234331e-07	8.69643300443306	26834	39864	31202	17230	26632	13611	0	0	0	22	15	268	687.028026114303	1204.58064192048	745.369849371561	915.750439750481	912.600541910212	397.138636934149	0	0	0	0.472294775538763	0.49826496895654	6.29859785532426	Up_hep_Down_gills
XM_027350709.1	-11.0936371676322	0.302400652594315	-9.10879896387865	4.3720825124008e-07	4.44599650702831e-06	6.74473028643373	4252	2255	2393	1317	5288	236	0	0	0	2	0	2	108.863500299546	68.1399093801594	57.1652474054915	69.9967109199874	181.204252989682	6.88595388409809	0	0	0	0.0429358886853421	0	0.0470044616068975	Up_hep_Down_gills
XM_027350712.1	-11.9759735972472	2.74465051987323	-10.6268813376144	7.09136921592578e-08	1.07739245720594e-06	8.43405401212579	7377	20983	19452	7327	19952	8662	0	0	0	10	15	126	188.87254038329	634.048655664693	464.679645855253	389.419818459186	683.696530947452	252.737849762956	0	0	0	0.214679443426711	0.49826496895654	2.96128108123454	Up_hep_Down_gills
XM_027350715.1	-11.916648503058	3.43036753112982	-11.4029086559513	3.02740445579078e-08	5.83751939822238e-07	9.25300957941438	34723	19831	27308	10416	32167	9618	0	0	4	19	8	260	889.009247624914	599.23837823412	652.347921499859	553.595854929832	1102.26876057471	280.631798547693	0	0	0.0495727377049196	0.40789094251075	0.265741316776821	6.11058000889667	Up_hep_Down_gills
XM_027350717.1	-5.3997583975356	0.179759060186299	-6.531209592716	1.70301204315863e-05	9.98321004031205e-05	3.2805895307811	513	389	371	163	180	58	0	1	11	12	11	33	13.1342840201475	11.7545120837614	8.86264387272768	8.6632223841746	6.16807215169113	1.69231070032919	0	0.0141437593892826	0.136325028688529	0.257615332112053	0.365394310568129	0.775573616513808	Up_hep_Down_gills
