ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027369484.1	2.98230347903733	5.96129872398935	6.98551874049344	8.40934521562586e-06	5.39778373437891e-05	3.71713342253111	454	472	619	445	1005	2290	258	11693	15064	7240	9168	9908	11.6237133433664	14.2625442250267	14.7869988065187	23.6511285948325	34.4384028469421	66.8170948923078	74.857327294274	165.382978538882	186.690930196727	155.427917040938	304.539549026237	232.86010280057	Down_hep_Up_gills
XM_027369487.1	-4.5422267615719	-1.26554209235636	-7.03671292227905	7.77996443027578e-06	5.05143108018721e-05	4.02745908049521	37	40	66	115	79	85	0	4	8	6	0	6	0.947307034591533	1.20869018856159	1.57664284528309	6.11208941214773	2.70709833324222	2.48011050910313	0	0.0565750375571305	0.0991454754098392	0.128807666056026	0	0.141013384820692	Up_hep_Down_gills
XM_027369491.1	-3.04891339001327	4.83525744436481	-6.47101701260501	1.87382550522741e-05	0.000108547953555391	2.95009623415626	1811	2816	2305	3415	4133	3391	5	756	537	762	503	723	46.3668389093315	85.0917892747356	55.063056945114	181.502481238996	141.62579001633	98.9418204278671	1.45072339717585	10.6926820982977	6.65514003688546	16.3585735891154	16.7084852923426	16.9921128708934	Up_hep_Down_gills
XM_027369502.1	-4.83366094208818	-1.16983009031626	-8.0996634241702	1.66794039417906e-06	1.36518458963872e-05	5.4681853868497	44	50	67	149	95	102	0	6	10	2	1	2	1.12652728437912	1.51086273570198	1.60053137324193	7.9191419340001	3.25537141339254	2.97613261092375	0	0.0848625563356957	0.123931844262299	0.0429358886853421	0.0332176645971027	0.0470044616068975	Up_hep_Down_gills
XM_027369504.1	-4.22497716848817	8.24386161924933	-4.34550670585827	0.00075250621363745	0.00279765575402471	-0.975764974830902	7347	22978	18397	111362	155727	128611	60	1618	5395	3883	6050	8365	188.104453598486	694.332078819202	439.477248858682	5918.73479230952	5336.30762203558	3752.5822668972	17.4086807661102	22.8846026918593	66.8612299795103	83.3600278825917	200.966870812471	196.596160670849	Up_hep_Down_gills
XM_027369511.1	6.13278080498843	-1.79919621547449	9.39354087121376	3.05618342327984e-07	3.32340400912432e-06	7.01358125194163	6	0	3	0	0	0	14	372	122	76	64	81	0.153617356960789	0	0.0716655838765042	0	0	0	4.06202551209239	5.26147849281313	1.51196850000005	1.631563770043	2.12593053421457	1.90368069507935	Down_hep_Up_gills
XM_027369517.1	-4.2519826333155	5.15549768992007	-5.8423045861942	5.23946539115301e-05	0.00026948237161058	1.89302999608707	1801	3061	2932	9697	11560	12593	7	223	753	667	293	888	46.1108099810636	92.4950166796753	70.0411639753034	515.382008953013	396.127300408608	367.435666366302	2.03101275604619	3.15405834381002	9.33206787295111	14.3191188765616	9.73277572695108	20.8699809534625	Up_hep_Down_gills
XM_027369533.1	-9.40656737408889	-0.301656198341916	-11.8332328294008	1.92724463068562e-08	4.37818708975706e-07	9.50334877875025	543	468	558	858	1010	775	0	0	0	2	0	6	13.9023708049514	14.1416752061705	13.3297986010298	45.6015018749804	34.6097381844891	22.6127722888814	0	0	0	0.0429358886853421	0	0.141013384820692	Up_hep_Down_gills
XM_027369535.1	-10.670021834864	-0.0598819912365593	-12.6571321272587	8.42544847791199e-09	2.88471889464579e-07	10.2095049927808	782	797	1199	1755	1615	1683	0	0	0	0	0	6	20.0214621905562	24.0831520070896	28.6423450226428	93.2757992897327	55.3413140276732	49.1061880802419	0	0	0	0	0	0.141013384820692	Up_hep_Down_gills
XM_027369540.1	-9.02625975570383	0.634801473022595	-10.0188601741427	1.43175110725611e-07	1.81367782646324e-06	7.75726544782505	476	1503	1441	976	2675	749	0	4	0	2	2	16	12.1869769855559	45.4165338352016	34.4233687886808	51.8730370978798	91.664405587632	21.8541502508028	0	0.0565750375571305	0	0.0429358886853421	0.0664353291942053	0.37603569285518	Up_hep_Down_gills
XM_027369548.1	-9.07492273314148	0.834794161178218	-19.5882950296819	3.34849511560338e-11	4.48995781509237e-08	14.3559179794997	1819	1330	1486	570	2020	1209	0	2	4	4	1	6	46.5716620519459	40.1889487696727	35.4983525468284	30.2947040428192	69.2194763689782	35.2759247706551	0	0.0282875187785652	0.0495727377049196	0.0858717773706843	0.0332176645971027	0.141013384820692	Up_hep_Down_gills
XM_027369550.1	-10.6519321349159	0.525670573166174	-12.1403798708547	1.40788232293846e-08	3.61476148633111e-07	9.78490172239748	1244	1505	1522	1916	3429	2084	0	0	0	2	0	15	31.849998676537	45.4769683446296	36.3583395533464	101.83272446674	117.501774489716	60.8064741290696	0	0	0	0.0429358886853421	0	0.352533462051731	Up_hep_Down_gills
XM_027369552.1	-11.5461336595281	1.43760454430819	-8.28447876554678	1.29412788531855e-06	1.10410696656437e-05	5.74157912078453	1765	2236	2527	11023	16406	6601	0	6	0	0	0	38	45.1891058392988	67.5657815405926	60.3663101519753	585.857057305255	562.185509559137	192.602464359879	0	0.0848625563356957	0	0	0	0.893084770531052	Up_hep_Down_gills
XM_027369553.1	-10.4231659661644	0.251294213917407	-14.5103976127204	1.53390475414118e-09	1.4106024104429e-07	11.5869140790191	1240	1627	1690	1242	1467	1226	0	1	0	0	0	13	31.7475871052298	49.1634734197425	40.3716122504307	66.0105656511954	50.2697880362827	35.7719468724757	0	0.0141437593892826	0	0	0	0.305529000444834	Up_hep_Down_gills
XM_027369556.1	-12.3802019002009	1.00256152773591	-9.17510298072028	4.01934493898405e-07	4.1423507539271e-06	6.82802659655229	2207	2358	2093	9725	19547	5323	0	0	0	0	0	14	56.5055844687436	71.2522866157054	49.9986890178411	516.870169853362	669.818368606147	155.313273411246	0	0	0	0	0	0.329031231248282	Up_hep_Down_gills
XM_027369567.1	-9.07708988564779	2.15080954782216	-9.75124733314298	1.97153416466987e-07	2.34232953427362e-06	7.5349473347149	6974	5564	9179	1401	3091	665	0	5	8	8	8	40	178.554574574091	168.128805228916	219.272798134144	74.4611936210345	105.91950567154	19.403217512395	0	0.0707187969464131	0.0991454754098392	0.171743554741369	0.265741316776821	0.940089232137949	Up_hep_Down_gills
